Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480010000000003,LAUCN480010000000004,LAUCN480010000000005,LAUCN480010000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Anderson County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,21363,19446,1917,9.0
2010,Feb,21229,19362,1867,8.8
2010,Mar,21417,19648,1769,8.3
2010,Apr,21654,19992,1662,7.7
2010,May,21570,19911,1659,7.7
2010,Jun,21819,20019,1800,8.2
2010,Jul,21937,20122,1815,8.3
2010,Aug,21894,20084,1810,8.3
2010,Sep,21907,20171,1736,7.9
2010,Oct,21931,20248,1683,7.7
2010,Nov,21929,20219,1710,7.8
2010,Dec,21882,20247,1635,7.5
2011,Jan,22005,20249,1756,8.0
2011,Feb,22046,20330,1716,7.8
2011,Mar,21910,20256,1654,7.5
2011,Apr,22005,20434,1571,7.1
2011,May,22086,20490,1596,7.2
2011,Jun,22300,20514,1786,8.0
2011,Jul,22228,20479,1749,7.9
2011,Aug,22238,20554,1684,7.6
2011,Sep,22247,20609,1638,7.4
2011,Oct,22402,20874,1528,6.8
2011,Nov,22422,20995,1427,6.4
2011,Dec,22449,21061,1388,6.2
2012,Jan,22226,20746,1480,6.7
2012,Feb,22320,20910,1410,6.3
2012,Mar,22480,21133,1347,6.0
2012,Apr,22446,21153,1293,5.8
2012,May,22406,21009,1397,6.2
2012,Jun,22672,21076,1596,7.0
2012,Jul,22815,21216,1599,7.0
2012,Aug,22486,20980,1506,6.7
2012,Sep,22449,21080,1369,6.1
2012,Oct,22290,20929,1361,6.1
2012,Nov,22080,20770,1310,5.9
2012,Dec,22024,20687,1337,6.1
2013,Jan,22299,20801,1498,6.7
2013,Feb,22089,20741,1348,6.1
2013,Mar,21974,20703,1271,5.8
2013,Apr,22036,20848,1188,5.4
2013,May,22190,20955,1235,5.6
2013,Jun,22410,20974,1436,6.4
2013,Jul,22203,20795,1408,6.3
2013,Aug,22013,20696,1317,6.0
2013,Sep,21963,20697,1266,5.8
2013,Oct,21688,20489,1199,5.5
2013,Nov,21811,20681,1130,5.2
2013,Dec,21837,20780,1057,4.8
2014,Jan,22066,20945,1121,5.1
2014,Feb,22044,20920,1124,5.1
2014,Mar,21985,20908,1077,4.9
2014,Apr,21827,20901,926,4.2
2014,May,21871,20878,993,4.5
2014,Jun,21917,20823,1094,5.0
2014,Jul,22013,20848,1165,5.3
2014,Aug,21836,20735,1101,5.0
2014,Sep,21650,20673,977,4.5
2014,Oct,21583,20650,933,4.3
2014,Nov,21586,20692,894,4.1
2014,Dec,21426,20638,788,3.7
2015,Jan,22465,21570,895,4.0
2015,Feb,22379,21511,868,3.9
2015,Mar,22376,21535,841,3.8
2015,Apr,22732,21944,788,3.5
2015,May,22827,21951,876,3.8
2015,Jun,23088,22136,952,4.1
2015,Jul,23014,22013,1001,4.3
2015,Aug,23106,22184,922,4.0
2015,Sep,22906,22037,869,3.8
2015,Oct,23010,22122,888,3.9
2015,Nov,23104,22171,933,4.0
2015,Dec,23173,22249,924,4.0
2016,Jan,23340,22357,983,4.2
2016,Feb,23418,22448,970,4.1
2016,Mar,23561,22547,1014,4.3
2016,Apr,23398,22463,935,4.0
2016,May,23442,22505,937,4.0
2016,Jun,23564,22451,1113,4.7
2016,Jul,23648,22508,1140,4.8
2016,Aug,23548,22415,1133,4.8
2016,Sep,23625,22551,1074,4.5
2016,Oct,23586,22590,996,4.2
2016,Nov,23482,22528,954,4.1
2016,Dec,23383,22444,939,4.0
2017,Jan,22986,21980,1006,4.4
2017,Feb,23143,22176,967,4.2
2017,Mar,23041,22151,890,3.9
2017,Apr,23346,22527,819,3.5
2017,May,23244,22423,821,3.5
2017,Jun,23370,22451,919,3.9
2017,Jul,23421,22505,916,3.9
2017,Aug,23324,22467,857,3.7
2017,Sep,23386,22592,794,3.4
2017,Oct,23304,22589,715,3.1
2017,Nov,23338,22590,748,3.2
2017,Dec,23206,22507,699,3.0
2018,Jan,23127,22366,761,3.3
2018,Feb,23322,22565,757,3.2
2018,Mar,23264,22513,751,3.2
2018,Apr,23306,22626,680,2.9
2018,May,23411,22753,658,2.8
2018,Jun,23575,22775,800,3.4
2018,Jul,23602,22825,777,3.3
2018,Aug,23347,22626,721,3.1
2018,Sep,23441,22768,673,2.9
2018,Oct,23340,22666,674,2.9
2018,Nov,23507,22819,688,2.9
2018,Dec,23516,22798,718,3.1
2019,Jan,23584,22761,823,3.5
2019,Feb,23810,23054,756,3.2
2019,Mar,23790,23100,690,2.9
2019,Apr,23689,23107,582,2.5
2019,May,23658,23062,596,2.5
2019,Jun,23816,23095,721,3.0
2019,Jul,24070,23310,760,3.2
2019,Aug,24055,23332,723,3.0
2019,Sep,24091,23431,660,2.7
2019,Oct,24135,23470,665,2.8
2019,Nov,24148,23468,680,2.8
2019,Dec,24104,23450,654,2.7
2020,Jan,24080,23340,740,3.1
2020,Feb,24194,23486,708,2.9
2020,Mar,23894,22884,1010,4.2
2020,Apr,20916,19295,1621,7.8
