Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480030000000003,LAUCN480030000000004,LAUCN480030000000005,LAUCN480030000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Andrews County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,6889,6389,500,7.3
2010,Feb,6878,6424,454,6.6
2010,Mar,6918,6451,467,6.8
2010,Apr,7020,6566,454,6.5
2010,May,7033,6603,430,6.1
2010,Jun,7149,6691,458,6.4
2010,Jul,7208,6763,445,6.2
2010,Aug,7265,6827,438,6.0
2010,Sep,7376,6964,412,5.6
2010,Oct,7199,6797,402,5.6
2010,Nov,7233,6808,425,5.9
2010,Dec,7272,6885,387,5.3
2011,Jan,7519,7089,430,5.7
2011,Feb,7503,7101,402,5.4
2011,Mar,7546,7156,390,5.2
2011,Apr,7556,7176,380,5.0
2011,May,7575,7190,385,5.1
2011,Jun,7630,7190,440,5.8
2011,Jul,7795,7368,427,5.5
2011,Aug,7918,7515,403,5.1
2011,Sep,7992,7600,392,4.9
2011,Oct,8118,7760,358,4.4
2011,Nov,8162,7827,335,4.1
2011,Dec,8212,7888,324,3.9
2012,Jan,8353,7995,358,4.3
2012,Feb,8431,8084,347,4.1
2012,Mar,8413,8082,331,3.9
2012,Apr,8442,8121,321,3.8
2012,May,8448,8109,339,4.0
2012,Jun,8551,8164,387,4.5
2012,Jul,8551,8162,389,4.5
2012,Aug,8492,8136,356,4.2
2012,Sep,8539,8220,319,3.7
2012,Oct,8790,8480,310,3.5
2012,Nov,8748,8435,313,3.6
2012,Dec,8769,8447,322,3.7
2013,Jan,8986,8604,382,4.3
2013,Feb,8953,8604,349,3.9
2013,Mar,8855,8516,339,3.8
2013,Apr,9086,8759,327,3.6
2013,May,9091,8730,361,4.0
2013,Jun,9246,8836,410,4.4
2013,Jul,9396,9004,392,4.2
2013,Aug,9362,9008,354,3.8
2013,Sep,9399,9051,348,3.7
2013,Oct,9260,8931,329,3.6
2013,Nov,9245,8931,314,3.4
2013,Dec,9193,8896,297,3.2
2014,Jan,9342,9023,319,3.4
2014,Feb,9495,9179,316,3.3
2014,Mar,9389,9089,300,3.2
2014,Apr,9335,9083,252,2.7
2014,May,9389,9102,287,3.1
2014,Jun,9537,9225,312,3.3
2014,Jul,9677,9350,327,3.4
2014,Aug,9619,9322,297,3.1
2014,Sep,9690,9416,274,2.8
2014,Oct,9728,9470,258,2.7
2014,Nov,9705,9452,253,2.6
2014,Dec,9559,9334,225,2.4
2015,Jan,9620,9350,270,2.8
2015,Feb,9602,9322,280,2.9
2015,Mar,9445,9157,288,3.0
2015,Apr,9467,9189,278,2.9
2015,May,9441,9118,323,3.4
2015,Jun,9416,9068,348,3.7
2015,Jul,9203,8840,363,3.9
2015,Aug,9162,8833,329,3.6
2015,Sep,9123,8786,337,3.7
2015,Oct,9119,8759,360,3.9
2015,Nov,9064,8707,357,3.9
2015,Dec,8960,8618,342,3.8
2016,Jan,8968,8605,363,4.0
2016,Feb,8912,8524,388,4.4
2016,Mar,8785,8346,439,5.0
2016,Apr,8738,8311,427,4.9
2016,May,8703,8281,422,4.8
2016,Jun,8701,8242,459,5.3
2016,Jul,8525,8077,448,5.3
2016,Aug,8457,8024,433,5.1
2016,Sep,8577,8159,418,4.9
2016,Oct,8552,8161,391,4.6
2016,Nov,8644,8279,365,4.2
2016,Dec,8670,8311,359,4.1
2017,Jan,8744,8373,371,4.2
2017,Feb,8878,8531,347,3.9
2017,Mar,8922,8619,303,3.4
2017,Apr,8903,8629,274,3.1
2017,May,9013,8752,261,2.9
2017,Jun,9037,8747,290,3.2
2017,Jul,9126,8850,276,3.0
2017,Aug,9116,8849,267,2.9
2017,Sep,9175,8924,251,2.7
2017,Oct,8997,8766,231,2.6
2017,Nov,9063,8825,238,2.6
2017,Dec,9047,8826,221,2.4
2018,Jan,8899,8651,248,2.8
2018,Feb,9112,8868,244,2.7
2018,Mar,9202,8964,238,2.6
2018,Apr,9287,9074,213,2.3
2018,May,9472,9266,206,2.2
2018,Jun,9551,9301,250,2.6
2018,Jul,9507,9271,236,2.5
2018,Aug,9449,9219,230,2.4
2018,Sep,9596,9382,214,2.2
2018,Oct,9601,9396,205,2.1
2018,Nov,9632,9429,203,2.1
2018,Dec,9653,9443,210,2.2
2019,Jan,9905,9672,233,2.4
2019,Feb,9985,9768,217,2.2
2019,Mar,9994,9779,215,2.2
2019,Apr,9863,9695,168,1.7
2019,May,9918,9733,185,1.9
2019,Jun,9923,9682,241,2.4
2019,Jul,9912,9666,246,2.5
2019,Aug,9899,9663,236,2.4
2019,Sep,9906,9677,229,2.3
2019,Oct,9879,9655,224,2.3
2019,Nov,9863,9632,231,2.3
2019,Dec,9829,9600,229,2.3
2020,Jan,9956,9705,251,2.5
2020,Feb,9998,9754,244,2.4
2020,Mar,9784,9443,341,3.5
2020,Apr,8911,7954,957,10.7
