Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480050000000003,LAUCN480050000000004,LAUCN480050000000005,LAUCN480050000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Angelina County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,37623,33997,3626,9.6
2010,Feb,37482,34037,3445,9.2
2010,Mar,37667,34290,3377,9.0
2010,Apr,38247,35040,3207,8.4
2010,May,38085,34947,3138,8.2
2010,Jun,38392,35097,3295,8.6
2010,Jul,38381,35094,3287,8.6
2010,Aug,38332,35089,3243,8.5
2010,Sep,38385,35243,3142,8.2
2010,Oct,37962,34965,2997,7.9
2010,Nov,38150,35025,3125,8.2
2010,Dec,38089,35073,3016,7.9
2011,Jan,38040,34877,3163,8.3
2011,Feb,38053,35000,3053,8.0
2011,Mar,38156,35194,2962,7.8
2011,Apr,38052,35166,2886,7.6
2011,May,37936,35012,2924,7.7
2011,Jun,38331,35007,3324,8.7
2011,Jul,38074,34825,3249,8.5
2011,Aug,38069,34914,3155,8.3
2011,Sep,38261,35140,3121,8.2
2011,Oct,38124,35212,2912,7.6
2011,Nov,38149,35411,2738,7.2
2011,Dec,38172,35529,2643,6.9
2012,Jan,37685,34915,2770,7.4
2012,Feb,37735,35016,2719,7.2
2012,Mar,37760,35189,2571,6.8
2012,Apr,37910,35437,2473,6.5
2012,May,37948,35365,2583,6.8
2012,Jun,38290,35420,2870,7.5
2012,Jul,38070,35194,2876,7.6
2012,Aug,37707,35013,2694,7.1
2012,Sep,37992,35495,2497,6.6
2012,Oct,37861,35444,2417,6.4
2012,Nov,37641,35253,2388,6.3
2012,Dec,37844,35344,2500,6.6
2013,Jan,38151,35377,2774,7.3
2013,Feb,37925,35334,2591,6.8
2013,Mar,37785,35352,2433,6.4
2013,Apr,37908,35561,2347,6.2
2013,May,37906,35455,2451,6.5
2013,Jun,38277,35546,2731,7.1
2013,Jul,38153,35494,2659,7.0
2013,Aug,37850,35346,2504,6.6
2013,Sep,38056,35615,2441,6.4
2013,Oct,37734,35415,2319,6.1
2013,Nov,37884,35698,2186,5.8
2013,Dec,37962,35918,2044,5.4
2014,Jan,38073,35922,2151,5.6
2014,Feb,38036,35888,2148,5.6
2014,Mar,37973,35896,2077,5.5
2014,Apr,37753,35959,1794,4.8
2014,May,37916,35842,2074,5.5
2014,Jun,37945,35848,2097,5.5
2014,Jul,38085,35896,2189,5.7
2014,Aug,37645,35576,2069,5.5
2014,Sep,37703,35810,1893,5.0
2014,Oct,37475,35663,1812,4.8
2014,Nov,37537,35757,1780,4.7
2014,Dec,37269,35629,1640,4.4
2015,Jan,37444,35609,1835,4.9
2015,Feb,37387,35612,1775,4.7
2015,Mar,37286,35491,1795,4.8
2015,Apr,37899,35897,2002,5.3
2015,May,37947,35758,2189,5.8
2015,Jun,37944,35656,2288,6.0
2015,Jul,37499,35203,2296,6.1
2015,Aug,37265,35023,2242,6.0
2015,Sep,37067,34973,2094,5.6
2015,Oct,37053,34825,2228,6.0
2015,Nov,37078,34897,2181,5.9
2015,Dec,36919,34806,2113,5.7
2016,Jan,36890,34755,2135,5.8
2016,Feb,36890,34838,2052,5.6
2016,Mar,36810,34711,2099,5.7
2016,Apr,37014,35048,1966,5.3
2016,May,36826,34895,1931,5.2
2016,Jun,37062,34796,2266,6.1
2016,Jul,37112,34776,2336,6.3
2016,Aug,37228,34819,2409,6.5
2016,Sep,37287,34859,2428,6.5
2016,Oct,37083,34826,2257,6.1
2016,Nov,37210,35040,2170,5.8
2016,Dec,37160,35001,2159,5.8
2017,Jan,37149,34831,2318,6.2
2017,Feb,37312,35107,2205,5.9
2017,Mar,37084,35050,2034,5.5
2017,Apr,37005,35132,1873,5.1
2017,May,36719,34896,1823,5.0
2017,Jun,36786,34860,1926,5.2
2017,Jul,36522,34639,1883,5.2
2017,Aug,36461,34590,1871,5.1
2017,Sep,36512,34838,1674,4.6
2017,Oct,36027,34477,1550,4.3
2017,Nov,36097,34482,1615,4.5
2017,Dec,36100,34530,1570,4.3
2018,Jan,36071,34361,1710,4.7
2018,Feb,36178,34524,1654,4.6
2018,Mar,36278,34685,1593,4.4
2018,Apr,36146,34673,1473,4.1
2018,May,36044,34605,1439,4.0
2018,Jun,36168,34496,1672,4.6
2018,Jul,36184,34537,1647,4.6
2018,Aug,35851,34247,1604,4.5
2018,Sep,35966,34455,1511,4.2
2018,Oct,35841,34392,1449,4.0
2018,Nov,35947,34487,1460,4.1
2018,Dec,35879,34372,1507,4.2
2019,Jan,36060,34354,1706,4.7
2019,Feb,36086,34561,1525,4.2
2019,Mar,36014,34589,1425,4.0
2019,Apr,35582,34370,1212,3.4
2019,May,35464,34203,1261,3.6
2019,Jun,35743,34230,1513,4.2
2019,Jul,35800,34240,1560,4.4
2019,Aug,35730,34236,1494,4.2
2019,Sep,36136,34723,1413,3.9
2019,Oct,36017,34638,1379,3.8
2019,Nov,36071,34659,1412,3.9
2019,Dec,36017,34638,1379,3.8
2020,Jan,36033,34429,1604,4.5
2020,Feb,36084,34560,1524,4.2
2020,Mar,35766,33639,2127,5.9
2020,Apr,32356,28530,3826,11.8
