Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480070000000003,LAUCN480070000000004,LAUCN480070000000005,LAUCN480070000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Aransas County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,9621,8694,927,9.6
2010,Feb,9667,8749,918,9.5
2010,Mar,9761,8860,901,9.2
2010,Apr,9819,8949,870,8.9
2010,May,9687,8834,853,8.8
2010,Jun,9726,8821,905,9.3
2010,Jul,9707,8800,907,9.3
2010,Aug,9656,8755,901,9.3
2010,Sep,9690,8795,895,9.2
2010,Oct,9588,8763,825,8.6
2010,Nov,9655,8764,891,9.2
2010,Dec,9664,8773,891,9.2
2011,Jan,9702,8770,932,9.6
2011,Feb,9701,8810,891,9.2
2011,Mar,9739,8883,856,8.8
2011,Apr,9800,8983,817,8.3
2011,May,9800,8950,850,8.7
2011,Jun,9892,8956,936,9.5
2011,Jul,9834,8929,905,9.2
2011,Aug,9809,8940,869,8.9
2011,Sep,9892,9018,874,8.8
2011,Oct,9852,9032,820,8.3
2011,Nov,9879,9090,789,8.0
2011,Dec,9877,9089,788,8.0
2012,Jan,9846,9049,797,8.1
2012,Feb,9883,9125,758,7.7
2012,Mar,9894,9187,707,7.1
2012,Apr,9936,9275,661,6.7
2012,May,9955,9280,675,6.8
2012,Jun,10007,9264,743,7.4
2012,Jul,9990,9245,745,7.5
2012,Aug,9934,9237,697,7.0
2012,Sep,9991,9338,653,6.5
2012,Oct,10000,9376,624,6.2
2012,Nov,9974,9363,611,6.1
2012,Dec,9918,9278,640,6.5
2013,Jan,9976,9241,735,7.4
2013,Feb,10022,9353,669,6.7
2013,Mar,10015,9377,638,6.4
2013,Apr,10067,9448,619,6.1
2013,May,10087,9440,647,6.4
2013,Jun,10162,9435,727,7.2
2013,Jul,10113,9409,704,7.0
2013,Aug,10049,9391,658,6.5
2013,Sep,10112,9440,672,6.6
2013,Oct,10045,9406,639,6.4
2013,Nov,10094,9474,620,6.1
2013,Dec,10078,9477,601,6.0
2014,Jan,10125,9498,627,6.2
2014,Feb,10245,9630,615,6.0
2014,Mar,10280,9687,593,5.8
2014,Apr,10167,9678,489,4.8
2014,May,10233,9680,553,5.4
2014,Jun,10238,9656,582,5.7
2014,Jul,10242,9623,619,6.0
2014,Aug,10181,9592,589,5.8
2014,Sep,10239,9696,543,5.3
2014,Oct,10256,9721,535,5.2
2014,Nov,10214,9687,527,5.2
2014,Dec,10129,9626,503,5.0
2015,Jan,10054,9502,552,5.5
2015,Feb,10037,9535,502,5.0
2015,Mar,10096,9612,484,4.8
2015,Apr,10094,9640,454,4.5
2015,May,10132,9652,480,4.7
2015,Jun,10111,9601,510,5.0
2015,Jul,10047,9520,527,5.2
2015,Aug,10028,9518,510,5.1
2015,Sep,10034,9521,513,5.1
2015,Oct,10043,9534,509,5.1
2015,Nov,10042,9510,532,5.3
2015,Dec,10010,9480,530,5.3
2016,Jan,10078,9520,558,5.5
2016,Feb,10206,9660,546,5.3
2016,Mar,10275,9722,553,5.4
2016,Apr,10233,9712,521,5.1
2016,May,10234,9733,501,4.9
2016,Jun,10276,9706,570,5.5
2016,Jul,10276,9683,593,5.8
2016,Aug,10257,9669,588,5.7
2016,Sep,10222,9613,609,6.0
2016,Oct,10237,9631,606,5.9
2016,Nov,10268,9670,598,5.8
2016,Dec,10244,9636,608,5.9
2017,Jan,10203,9507,696,6.8
2017,Feb,10304,9636,668,6.5
2017,Mar,10392,9783,609,5.9
2017,Apr,10300,9747,553,5.4
2017,May,10268,9732,536,5.2
2017,Jun,10251,9702,549,5.4
2017,Jul,10135,9590,545,5.4
2017,Aug,10086,9537,549,5.4
2017,Sep,10635,9513,1122,10.6
2017,Oct,10487,9568,919,8.8
2017,Nov,10467,9574,893,8.5
2017,Dec,10462,9648,814,7.8
2018,Jan,9739,8913,826,8.5
2018,Feb,9752,9038,714,7.3
2018,Mar,9762,9102,660,6.8
2018,Apr,9678,9091,587,6.1
2018,May,9631,9092,539,5.6
2018,Jun,9605,9021,584,6.1
2018,Jul,9532,8995,537,5.6
2018,Aug,9427,8923,504,5.3
2018,Sep,9394,8904,490,5.2
2018,Oct,9418,8963,455,4.8
2018,Nov,9419,8983,436,4.6
2018,Dec,9439,8994,445,4.7
2019,Jan,9454,8951,503,5.3
2019,Feb,9468,9012,456,4.8
2019,Mar,9461,9041,420,4.4
2019,Apr,9410,9060,350,3.7
2019,May,9392,9033,359,3.8
2019,Jun,9409,8986,423,4.5
2019,Jul,9427,8992,435,4.6
2019,Aug,9425,9015,410,4.4
2019,Sep,9369,9001,368,3.9
2019,Oct,9429,9061,368,3.9
2019,Nov,9445,9072,373,3.9
2019,Dec,9411,9036,375,4.0
2020,Jan,9393,8961,432,4.6
2020,Feb,9479,9065,414,4.4
2020,Mar,9378,8781,597,6.4
2020,Apr,8377,7137,1240,14.8
