Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480090000000003,LAUCN480090000000004,LAUCN480090000000005,LAUCN480090000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Archer County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,4493,4160,333,7.4
2010,Feb,4486,4180,306,6.8
2010,Mar,4530,4225,305,6.7
2010,Apr,4630,4322,308,6.7
2010,May,4611,4307,304,6.6
2010,Jun,4690,4357,333,7.1
2010,Jul,4663,4331,332,7.1
2010,Aug,4639,4326,313,6.7
2010,Sep,4636,4343,293,6.3
2010,Oct,4610,4317,293,6.4
2010,Nov,4622,4330,292,6.3
2010,Dec,4604,4339,265,5.8
2011,Jan,4452,4181,271,6.1
2011,Feb,4420,4166,254,5.7
2011,Mar,4465,4215,250,5.6
2011,Apr,4475,4207,268,6.0
2011,May,4489,4221,268,6.0
2011,Jun,4539,4241,298,6.6
2011,Jul,4519,4217,302,6.7
2011,Aug,4490,4208,282,6.3
2011,Sep,4497,4212,285,6.3
2011,Oct,4469,4199,270,6.0
2011,Nov,4480,4224,256,5.7
2011,Dec,4512,4251,261,5.8
2012,Jan,4411,4153,258,5.8
2012,Feb,4395,4138,257,5.8
2012,Mar,4398,4160,238,5.4
2012,Apr,4392,4166,226,5.1
2012,May,4402,4163,239,5.4
2012,Jun,4428,4161,267,6.0
2012,Jul,4410,4139,271,6.1
2012,Aug,4332,4090,242,5.6
2012,Sep,4344,4124,220,5.1
2012,Oct,4316,4102,214,5.0
2012,Nov,4312,4098,214,5.0
2012,Dec,4300,4080,220,5.1
2013,Jan,4231,3987,244,5.8
2013,Feb,4209,3980,229,5.4
2013,Mar,4193,3970,223,5.3
2013,Apr,4241,4024,217,5.1
2013,May,4269,4044,225,5.3
2013,Jun,4306,4053,253,5.9
2013,Jul,4285,4048,237,5.5
2013,Aug,4209,3991,218,5.2
2013,Sep,4220,4007,213,5.0
2013,Oct,4213,4002,211,5.0
2013,Nov,4194,3991,203,4.8
2013,Dec,4201,4017,184,4.4
2014,Jan,4242,4037,205,4.8
2014,Feb,4271,4065,206,4.8
2014,Mar,4281,4082,199,4.6
2014,Apr,4258,4083,175,4.1
2014,May,4278,4085,193,4.5
2014,Jun,4296,4091,205,4.8
2014,Jul,4289,4074,215,5.0
2014,Aug,4244,4040,204,4.8
2014,Sep,4238,4053,185,4.4
2014,Oct,4223,4047,176,4.2
2014,Nov,4192,4016,176,4.2
2014,Dec,4150,3994,156,3.8
2015,Jan,4115,3931,184,4.5
2015,Feb,4130,3960,170,4.1
2015,Mar,4144,3972,172,4.2
2015,Apr,4141,3971,170,4.1
2015,May,4172,3980,192,4.6
2015,Jun,4177,3973,204,4.9
2015,Jul,4138,3941,197,4.8
2015,Aug,4091,3907,184,4.5
2015,Sep,4090,3905,185,4.5
2015,Oct,4100,3923,177,4.3
2015,Nov,4089,3912,177,4.3
2015,Dec,4090,3919,171,4.2
2016,Jan,4046,3858,188,4.6
2016,Feb,4102,3926,176,4.3
2016,Mar,4138,3955,183,4.4
2016,Apr,4119,3953,166,4.0
2016,May,4120,3954,166,4.0
2016,Jun,4131,3936,195,4.7
2016,Jul,4089,3902,187,4.6
2016,Aug,4068,3890,178,4.4
2016,Sep,4042,3859,183,4.5
2016,Oct,4067,3891,176,4.3
2016,Nov,4056,3896,160,3.9
2016,Dec,4067,3911,156,3.8
2017,Jan,4099,3934,165,4.0
2017,Feb,4143,3985,158,3.8
2017,Mar,4188,4040,148,3.5
2017,Apr,4181,4048,133,3.2
2017,May,4171,4033,138,3.3
2017,Jun,4161,4013,148,3.6
2017,Jul,4119,3980,139,3.4
2017,Aug,4109,3970,139,3.4
2017,Sep,4107,3977,130,3.2
2017,Oct,4128,4006,122,3.0
2017,Nov,4145,4018,127,3.1
2017,Dec,4146,4026,120,2.9
2018,Jan,4115,3981,134,3.3
2018,Feb,4157,4025,132,3.2
2018,Mar,4178,4047,131,3.1
2018,Apr,4157,4045,112,2.7
2018,May,4173,4058,115,2.8
2018,Jun,4166,4030,136,3.3
2018,Jul,4130,3997,133,3.2
2018,Aug,4120,3991,129,3.1
2018,Sep,4123,3993,130,3.2
2018,Oct,4123,4003,120,2.9
2018,Nov,4135,4018,117,2.8
2018,Dec,4121,4002,119,2.9
2019,Jan,4123,3987,136,3.3
2019,Feb,4141,4012,129,3.1
2019,Mar,4154,4029,125,3.0
2019,Apr,4118,4018,100,2.4
2019,May,4122,4021,101,2.5
2019,Jun,4147,4021,126,3.0
2019,Jul,4148,4019,129,3.1
2019,Aug,4156,4035,121,2.9
2019,Sep,4147,4034,113,2.7
2019,Oct,4174,4063,111,2.7
2019,Nov,4154,4043,111,2.7
2019,Dec,4144,4036,108,2.6
2020,Jan,4141,4016,125,3.0
2020,Feb,4164,4040,124,3.0
2020,Mar,4066,3899,167,4.1
2020,Apr,3574,3267,307,8.6
