Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480110000000003,LAUCN480110000000004,LAUCN480110000000005,LAUCN480110000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Armstrong County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,993,935,58,5.8
2010,Feb,984,932,52,5.3
2010,Mar,997,945,52,5.2
2010,Apr,1018,965,53,5.2
2010,May,1016,969,47,4.6
2010,Jun,1022,971,51,5.0
2010,Jul,1019,970,49,4.8
2010,Aug,1010,962,48,4.8
2010,Sep,1023,973,50,4.9
2010,Oct,1019,973,46,4.5
2010,Nov,1021,972,49,4.8
2010,Dec,1019,974,45,4.4
2011,Jan,1013,964,49,4.8
2011,Feb,1001,958,43,4.3
2011,Mar,1029,977,52,5.1
2011,Apr,1031,985,46,4.5
2011,May,1032,984,48,4.7
2011,Jun,1043,992,51,4.9
2011,Jul,1047,994,53,5.1
2011,Aug,1053,1000,53,5.0
2011,Sep,1055,1000,55,5.2
2011,Oct,1039,990,49,4.7
2011,Nov,1047,1000,47,4.5
2011,Dec,1050,1002,48,4.6
2012,Jan,1022,969,53,5.2
2012,Feb,1015,964,51,5.0
2012,Mar,1021,974,47,4.6
2012,Apr,1032,986,46,4.5
2012,May,1032,984,48,4.7
2012,Jun,1040,990,50,4.8
2012,Jul,1042,990,52,5.0
2012,Aug,1018,974,44,4.3
2012,Sep,1029,989,40,3.9
2012,Oct,1029,991,38,3.7
2012,Nov,1028,988,40,3.9
2012,Dec,1018,977,41,4.0
2013,Jan,993,948,45,4.5
2013,Feb,993,950,43,4.3
2013,Mar,985,944,41,4.2
2013,Apr,1010,972,38,3.8
2013,May,1020,978,42,4.1
2013,Jun,1028,980,48,4.7
2013,Jul,1024,980,44,4.3
2013,Aug,1003,964,39,3.9
2013,Sep,1012,973,39,3.9
2013,Oct,1010,974,36,3.6
2013,Nov,994,960,34,3.4
2013,Dec,1002,970,32,3.2
2014,Jan,994,957,37,3.7
2014,Feb,1011,974,37,3.7
2014,Mar,1007,975,32,3.2
2014,Apr,1019,989,30,2.9
2014,May,1023,990,33,3.2
2014,Jun,1021,986,35,3.4
2014,Jul,1016,978,38,3.7
2014,Aug,992,960,32,3.2
2014,Sep,999,969,30,3.0
2014,Oct,1004,976,28,2.8
2014,Nov,992,964,28,2.8
2014,Dec,980,956,24,2.4
2015,Jan,966,938,28,2.9
2015,Feb,982,956,26,2.6
2015,Mar,990,966,24,2.4
2015,Apr,982,961,21,2.1
2015,May,992,968,24,2.4
2015,Jun,986,959,27,2.7
2015,Jul,975,947,28,2.9
2015,Aug,957,932,25,2.6
2015,Sep,968,942,26,2.7
2015,Oct,973,946,27,2.8
2015,Nov,965,938,27,2.8
2015,Dec,968,944,24,2.5
2016,Jan,910,887,23,2.5
2016,Feb,942,918,24,2.5
2016,Mar,951,927,24,2.5
2016,Apr,952,930,22,2.3
2016,May,960,938,22,2.3
2016,Jun,944,916,28,3.0
2016,Jul,927,897,30,3.2
2016,Aug,933,902,31,3.3
2016,Sep,925,895,30,3.2
2016,Oct,923,895,28,3.0
2016,Nov,921,894,27,2.9
2016,Dec,919,892,27,2.9
2017,Jan,903,875,28,3.1
2017,Feb,921,893,28,3.0
2017,Mar,935,913,22,2.4
2017,Apr,935,915,20,2.1
2017,May,933,912,21,2.3
2017,Jun,922,899,23,2.5
2017,Jul,903,877,26,2.9
2017,Aug,909,884,25,2.8
2017,Sep,908,885,23,2.5
2017,Oct,919,896,23,2.5
2017,Nov,911,888,23,2.5
2017,Dec,912,888,24,2.6
2018,Jan,907,880,27,3.0
2018,Feb,920,897,23,2.5
2018,Mar,941,916,25,2.7
2018,Apr,928,904,24,2.6
2018,May,938,916,22,2.3
2018,Jun,927,899,28,3.0
2018,Jul,921,891,30,3.3
2018,Aug,927,897,30,3.2
2018,Sep,923,897,26,2.8
2018,Oct,912,892,20,2.2
2018,Nov,914,892,22,2.4
2018,Dec,902,881,21,2.3
2019,Jan,902,875,27,3.0
2019,Feb,922,894,28,3.0
2019,Mar,932,906,26,2.8
2019,Apr,926,905,21,2.3
2019,May,935,912,23,2.5
2019,Jun,927,901,26,2.8
2019,Jul,926,900,26,2.8
2019,Aug,940,914,26,2.8
2019,Sep,930,906,24,2.6
2019,Oct,941,917,24,2.6
2019,Nov,928,905,23,2.5
2019,Dec,933,908,25,2.7
2020,Jan,931,902,29,3.1
2020,Feb,945,916,29,3.1
2020,Mar,933,894,39,4.2
2020,Apr,820,766,54,6.6
