Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480130000000003,LAUCN480130000000004,LAUCN480130000000005,LAUCN480130000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Atascosa County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,19256,17573,1683,8.7
2010,Feb,19354,17727,1627,8.4
2010,Mar,19465,17873,1592,8.2
2010,Apr,19712,18171,1541,7.8
2010,May,19603,18098,1505,7.7
2010,Jun,19814,18136,1678,8.5
2010,Jul,19793,18106,1687,8.5
2010,Aug,19716,18077,1639,8.3
2010,Sep,19701,18129,1572,8.0
2010,Oct,19691,18147,1544,7.8
2010,Nov,19741,18138,1603,8.1
2010,Dec,19723,18180,1543,7.8
2011,Jan,19621,17955,1666,8.5
2011,Feb,19643,18046,1597,8.1
2011,Mar,19765,18203,1562,7.9
2011,Apr,19798,18272,1526,7.7
2011,May,19820,18267,1553,7.8
2011,Jun,20043,18283,1760,8.8
2011,Jul,20068,18322,1746,8.7
2011,Aug,20047,18364,1683,8.4
2011,Sep,20043,18433,1610,8.0
2011,Oct,19942,18418,1524,7.6
2011,Nov,19960,18516,1444,7.2
2011,Dec,19947,18562,1385,6.9
2012,Jan,19802,18353,1449,7.3
2012,Feb,19864,18431,1433,7.2
2012,Mar,19927,18555,1372,6.9
2012,Apr,19954,18661,1293,6.5
2012,May,20015,18686,1329,6.6
2012,Jun,20274,18767,1507,7.4
2012,Jul,20274,18765,1509,7.4
2012,Aug,20113,18718,1395,6.9
2012,Sep,20174,18914,1260,6.2
2012,Oct,20193,18941,1252,6.2
2012,Nov,20139,18932,1207,6.0
2012,Dec,20135,18903,1232,6.1
2013,Jan,19965,18596,1369,6.9
2013,Feb,19998,18714,1284,6.4
2013,Mar,19949,18728,1221,6.1
2013,Apr,20142,18976,1166,5.8
2013,May,20281,19038,1243,6.1
2013,Jun,20522,19096,1426,6.9
2013,Jul,20559,19166,1393,6.8
2013,Aug,20323,19026,1297,6.4
2013,Sep,20414,19131,1283,6.3
2013,Oct,20258,19026,1232,6.1
2013,Nov,20275,19127,1148,5.7
2013,Dec,20270,19191,1079,5.3
2014,Jan,20103,18986,1117,5.6
2014,Feb,20287,19168,1119,5.5
2014,Mar,20357,19289,1068,5.2
2014,Apr,20350,19427,923,4.5
2014,May,20475,19456,1019,5.0
2014,Jun,20590,19493,1097,5.3
2014,Jul,20617,19483,1134,5.5
2014,Aug,20421,19353,1068,5.2
2014,Sep,20440,19446,994,4.9
2014,Oct,20469,19560,909,4.4
2014,Nov,20424,19547,877,4.3
2014,Dec,20211,19434,777,3.8
2015,Jan,20119,19217,902,4.5
2015,Feb,20280,19384,896,4.4
2015,Mar,20385,19492,893,4.4
2015,Apr,20486,19614,872,4.3
2015,May,20671,19691,980,4.7
2015,Jun,20638,19606,1032,5.0
2015,Jul,20629,19570,1059,5.1
2015,Aug,20478,19485,993,4.8
2015,Sep,20582,19581,1001,4.9
2015,Oct,20681,19658,1023,4.9
2015,Nov,20773,19723,1050,5.1
2015,Dec,20753,19737,1016,4.9
2016,Jan,20507,19445,1062,5.2
2016,Feb,20842,19753,1089,5.2
2016,Mar,21046,19890,1156,5.5
2016,Apr,21056,19944,1112,5.3
2016,May,21084,20002,1082,5.1
2016,Jun,21093,19915,1178,5.6
2016,Jul,21136,19899,1237,5.9
2016,Aug,21107,19909,1198,5.7
2016,Sep,21107,19942,1165,5.5
2016,Oct,21038,19954,1084,5.2
2016,Nov,21082,20040,1042,4.9
2016,Dec,21054,20014,1040,4.9
2017,Jan,20795,19694,1101,5.3
2017,Feb,20911,19867,1044,5.0
2017,Mar,21023,20063,960,4.6
2017,Apr,20966,20110,856,4.1
2017,May,20898,20053,845,4.0
2017,Jun,20987,20073,914,4.4
2017,Jul,20965,20054,911,4.3
2017,Aug,20938,20031,907,4.3
2017,Sep,21030,20206,824,3.9
2017,Oct,20913,20145,768,3.7
2017,Nov,20939,20148,791,3.8
2017,Dec,20942,20177,765,3.7
2018,Jan,21095,20257,838,4.0
2018,Feb,21341,20498,843,4.0
2018,Mar,21465,20647,818,3.8
2018,Apr,21447,20697,750,3.5
2018,May,21455,20699,756,3.5
2018,Jun,21533,20641,892,4.1
2018,Jul,21501,20647,854,4.0
2018,Aug,21379,20561,818,3.8
2018,Sep,21433,20657,776,3.6
2018,Oct,21398,20659,739,3.5
2018,Nov,21461,20704,757,3.5
2018,Dec,21454,20668,786,3.7
2019,Jan,21440,20552,888,4.1
2019,Feb,21555,20743,812,3.8
2019,Mar,21607,20834,773,3.6
2019,Apr,21491,20834,657,3.1
2019,May,21532,20831,701,3.3
2019,Jun,21671,20844,827,3.8
2019,Jul,21757,20906,851,3.9
2019,Aug,21784,20960,824,3.8
2019,Sep,21811,21042,769,3.5
2019,Oct,21976,21229,747,3.4
2019,Nov,21929,21163,766,3.5
2019,Dec,21938,21201,737,3.4
2020,Jan,21972,21135,837,3.8
2020,Feb,22068,21253,815,3.7
2020,Mar,21693,20531,1162,5.4
2020,Apr,19952,17366,2586,13.0
