Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480150000000003,LAUCN480150000000004,LAUCN480150000000005,LAUCN480150000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Austin County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,13644,12470,1174,8.6
2010,Feb,13702,12538,1164,8.5
2010,Mar,13766,12637,1129,8.2
2010,Apr,13948,12858,1090,7.8
2010,May,13877,12799,1078,7.8
2010,Jun,13990,12829,1161,8.3
2010,Jul,14011,12891,1120,8.0
2010,Aug,13968,12863,1105,7.9
2010,Sep,13995,12930,1065,7.6
2010,Oct,14028,12917,1111,7.9
2010,Nov,14073,12921,1152,8.2
2010,Dec,14044,12960,1084,7.7
2011,Jan,13922,12761,1161,8.3
2011,Feb,13936,12800,1136,8.2
2011,Mar,14007,12914,1093,7.8
2011,Apr,14012,12976,1036,7.4
2011,May,14005,12958,1047,7.5
2011,Jun,14204,13005,1199,8.4
2011,Jul,14312,13043,1269,8.9
2011,Aug,14283,13081,1202,8.4
2011,Sep,14329,13164,1165,8.1
2011,Oct,14244,13165,1079,7.6
2011,Nov,14279,13251,1028,7.2
2011,Dec,14298,13311,987,6.9
2012,Jan,13890,12882,1008,7.3
2012,Feb,13895,12939,956,6.9
2012,Mar,13948,13045,903,6.5
2012,Apr,13976,13113,863,6.2
2012,May,14053,13151,902,6.4
2012,Jun,14198,13203,995,7.0
2012,Jul,14215,13239,976,6.9
2012,Aug,14098,13185,913,6.5
2012,Sep,14199,13362,837,5.9
2012,Oct,14221,13404,817,5.7
2012,Nov,14209,13400,809,5.7
2012,Dec,14216,13385,831,5.8
2013,Jan,13986,13038,948,6.8
2013,Feb,14001,13136,865,6.2
2013,Mar,13972,13149,823,5.9
2013,Apr,14080,13290,790,5.6
2013,May,14177,13339,838,5.9
2013,Jun,14257,13341,916,6.4
2013,Jul,14296,13406,890,6.2
2013,Aug,14145,13306,839,5.9
2013,Sep,14221,13399,822,5.8
2013,Oct,14147,13369,778,5.5
2013,Nov,14168,13420,748,5.3
2013,Dec,14187,13494,693,4.9
2014,Jan,13950,13216,734,5.3
2014,Feb,14100,13351,749,5.3
2014,Mar,14148,13417,731,5.2
2014,Apr,14089,13486,603,4.3
2014,May,14192,13506,686,4.8
2014,Jun,14209,13493,716,5.0
2014,Jul,14263,13517,746,5.2
2014,Aug,14157,13436,721,5.1
2014,Sep,14198,13541,657,4.6
2014,Oct,14234,13618,616,4.3
2014,Nov,14177,13593,584,4.1
2014,Dec,14113,13556,557,3.9
2015,Jan,13969,13351,618,4.4
2015,Feb,14012,13438,574,4.1
2015,Mar,14034,13478,556,4.0
2015,Apr,14038,13488,550,3.9
2015,May,14124,13497,627,4.4
2015,Jun,14128,13429,699,4.9
2015,Jul,14103,13383,720,5.1
2015,Aug,14000,13297,703,5.0
2015,Sep,14005,13328,677,4.8
2015,Oct,14065,13379,686,4.9
2015,Nov,14021,13349,672,4.8
2015,Dec,14022,13380,642,4.6
2016,Jan,13836,13161,675,4.9
2016,Feb,14035,13340,695,5.0
2016,Mar,14124,13384,740,5.2
2016,Apr,14085,13387,698,5.0
2016,May,14100,13395,705,5.0
2016,Jun,14140,13307,833,5.9
2016,Jul,14089,13246,843,6.0
2016,Aug,14040,13210,830,5.9
2016,Sep,14028,13214,814,5.8
2016,Oct,13961,13233,728,5.2
2016,Nov,13937,13239,698,5.0
2016,Dec,13906,13218,688,4.9
2017,Jan,13692,12946,746,5.4
2017,Feb,13807,13098,709,5.1
2017,Mar,13926,13247,679,4.9
2017,Apr,13871,13269,602,4.3
2017,May,13862,13250,612,4.4
2017,Jun,13865,13224,641,4.6
2017,Jul,13794,13163,631,4.6
2017,Aug,13754,13144,610,4.4
2017,Sep,13744,13192,552,4.0
2017,Oct,13751,13259,492,3.6
2017,Nov,13797,13275,522,3.8
2017,Dec,13800,13298,502,3.6
2018,Jan,13664,13100,564,4.1
2018,Feb,13865,13308,557,4.0
2018,Mar,13934,13404,530,3.8
2018,Apr,13848,13370,478,3.5
2018,May,13881,13408,473,3.4
2018,Jun,13915,13352,563,4.0
2018,Jul,13892,13358,534,3.8
2018,Aug,13810,13297,513,3.7
2018,Sep,13846,13374,472,3.4
2018,Oct,13884,13437,447,3.2
2018,Nov,13911,13460,451,3.2
2018,Dec,13918,13443,475,3.4
2019,Jan,13946,13392,554,4.0
2019,Feb,14068,13566,502,3.6
2019,Mar,14084,13606,478,3.4
2019,Apr,13965,13566,399,2.9
2019,May,14008,13585,423,3.0
2019,Jun,14073,13556,517,3.7
2019,Jul,14122,13583,539,3.8
2019,Aug,14112,13599,513,3.6
2019,Sep,14136,13670,466,3.3
2019,Oct,14209,13747,462,3.3
2019,Nov,14222,13737,485,3.4
2019,Dec,14210,13749,461,3.2
2020,Jan,14199,13670,529,3.7
2020,Feb,14363,13854,509,3.5
2020,Mar,14134,13400,734,5.2
2020,Apr,12542,11340,1202,9.6
