Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480170000000003,LAUCN480170000000004,LAUCN480170000000005,LAUCN480170000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Bailey County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,3085,2809,276,8.9
2010,Feb,3084,2817,267,8.7
2010,Mar,3187,2912,275,8.6
2010,Apr,3327,3068,259,7.8
2010,May,3276,3020,256,7.8
2010,Jun,3428,3141,287,8.4
2010,Jul,3403,3132,271,8.0
2010,Aug,3343,3071,272,8.1
2010,Sep,3299,3062,237,7.2
2010,Oct,3242,3018,224,6.9
2010,Nov,3216,2982,234,7.3
2010,Dec,3201,2981,220,6.9
2011,Jan,3152,2897,255,8.1
2011,Feb,3143,2883,260,8.3
2011,Mar,3228,2983,245,7.6
2011,Apr,3273,3041,232,7.1
2011,May,3256,3013,243,7.5
2011,Jun,3420,3142,278,8.1
2011,Jul,3411,3139,272,8.0
2011,Aug,3456,3191,265,7.7
2011,Sep,3382,3141,241,7.1
2011,Oct,3193,2973,220,6.9
2011,Nov,3251,3039,212,6.5
2011,Dec,3305,3082,223,6.7
2012,Jan,3106,2865,241,7.8
2012,Feb,3085,2841,244,7.9
2012,Mar,3142,2902,240,7.6
2012,Apr,3220,3014,206,6.4
2012,May,3268,3048,220,6.7
2012,Jun,3346,3098,248,7.4
2012,Jul,3308,3063,245,7.4
2012,Aug,3256,3031,225,6.9
2012,Sep,3224,3032,192,6.0
2012,Oct,3109,2925,184,5.9
2012,Nov,3070,2889,181,5.9
2012,Dec,3052,2843,209,6.8
2013,Jan,2936,2689,247,8.4
2013,Feb,2966,2724,242,8.2
2013,Mar,2937,2701,236,8.0
2013,Apr,3065,2856,209,6.8
2013,May,3148,2931,217,6.9
2013,Jun,3227,2975,252,7.8
2013,Jul,3206,2961,245,7.6
2013,Aug,3097,2870,227,7.3
2013,Sep,3102,2900,202,6.5
2013,Oct,3011,2822,189,6.3
2013,Nov,2915,2736,179,6.1
2013,Dec,2957,2792,165,5.6
2014,Jan,2909,2744,165,5.7
2014,Feb,2997,2824,173,5.8
2014,Mar,3054,2863,191,6.3
2014,Apr,3062,2919,143,4.7
2014,May,3064,2913,151,4.9
2014,Jun,3120,2952,168,5.4
2014,Jul,3039,2869,170,5.6
2014,Aug,2916,2766,150,5.1
2014,Sep,2904,2774,130,4.5
2014,Oct,2881,2760,121,4.2
2014,Nov,2811,2691,120,4.3
2014,Dec,2780,2670,110,4.0
2015,Jan,2761,2627,134,4.9
2015,Feb,2842,2709,133,4.7
2015,Mar,2923,2799,124,4.2
2015,Apr,2863,2750,113,3.9
2015,May,2916,2791,125,4.3
2015,Jun,2963,2815,148,5.0
2015,Jul,2849,2710,139,4.9
2015,Aug,2748,2631,117,4.3
2015,Sep,2728,2620,108,4.0
2015,Oct,2735,2632,103,3.8
2015,Nov,2623,2525,98,3.7
2015,Dec,2652,2556,96,3.6
2016,Jan,2577,2466,111,4.3
2016,Feb,2776,2652,124,4.5
2016,Mar,2832,2709,123,4.3
2016,Apr,2835,2721,114,4.0
2016,May,2881,2764,117,4.1
2016,Jun,2828,2692,136,4.8
2016,Jul,2676,2535,141,5.3
2016,Aug,2708,2584,124,4.6
2016,Sep,2653,2543,110,4.1
2016,Oct,2634,2525,109,4.1
2016,Nov,2606,2499,107,4.1
2016,Dec,2597,2491,106,4.1
2017,Jan,2591,2465,126,4.9
2017,Feb,2654,2522,132,5.0
2017,Mar,2810,2680,130,4.6
2017,Apr,2758,2650,108,3.9
2017,May,2766,2653,113,4.1
2017,Jun,2771,2638,133,4.8
2017,Jul,2614,2483,131,5.0
2017,Aug,2665,2538,127,4.8
2017,Sep,2542,2444,98,3.9
2017,Oct,2618,2528,90,3.4
2017,Nov,2569,2475,94,3.7
2017,Dec,2582,2491,91,3.5
2018,Jan,2526,2420,106,4.2
2018,Feb,2618,2493,125,4.8
2018,Mar,2718,2592,126,4.6
2018,Apr,2677,2562,115,4.3
2018,May,2750,2632,118,4.3
2018,Jun,2683,2538,145,5.4
2018,Jul,2590,2461,129,5.0
2018,Aug,2665,2551,114,4.3
2018,Sep,2631,2526,105,4.0
2018,Oct,2579,2476,103,4.0
2018,Nov,2525,2431,94,3.7
2018,Dec,2466,2374,92,3.7
2019,Jan,2396,2292,104,4.3
2019,Feb,2494,2391,103,4.1
2019,Mar,2554,2452,102,4.0
2019,Apr,2510,2429,81,3.2
2019,May,2579,2489,90,3.5
2019,Jun,2601,2487,114,4.4
2019,Jul,2523,2412,111,4.4
2019,Aug,2573,2485,88,3.4
2019,Sep,2489,2405,84,3.4
2019,Oct,2525,2443,82,3.2
2019,Nov,2415,2333,82,3.4
2019,Dec,2436,2364,72,3.0
2020,Jan,2415,2319,96,4.0
2020,Feb,2460,2368,92,3.7
2020,Mar,2468,2336,132,5.3
2020,Apr,2096,1961,135,6.4
