Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480190000000003,LAUCN480190000000004,LAUCN480190000000005,LAUCN480190000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Bandera County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,9008,8264,744,8.3
2010,Feb,9045,8328,717,7.9
2010,Mar,9106,8389,717,7.9
2010,Apr,9235,8527,708,7.7
2010,May,9165,8479,686,7.5
2010,Jun,9245,8510,735,8.0
2010,Jul,9231,8490,741,8.0
2010,Aug,9195,8476,719,7.8
2010,Sep,9206,8505,701,7.6
2010,Oct,9203,8507,696,7.6
2010,Nov,9241,8510,731,7.9
2010,Dec,9227,8536,691,7.5
2011,Jan,9093,8351,742,8.2
2011,Feb,9086,8384,702,7.7
2011,Mar,9155,8446,709,7.7
2011,Apr,9133,8474,659,7.2
2011,May,9116,8459,657,7.2
2011,Jun,9201,8470,731,7.9
2011,Jul,9219,8493,726,7.9
2011,Aug,9226,8514,712,7.7
2011,Sep,9260,8549,711,7.7
2011,Oct,9195,8542,653,7.1
2011,Nov,9228,8595,633,6.9
2011,Dec,9243,8618,625,6.8
2012,Jan,9034,8372,662,7.3
2012,Feb,9025,8397,628,7.0
2012,Mar,9057,8450,607,6.7
2012,Apr,9066,8497,569,6.3
2012,May,9095,8493,602,6.6
2012,Jun,9194,8544,650,7.1
2012,Jul,9199,8543,656,7.1
2012,Aug,9136,8527,609,6.7
2012,Sep,9200,8629,571,6.2
2012,Oct,9189,8637,552,6.0
2012,Nov,9178,8644,534,5.8
2012,Dec,9165,8624,541,5.9
2013,Jan,8971,8358,613,6.8
2013,Feb,8968,8408,560,6.2
2013,Mar,8945,8404,541,6.0
2013,Apr,9038,8528,510,5.6
2013,May,9099,8543,556,6.1
2013,Jun,9167,8566,601,6.6
2013,Jul,9193,8600,593,6.5
2013,Aug,9084,8538,546,6.0
2013,Sep,9135,8589,546,6.0
2013,Oct,9067,8542,525,5.8
2013,Nov,9102,8600,502,5.5
2013,Dec,9088,8624,464,5.1
2014,Jan,9014,8518,496,5.5
2014,Feb,9094,8606,488,5.4
2014,Mar,9126,8654,472,5.2
2014,Apr,9107,8715,392,4.3
2014,May,9164,8723,441,4.8
2014,Jun,9194,8743,451,4.9
2014,Jul,9221,8736,485,5.3
2014,Aug,9132,8677,455,5.0
2014,Sep,9158,8735,423,4.6
2014,Oct,9182,8790,392,4.3
2014,Nov,9175,8790,385,4.2
2014,Dec,9062,8723,339,3.7
2015,Jan,9049,8654,395,4.4
2015,Feb,9078,8715,363,4.0
2015,Mar,9127,8775,352,3.9
2015,Apr,9177,8845,332,3.6
2015,May,9250,8884,366,4.0
2015,Jun,9225,8840,385,4.2
2015,Jul,9211,8823,388,4.2
2015,Aug,9129,8779,350,3.8
2015,Sep,9194,8826,368,4.0
2015,Oct,9225,8865,360,3.9
2015,Nov,9258,8894,364,3.9
2015,Dec,9233,8889,344,3.7
2016,Jan,9276,8900,376,4.1
2016,Feb,9399,9034,365,3.9
2016,Mar,9500,9107,393,4.1
2016,Apr,9501,9141,360,3.8
2016,May,9525,9166,359,3.8
2016,Jun,9542,9134,408,4.3
2016,Jul,9545,9120,425,4.5
2016,Aug,9523,9119,404,4.2
2016,Sep,9531,9120,411,4.3
2016,Oct,9534,9136,398,4.2
2016,Nov,9560,9172,388,4.1
2016,Dec,9555,9174,381,4.0
2017,Jan,9627,9224,403,4.2
2017,Feb,9707,9309,398,4.1
2017,Mar,9747,9392,355,3.6
2017,Apr,9722,9412,310,3.2
2017,May,9713,9386,327,3.4
2017,Jun,9765,9405,360,3.7
2017,Jul,9758,9386,372,3.8
2017,Aug,9747,9373,374,3.8
2017,Sep,9803,9451,352,3.6
2017,Oct,9748,9428,320,3.3
2017,Nov,9770,9436,334,3.4
2017,Dec,9777,9464,313,3.2
2018,Jan,9803,9453,350,3.6
2018,Feb,9918,9556,362,3.6
2018,Mar,9989,9633,356,3.6
2018,Apr,9962,9656,306,3.1
2018,May,9950,9645,305,3.1
2018,Jun,9959,9612,347,3.5
2018,Jul,9953,9618,335,3.4
2018,Aug,9923,9567,356,3.6
2018,Sep,9950,9613,337,3.4
2018,Oct,9936,9611,325,3.3
2018,Nov,9959,9636,323,3.2
2018,Dec,9962,9636,326,3.3
2019,Jan,9969,9586,383,3.8
2019,Feb,10018,9668,350,3.5
2019,Mar,10056,9707,349,3.5
2019,Apr,9977,9700,277,2.8
2019,May,9979,9693,286,2.9
2019,Jun,10027,9700,327,3.3
2019,Jul,10078,9728,350,3.5
2019,Aug,10120,9756,364,3.6
2019,Sep,10126,9791,335,3.3
2019,Oct,10191,9864,327,3.2
2019,Nov,10155,9847,308,3.0
2019,Dec,10164,9869,295,2.9
2020,Jan,10182,9837,345,3.4
2020,Feb,10227,9895,332,3.2
2020,Mar,10025,9552,473,4.7
2020,Apr,8895,8059,836,9.4
