Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480210000000003,LAUCN480210000000004,LAUCN480210000000005,LAUCN480210000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Bastrop County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,34492,31495,2997,8.7
2010,Feb,34619,31705,2914,8.4
2010,Mar,34906,32005,2901,8.3
2010,Apr,35310,32508,2802,7.9
2010,May,35120,32327,2793,8.0
2010,Jun,35447,32381,3066,8.6
2010,Jul,35403,32392,3011,8.5
2010,Aug,35377,32471,2906,8.2
2010,Sep,35470,32615,2855,8.0
2010,Oct,35659,32838,2821,7.9
2010,Nov,35900,32952,2948,8.2
2010,Dec,35768,32898,2870,8.0
2011,Jan,35144,32169,2975,8.5
2011,Feb,35261,32405,2856,8.1
2011,Mar,35445,32625,2820,8.0
2011,Apr,35554,32875,2679,7.5
2011,May,35510,32802,2708,7.6
2011,Jun,35841,32730,3111,8.7
2011,Jul,35819,32715,3104,8.7
2011,Aug,35831,32878,2953,8.2
2011,Sep,36044,33106,2938,8.2
2011,Oct,36024,33285,2739,7.6
2011,Nov,36137,33525,2612,7.2
2011,Dec,36017,33496,2521,7.0
2012,Jan,34840,32256,2584,7.4
2012,Feb,34880,32389,2491,7.1
2012,Mar,35101,32573,2528,7.2
2012,Apr,35004,32752,2252,6.4
2012,May,35117,32771,2346,6.7
2012,Jun,35444,32834,2610,7.4
2012,Jul,35441,32841,2600,7.3
2012,Aug,35170,32793,2377,6.8
2012,Sep,35448,33278,2170,6.1
2012,Oct,35749,33570,2179,6.1
2012,Nov,35782,33723,2059,5.8
2012,Dec,35672,33553,2119,5.9
2013,Jan,35332,32938,2394,6.8
2013,Feb,35359,33109,2250,6.4
2013,Mar,35516,33196,2320,6.5
2013,Apr,35695,33644,2051,5.7
2013,May,35894,33726,2168,6.0
2013,Jun,36266,33736,2530,7.0
2013,Jul,36249,33793,2456,6.8
2013,Aug,35993,33689,2304,6.4
2013,Sep,36151,33968,2183,6.0
2013,Oct,36105,33942,2163,6.0
2013,Nov,36242,34336,1906,5.3
2013,Dec,36113,34322,1791,5.0
2014,Jan,36218,34317,1901,5.2
2014,Feb,36558,34634,1924,5.3
2014,Mar,36841,34853,1988,5.4
2014,Apr,36582,35020,1562,4.3
2014,May,36694,34972,1722,4.7
2014,Jun,36962,35011,1951,5.3
2014,Jul,37045,34970,2075,5.6
2014,Aug,36768,34821,1947,5.3
2014,Sep,36812,35055,1757,4.8
2014,Oct,36936,35332,1604,4.3
2014,Nov,36992,35412,1580,4.3
2014,Dec,36644,35217,1427,3.9
2015,Jan,36901,35301,1600,4.3
2015,Feb,37083,35589,1494,4.0
2015,Mar,37209,35809,1400,3.8
2015,Apr,37372,36071,1301,3.5
2015,May,37589,36185,1404,3.7
2015,Jun,37818,36173,1645,4.3
2015,Jul,37696,36009,1687,4.5
2015,Aug,37404,35932,1472,3.9
2015,Sep,37621,36204,1417,3.8
2015,Oct,37838,36449,1389,3.7
2015,Nov,37995,36653,1342,3.5
2015,Dec,37998,36695,1303,3.4
2016,Jan,38094,36707,1387,3.6
2016,Feb,38586,37209,1377,3.6
2016,Mar,38801,37416,1385,3.6
2016,Apr,38832,37547,1285,3.3
2016,May,38863,37574,1289,3.3
2016,Jun,39211,37580,1631,4.2
2016,Jul,39280,37579,1701,4.3
2016,Aug,39089,37483,1606,4.1
2016,Sep,39239,37703,1536,3.9
2016,Oct,39384,37901,1483,3.8
2016,Nov,39443,38043,1400,3.5
2016,Dec,39345,37939,1406,3.6
2017,Jan,39414,37860,1554,3.9
2017,Feb,39821,38257,1564,3.9
2017,Mar,40097,38535,1562,3.9
2017,Apr,40046,38767,1279,3.2
2017,May,40035,38710,1325,3.3
2017,Jun,40289,38724,1565,3.9
2017,Jul,40353,38752,1601,4.0
2017,Aug,40238,38610,1628,4.0
2017,Sep,40454,39094,1360,3.4
2017,Oct,40466,39209,1257,3.1
2017,Nov,40593,39269,1324,3.3
2017,Dec,40553,39280,1273,3.1
2018,Jan,40832,39423,1409,3.5
2018,Feb,41360,39940,1420,3.4
2018,Mar,41598,40076,1522,3.7
2018,Apr,41496,40235,1261,3.0
2018,May,41551,40295,1256,3.0
2018,Jun,41909,40281,1628,3.9
2018,Jul,41891,40281,1610,3.8
2018,Aug,41445,40009,1436,3.5
2018,Sep,41719,40387,1332,3.2
2018,Oct,42013,40731,1282,3.1
2018,Nov,42147,40864,1283,3.0
2018,Dec,42115,40790,1325,3.1
2019,Jan,42322,40753,1569,3.7
2019,Feb,42576,41239,1337,3.1
2019,Mar,42594,41346,1248,2.9
2019,Apr,42476,41437,1039,2.4
2019,May,42481,41399,1082,2.5
2019,Jun,42906,41468,1438,3.4
2019,Jul,43111,41601,1510,3.5
2019,Aug,42911,41567,1344,3.1
2019,Sep,43122,41855,1267,2.9
2019,Oct,43412,42168,1244,2.9
2019,Nov,43397,42178,1219,2.8
2019,Dec,43487,42291,1196,2.8
2020,Jan,43422,42083,1339,3.1
2020,Feb,43806,42528,1278,2.9
2020,Mar,42881,41081,1800,4.2
2020,Apr,38520,34396,4124,10.7
