Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480230000000003,LAUCN480230000000004,LAUCN480230000000005,LAUCN480230000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Baylor County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1705,1573,132,7.7
2010,Feb,1682,1553,129,7.7
2010,Mar,1713,1586,127,7.4
2010,Apr,1750,1619,131,7.5
2010,May,1745,1616,129,7.4
2010,Jun,1779,1650,129,7.3
2010,Jul,1755,1628,127,7.2
2010,Aug,1730,1611,119,6.9
2010,Sep,1717,1604,113,6.6
2010,Oct,1743,1631,112,6.4
2010,Nov,1745,1632,113,6.5
2010,Dec,1738,1633,105,6.0
2011,Jan,1730,1615,115,6.6
2011,Feb,1701,1592,109,6.4
2011,Mar,1728,1622,106,6.1
2011,Apr,1699,1598,101,5.9
2011,May,1714,1607,107,6.2
2011,Jun,1819,1693,126,6.9
2011,Jul,1848,1727,121,6.5
2011,Aug,1912,1795,117,6.1
2011,Sep,1993,1872,121,6.1
2011,Oct,2037,1927,110,5.4
2011,Nov,2104,2001,103,4.9
2011,Dec,2065,1967,98,4.7
2012,Jan,1989,1887,102,5.1
2012,Feb,1910,1814,96,5.0
2012,Mar,1935,1845,90,4.7
2012,Apr,1916,1831,85,4.4
2012,May,1906,1810,96,5.0
2012,Jun,1922,1819,103,5.4
2012,Jul,1887,1783,104,5.5
2012,Aug,1820,1720,100,5.5
2012,Sep,1806,1711,95,5.3
2012,Oct,1801,1707,94,5.2
2012,Nov,1792,1707,85,4.7
2012,Dec,1711,1617,94,5.5
2013,Jan,1683,1576,107,6.4
2013,Feb,1659,1559,100,6.0
2013,Mar,1659,1564,95,5.7
2013,Apr,1680,1593,87,5.2
2013,May,1672,1582,90,5.4
2013,Jun,1722,1624,98,5.7
2013,Jul,1709,1617,92,5.4
2013,Aug,1642,1559,83,5.1
2013,Sep,1648,1565,83,5.0
2013,Oct,1677,1593,84,5.0
2013,Nov,1658,1582,76,4.6
2013,Dec,1667,1595,72,4.3
2014,Jan,1616,1541,75,4.6
2014,Feb,1634,1555,79,4.8
2014,Mar,1631,1556,75,4.6
2014,Apr,1637,1568,69,4.2
2014,May,1680,1608,72,4.3
2014,Jun,1668,1593,75,4.5
2014,Jul,1663,1583,80,4.8
2014,Aug,1640,1569,71,4.3
2014,Sep,1673,1608,65,3.9
2014,Oct,1691,1628,63,3.7
2014,Nov,1665,1605,60,3.6
2014,Dec,1648,1591,57,3.5
2015,Jan,1621,1557,64,3.9
2015,Feb,1605,1546,59,3.7
2015,Mar,1614,1557,57,3.5
2015,Apr,1605,1550,55,3.4
2015,May,1621,1558,63,3.9
2015,Jun,1673,1608,65,3.9
2015,Jul,1629,1568,61,3.7
2015,Aug,1597,1543,54,3.4
2015,Sep,1629,1572,57,3.5
2015,Oct,1674,1621,53,3.2
2015,Nov,1608,1557,51,3.2
2015,Dec,1649,1601,48,2.9
2016,Jan,1588,1527,61,3.8
2016,Feb,1604,1550,54,3.4
2016,Mar,1615,1561,54,3.3
2016,Apr,1586,1534,52,3.3
2016,May,1627,1571,56,3.4
2016,Jun,1655,1592,63,3.8
2016,Jul,1616,1555,61,3.8
2016,Aug,1607,1552,55,3.4
2016,Sep,1593,1540,53,3.3
2016,Oct,1608,1547,61,3.8
2016,Nov,1574,1515,59,3.7
2016,Dec,1586,1521,65,4.1
2017,Jan,1563,1499,64,4.1
2017,Feb,1575,1510,65,4.1
2017,Mar,1605,1546,59,3.7
2017,Apr,1573,1525,48,3.1
2017,May,1609,1560,49,3.0
2017,Jun,1639,1581,58,3.5
2017,Jul,1580,1520,60,3.8
2017,Aug,1583,1525,58,3.7
2017,Sep,1578,1530,48,3.0
2017,Oct,1582,1536,46,2.9
2017,Nov,1585,1537,48,3.0
2017,Dec,1592,1551,41,2.6
2018,Jan,1500,1454,46,3.1
2018,Feb,1509,1458,51,3.4
2018,Mar,1544,1495,49,3.2
2018,Apr,1558,1512,46,3.0
2018,May,1581,1535,46,2.9
2018,Jun,1601,1547,54,3.4
2018,Jul,1578,1521,57,3.6
2018,Aug,1582,1525,57,3.6
2018,Sep,1574,1522,52,3.3
2018,Oct,1547,1499,48,3.1
2018,Nov,1539,1497,42,2.7
2018,Dec,1549,1507,42,2.7
2019,Jan,1711,1662,49,2.9
2019,Feb,1711,1670,41,2.4
2019,Mar,1745,1703,42,2.4
2019,Apr,1722,1689,33,1.9
2019,May,1773,1740,33,1.9
2019,Jun,1780,1740,40,2.2
2019,Jul,1788,1745,43,2.4
2019,Aug,1802,1757,45,2.5
2019,Sep,1780,1740,40,2.2
2019,Oct,1790,1753,37,2.1
2019,Nov,1783,1744,39,2.2
2019,Dec,1792,1752,40,2.2
2020,Jan,1781,1737,44,2.5
2020,Feb,1784,1737,47,2.6
2020,Mar,1769,1702,67,3.8
2020,Apr,1523,1459,64,4.2
