Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480250000000003,LAUCN480250000000004,LAUCN480250000000005,LAUCN480250000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Bee County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,10322,9356,966,9.4
2010,Feb,10414,9469,945,9.1
2010,Mar,10560,9643,917,8.7
2010,Apr,10600,9702,898,8.5
2010,May,10494,9602,892,8.5
2010,Jun,10625,9653,972,9.1
2010,Jul,10538,9551,987,9.4
2010,Aug,10463,9502,961,9.2
2010,Sep,10633,9695,938,8.8
2010,Oct,10561,9653,908,8.6
2010,Nov,10545,9577,968,9.2
2010,Dec,10510,9584,926,8.8
2011,Jan,10505,9543,962,9.2
2011,Feb,10590,9662,928,8.8
2011,Mar,10649,9740,909,8.5
2011,Apr,10564,9693,871,8.2
2011,May,10522,9613,909,8.6
2011,Jun,10645,9636,1009,9.5
2011,Jul,10544,9583,961,9.1
2011,Aug,10571,9619,952,9.0
2011,Sep,10672,9751,921,8.6
2011,Oct,10663,9798,865,8.1
2011,Nov,10604,9788,816,7.7
2011,Dec,10557,9765,792,7.5
2012,Jan,10740,9931,809,7.5
2012,Feb,10809,10024,785,7.3
2012,Mar,10772,10028,744,6.9
2012,Apr,10889,10173,716,6.6
2012,May,10946,10181,765,7.0
2012,Jun,10994,10156,838,7.6
2012,Jul,10788,9958,830,7.7
2012,Aug,10727,9967,760,7.1
2012,Sep,10864,10158,706,6.5
2012,Oct,10887,10167,720,6.6
2012,Nov,10897,10169,728,6.7
2012,Dec,10917,10167,750,6.9
2013,Jan,11037,10222,815,7.4
2013,Feb,11095,10330,765,6.9
2013,Mar,11093,10362,731,6.6
2013,Apr,11271,10561,710,6.3
2013,May,11525,10756,769,6.7
2013,Jun,11736,10892,844,7.2
2013,Jul,11780,10980,800,6.8
2013,Aug,11695,10945,750,6.4
2013,Sep,11701,10969,732,6.3
2013,Oct,11010,10294,716,6.5
2013,Nov,10984,10309,675,6.1
2013,Dec,10923,10302,621,5.7
2014,Jan,10836,10181,655,6.0
2014,Feb,10983,10311,672,6.1
2014,Mar,11000,10348,652,5.9
2014,Apr,10910,10344,566,5.2
2014,May,10916,10315,601,5.5
2014,Jun,10987,10302,685,6.2
2014,Jul,10614,9899,715,6.7
2014,Aug,10531,9867,664,6.3
2014,Sep,10689,10079,610,5.7
2014,Oct,10544,9969,575,5.5
2014,Nov,10526,9953,573,5.4
2014,Dec,10427,9908,519,5.0
2015,Jan,10349,9779,570,5.5
2015,Feb,10462,9922,540,5.2
2015,Mar,10472,9896,576,5.5
2015,Apr,10573,9980,593,5.6
2015,May,10570,9920,650,6.1
2015,Jun,10446,9731,715,6.8
2015,Jul,10254,9517,737,7.2
2015,Aug,10098,9403,695,6.9
2015,Sep,10356,9700,656,6.3
2015,Oct,10331,9680,651,6.3
2015,Nov,10338,9675,663,6.4
2015,Dec,10326,9693,633,6.1
2016,Jan,10071,9400,671,6.7
2016,Feb,10406,9736,670,6.4
2016,Mar,10474,9725,749,7.2
2016,Apr,10508,9756,752,7.2
2016,May,10483,9726,757,7.2
2016,Jun,10374,9499,875,8.4
2016,Jul,10194,9327,867,8.5
2016,Aug,10206,9349,857,8.4
2016,Sep,10284,9459,825,8.0
2016,Oct,10257,9499,758,7.4
2016,Nov,10175,9425,750,7.4
2016,Dec,10229,9469,760,7.4
2017,Jan,9988,9211,777,7.8
2017,Feb,10150,9406,744,7.3
2017,Mar,10216,9527,689,6.7
2017,Apr,10142,9489,653,6.4
2017,May,10092,9469,623,6.2
2017,Jun,9973,9339,634,6.4
2017,Jul,9842,9197,645,6.6
2017,Aug,9769,9112,657,6.7
2017,Sep,9848,9249,599,6.1
2017,Oct,9885,9313,572,5.8
2017,Nov,9859,9275,584,5.9
2017,Dec,9871,9313,558,5.7
2018,Jan,9917,9322,595,6.0
2018,Feb,10102,9536,566,5.6
2018,Mar,10145,9606,539,5.3
2018,Apr,9986,9488,498,5.0
2018,May,10014,9536,478,4.8
2018,Jun,9944,9404,540,5.4
2018,Jul,9882,9371,511,5.2
2018,Aug,9839,9358,481,4.9
2018,Sep,9875,9413,462,4.7
2018,Oct,9853,9397,456,4.6
2018,Nov,9911,9475,436,4.4
2018,Dec,9808,9350,458,4.7
2019,Jan,9810,9317,493,5.0
2019,Feb,9984,9530,454,4.5
2019,Mar,9983,9556,427,4.3
2019,Apr,9826,9462,364,3.7
2019,May,9832,9458,374,3.8
2019,Jun,9804,9365,439,4.5
2019,Jul,9740,9273,467,4.8
2019,Aug,9805,9337,468,4.8
2019,Sep,9887,9452,435,4.4
2019,Oct,9884,9461,423,4.3
2019,Nov,9848,9408,440,4.5
2019,Dec,9837,9410,427,4.3
2020,Jan,9777,9293,484,5.0
2020,Feb,9936,9456,480,4.8
2020,Mar,9926,9255,671,6.8
2020,Apr,8939,7781,1158,13.0
