Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480270000000003,LAUCN480270000000004,LAUCN480270000000005,LAUCN480270000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Bell County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,129327,119110,10217,7.9
2010,Feb,129737,120012,9725,7.5
2010,Mar,130248,120513,9735,7.5
2010,Apr,132149,122493,9656,7.3
2010,May,132032,122353,9679,7.3
2010,Jun,132175,121625,10550,8.0
2010,Jul,132641,122045,10596,8.0
2010,Aug,132706,122280,10426,7.9
2010,Sep,133004,122633,10371,7.8
2010,Oct,132393,122205,10188,7.7
2010,Nov,133145,122360,10785,8.1
2010,Dec,132466,122400,10066,7.6
2011,Jan,132850,122284,10566,8.0
2011,Feb,133749,123085,10664,8.0
2011,Mar,133510,123143,10367,7.8
2011,Apr,133252,123213,10039,7.5
2011,May,133534,123262,10272,7.7
2011,Jun,133890,122320,11570,8.6
2011,Jul,133504,122060,11444,8.6
2011,Aug,133060,121893,11167,8.4
2011,Sep,133973,122797,11176,8.3
2011,Oct,133893,123074,10819,8.1
2011,Nov,133389,123111,10278,7.7
2011,Dec,132974,122917,10057,7.6
2012,Jan,133355,122705,10650,8.0
2012,Feb,133715,123363,10352,7.7
2012,Mar,133658,123750,9908,7.4
2012,Apr,133289,123821,9468,7.1
2012,May,133976,123936,10040,7.5
2012,Jun,134467,123495,10972,8.2
2012,Jul,135211,124376,10835,8.0
2012,Aug,134322,124272,10050,7.5
2012,Sep,134731,125297,9434,7.0
2012,Oct,135074,125683,9391,7.0
2012,Nov,133883,124839,9044,6.8
2012,Dec,133909,124791,9118,6.8
2013,Jan,134851,124699,10152,7.5
2013,Feb,134387,124899,9488,7.1
2013,Mar,134344,125224,9120,6.8
2013,Apr,134946,126123,8823,6.5
2013,May,135764,126415,9349,6.9
2013,Jun,135683,125431,10252,7.6
2013,Jul,136293,126320,9973,7.3
2013,Aug,135701,126220,9481,7.0
2013,Sep,136313,126855,9458,6.9
2013,Oct,135028,125758,9270,6.9
2013,Nov,135597,126924,8673,6.4
2013,Dec,135109,126906,8203,6.1
2014,Jan,135413,126871,8542,6.3
2014,Feb,135571,127014,8557,6.3
2014,Mar,135349,127034,8315,6.1
2014,Apr,135420,128214,7206,5.3
2014,May,135898,128015,7883,5.8
2014,Jun,135265,127027,8238,6.1
2014,Jul,135220,126633,8587,6.4
2014,Aug,134418,126177,8241,6.1
2014,Sep,134476,126746,7730,5.7
2014,Oct,134645,127364,7281,5.4
2014,Nov,134831,127612,7219,5.4
2014,Dec,134064,127524,6540,4.9
2015,Jan,134517,127384,7133,5.3
2015,Feb,134978,128432,6546,4.8
2015,Mar,134837,128609,6228,4.6
2015,Apr,135497,129711,5786,4.3
2015,May,136150,129905,6245,4.6
2015,Jun,135482,128837,6645,4.9
2015,Jul,136331,129514,6817,5.0
2015,Aug,135995,129695,6300,4.6
2015,Sep,136497,130188,6309,4.6
2015,Oct,137289,131079,6210,4.5
2015,Nov,138800,132701,6099,4.4
2015,Dec,139184,133475,5709,4.1
2016,Jan,137937,131920,6017,4.4
2016,Feb,138851,132956,5895,4.2
2016,Mar,139104,133070,6034,4.3
2016,Apr,139049,133325,5724,4.1
2016,May,138971,133231,5740,4.1
2016,Jun,139357,132561,6796,4.9
2016,Jul,139873,132945,6928,5.0
2016,Aug,139301,132666,6635,4.8
2016,Sep,140108,133333,6775,4.8
2016,Oct,139971,133550,6421,4.6
2016,Nov,140635,134461,6174,4.4
2016,Dec,140182,134058,6124,4.4
2017,Jan,141538,134675,6863,4.8
2017,Feb,141967,135215,6752,4.8
2017,Mar,141771,135440,6331,4.5
2017,Apr,142556,136755,5801,4.1
2017,May,142562,136720,5842,4.1
2017,Jun,142204,135957,6247,4.4
2017,Jul,142356,136053,6303,4.4
2017,Aug,141941,135733,6208,4.4
2017,Sep,142446,136685,5761,4.0
2017,Oct,141559,136157,5402,3.8
2017,Nov,142609,136967,5642,4.0
2017,Dec,141905,136482,5423,3.8
2018,Jan,142427,136368,6059,4.3
2018,Feb,143277,137235,6042,4.2
2018,Mar,142226,136390,5836,4.1
2018,Apr,142597,137129,5468,3.8
2018,May,142323,136830,5493,3.9
2018,Jun,142227,135806,6421,4.5
2018,Jul,142552,136359,6193,4.3
2018,Aug,141493,135379,6114,4.3
2018,Sep,142622,136819,5803,4.1
2018,Oct,142801,137171,5630,3.9
2018,Nov,143288,137731,5557,3.9
2018,Dec,143333,137587,5746,4.0
2019,Jan,143304,136806,6498,4.5
2019,Feb,143561,137718,5843,4.1
2019,Mar,142797,137353,5444,3.8
2019,Apr,142943,138318,4625,3.2
2019,May,142794,137938,4856,3.4
2019,Jun,143150,137350,5800,4.1
2019,Jul,143926,137945,5981,4.2
2019,Aug,143168,137486,5682,4.0
2019,Sep,144386,139037,5349,3.7
2019,Oct,145056,139793,5263,3.6
2019,Nov,145914,140640,5274,3.6
2019,Dec,145296,140325,4971,3.4
2020,Jan,145694,140081,5613,3.9
2020,Feb,146316,140828,5488,3.8
2020,Mar,144059,136459,7600,5.3
2020,Apr,132527,117177,15350,11.6
