Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480290000000003,LAUCN480290000000004,LAUCN480290000000005,LAUCN480290000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Bexar County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,797642,736836,60806,7.6
2010,Feb,802632,743939,58693,7.3
2010,Mar,805650,747775,57875,7.2
2010,Apr,815011,758245,56766,7.0
2010,May,813370,757490,55880,6.9
2010,Jun,815403,754515,60888,7.5
2010,Jul,816016,753889,62127,7.6
2010,Aug,815784,755045,60739,7.4
2010,Sep,815922,756594,59328,7.3
2010,Oct,816779,757991,58788,7.2
2010,Nov,818861,758102,60759,7.4
2010,Dec,817116,759335,57781,7.1
2011,Jan,818322,756552,61770,7.5
2011,Feb,821933,762553,59380,7.2
2011,Mar,825346,767260,58086,7.0
2011,Apr,826429,770071,56358,6.8
2011,May,829635,771434,58201,7.0
2011,Jun,833375,767967,65408,7.8
2011,Jul,834536,769203,65333,7.8
2011,Aug,831425,768980,62445,7.5
2011,Sep,835333,773376,61957,7.4
2011,Oct,835619,776837,58782,7.0
2011,Nov,833904,778470,55434,6.6
2011,Dec,832587,778968,53619,6.4
2012,Jan,829354,772327,57027,6.9
2012,Feb,834353,778613,55740,6.7
2012,Mar,835600,782010,53590,6.4
2012,Apr,834942,784469,50473,6.0
2012,May,839415,786462,52953,6.3
2012,Jun,845338,786506,58832,7.0
2012,Jul,845668,786966,58702,6.9
2012,Aug,840624,786020,54604,6.5
2012,Sep,843605,793030,50575,6.0
2012,Oct,846638,796798,49840,5.9
2012,Nov,844108,795859,48249,5.7
2012,Dec,846309,797502,48807,5.8
2013,Jan,845964,791108,54856,6.5
2013,Feb,847251,796186,51065,6.0
2013,Mar,847487,798382,49105,5.8
2013,Apr,851337,804642,46695,5.5
2013,May,855799,806145,49654,5.8
2013,Jun,861792,806671,55121,6.4
2013,Jul,862803,808795,54008,6.3
2013,Aug,856857,806545,50312,5.9
2013,Sep,859400,809592,49808,5.8
2013,Oct,852960,804619,48341,5.7
2013,Nov,858120,812896,45224,5.3
2013,Dec,856092,813713,42379,5.0
2014,Jan,857467,812594,44873,5.2
2014,Feb,861729,816689,45040,5.2
2014,Mar,865714,822100,43614,5.0
2014,Apr,863743,826700,37043,4.3
2014,May,867487,827070,40417,4.7
2014,Jun,871561,828646,42915,4.9
2014,Jul,874780,829666,45114,5.2
2014,Aug,869701,826937,42764,4.9
2014,Sep,868161,828659,39502,4.6
2014,Oct,870947,834009,36938,4.2
2014,Nov,871798,835848,35950,4.1
2014,Dec,866028,833661,32367,3.7
2015,Jan,869278,832595,36683,4.2
2015,Feb,871396,837523,33873,3.9
2015,Mar,871043,838629,32414,3.7
2015,Apr,875230,845262,29968,3.4
2015,May,879454,846316,33138,3.8
2015,Jun,879340,843485,35855,4.1
2015,Jul,881612,845099,36513,4.1
2015,Aug,878521,844888,33633,3.8
2015,Sep,880686,847299,33387,3.8
2015,Oct,883254,850428,32826,3.7
2015,Nov,889580,857192,32388,3.6
2015,Dec,888232,857716,30516,3.4
2016,Jan,889050,856563,32487,3.7
2016,Feb,895896,863839,32057,3.6
2016,Mar,899383,866781,32602,3.6
2016,Apr,898558,868435,30123,3.4
2016,May,898852,868186,30666,3.4
2016,Jun,904158,867715,36443,4.0
2016,Jul,910971,873383,37588,4.1
2016,Aug,908384,872109,36275,4.0
2016,Sep,913503,876976,36527,4.0
2016,Oct,912253,877322,34931,3.8
2016,Nov,916303,882924,33379,3.6
2016,Dec,914067,880886,33181,3.6
2017,Jan,914468,878401,36067,3.9
2017,Feb,919523,883257,36266,3.9
2017,Mar,920454,886563,33891,3.7
2017,Apr,920889,890385,30504,3.3
2017,May,918309,886777,31532,3.4
2017,Jun,924100,889391,34709,3.8
2017,Jul,930811,895562,35249,3.8
2017,Aug,926251,891605,34646,3.7
2017,Sep,934341,903367,30974,3.3
2017,Oct,924878,896023,28855,3.1
2017,Nov,929541,899195,30346,3.3
2017,Dec,927517,898230,29287,3.2
2018,Jan,924352,891795,32557,3.5
2018,Feb,934127,901331,32796,3.5
2018,Mar,932928,901175,31753,3.4
2018,Apr,936020,907151,28869,3.1
2018,May,933038,904349,28689,3.1
2018,Jun,939460,905139,34321,3.7
2018,Jul,941549,908142,33407,3.5
2018,Aug,933375,900982,32393,3.5
2018,Sep,938013,907456,30557,3.3
2018,Oct,938666,909196,29470,3.1
2018,Nov,941638,912539,29099,3.1
2018,Dec,941853,912019,29834,3.2
2019,Jan,940121,906427,33694,3.6
2019,Feb,943673,912716,30957,3.3
2019,Mar,942350,912924,29426,3.1
2019,Apr,940307,915453,24854,2.6
2019,May,939530,913425,26105,2.8
2019,Jun,947725,916137,31588,3.3
2019,Jul,952247,919342,32905,3.5
2019,Aug,948570,916844,31726,3.3
2019,Sep,954352,925042,29310,3.1
2019,Oct,961234,932364,28870,3.0
2019,Nov,962122,933297,28825,3.0
2019,Dec,960322,933181,27141,2.8
2020,Jan,962162,930924,31238,3.2
2020,Feb,964600,934452,30148,3.1
2020,Mar,944253,901508,42745,4.5
2020,Apr,884673,763079,121594,13.7
