Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480310000000003,LAUCN480310000000004,LAUCN480310000000005,LAUCN480310000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Blanco County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,5297,4972,325,6.1
2010,Feb,5303,4973,330,6.2
2010,Mar,5386,5060,326,6.1
2010,Apr,5508,5185,323,5.9
2010,May,5414,5093,321,5.9
2010,Jun,5496,5161,335,6.1
2010,Jul,5495,5155,340,6.2
2010,Aug,5452,5135,317,5.8
2010,Sep,5434,5121,313,5.8
2010,Oct,5401,5089,312,5.8
2010,Nov,5425,5100,325,6.0
2010,Dec,5413,5107,306,5.7
2011,Jan,5374,5047,327,6.1
2011,Feb,5328,5014,314,5.9
2011,Mar,5352,5051,301,5.6
2011,Apr,5396,5107,289,5.4
2011,May,5363,5067,296,5.5
2011,Jun,5456,5112,344,6.3
2011,Jul,5476,5140,336,6.1
2011,Aug,5463,5141,322,5.9
2011,Sep,5450,5133,317,5.8
2011,Oct,5425,5128,297,5.5
2011,Nov,5481,5199,282,5.1
2011,Dec,5481,5205,276,5.0
2012,Jan,5379,5079,300,5.6
2012,Feb,5348,5057,291,5.4
2012,Mar,5371,5092,279,5.2
2012,Apr,5454,5192,262,4.8
2012,May,5501,5215,286,5.2
2012,Jun,5605,5286,319,5.7
2012,Jul,5586,5270,316,5.7
2012,Aug,5545,5256,289,5.2
2012,Sep,5583,5311,272,4.9
2012,Oct,5553,5282,271,4.9
2012,Nov,5510,5253,257,4.7
2012,Dec,5481,5223,258,4.7
2013,Jan,5449,5157,292,5.4
2013,Feb,5450,5186,264,4.8
2013,Mar,5413,5162,251,4.6
2013,Apr,5514,5261,253,4.6
2013,May,5551,5285,266,4.8
2013,Jun,5621,5325,296,5.3
2013,Jul,5643,5357,286,5.1
2013,Aug,5593,5325,268,4.8
2013,Sep,5605,5342,263,4.7
2013,Oct,5563,5319,244,4.4
2013,Nov,5549,5328,221,4.0
2013,Dec,5525,5311,214,3.9
2014,Jan,5500,5270,230,4.2
2014,Feb,5583,5356,227,4.1
2014,Mar,5618,5400,218,3.9
2014,Apr,5655,5474,181,3.2
2014,May,5683,5474,209,3.7
2014,Jun,5716,5497,219,3.8
2014,Jul,5749,5516,233,4.1
2014,Aug,5669,5451,218,3.8
2014,Sep,5700,5495,205,3.6
2014,Oct,5826,5636,190,3.3
2014,Nov,5794,5608,186,3.2
2014,Dec,5729,5555,174,3.0
2015,Jan,5718,5520,198,3.5
2015,Feb,5709,5526,183,3.2
2015,Mar,5724,5551,173,3.0
2015,Apr,5782,5616,166,2.9
2015,May,5812,5629,183,3.1
2015,Jun,5823,5630,193,3.3
2015,Jul,5800,5604,196,3.4
2015,Aug,5742,5561,181,3.2
2015,Sep,5723,5543,180,3.1
2015,Oct,5805,5628,177,3.0
2015,Nov,5794,5622,172,3.0
2015,Dec,5788,5628,160,2.8
2016,Jan,5774,5599,175,3.0
2016,Feb,5880,5704,176,3.0
2016,Mar,5970,5782,188,3.1
2016,Apr,5972,5802,170,2.8
2016,May,6010,5842,168,2.8
2016,Jun,6011,5814,197,3.3
2016,Jul,5949,5747,202,3.4
2016,Aug,5932,5736,196,3.3
2016,Sep,5919,5726,193,3.3
2016,Oct,5924,5738,186,3.1
2016,Nov,5904,5732,172,2.9
2016,Dec,5943,5771,172,2.9
2017,Jan,6195,6005,190,3.1
2017,Feb,6294,6101,193,3.1
2017,Mar,6306,6119,187,3.0
2017,Apr,6210,6053,157,2.5
2017,May,6231,6063,168,2.7
2017,Jun,6275,6104,171,2.7
2017,Jul,6211,6029,182,2.9
2017,Aug,6190,6017,173,2.8
2017,Sep,6189,6028,161,2.6
2017,Oct,6212,6057,155,2.5
2017,Nov,6195,6032,163,2.6
2017,Dec,6224,6070,154,2.5
2018,Jan,6169,5992,177,2.9
2018,Feb,6210,6034,176,2.8
2018,Mar,6262,6094,168,2.7
2018,Apr,6226,6082,144,2.3
2018,May,6287,6135,152,2.4
2018,Jun,6265,6088,177,2.8
2018,Jul,6271,6104,167,2.7
2018,Aug,6220,6052,168,2.7
2018,Sep,6203,6047,156,2.5
2018,Oct,6274,6127,147,2.3
2018,Nov,6295,6141,154,2.4
2018,Dec,6320,6161,159,2.5
2019,Jan,6383,6200,183,2.9
2019,Feb,6430,6263,167,2.6
2019,Mar,6463,6296,167,2.6
2019,Apr,6438,6305,133,2.1
2019,May,6420,6279,141,2.2
2019,Jun,6492,6321,171,2.6
2019,Jul,6515,6335,180,2.8
2019,Aug,6496,6331,165,2.5
2019,Sep,6472,6321,151,2.3
2019,Oct,6509,6361,148,2.3
2019,Nov,6486,6341,145,2.2
2019,Dec,6515,6376,139,2.1
2020,Jan,6591,6429,162,2.5
2020,Feb,6651,6494,157,2.4
2020,Mar,6508,6289,219,3.4
2020,Apr,5657,5270,387,6.8
