Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480330000000003,LAUCN480330000000004,LAUCN480330000000005,LAUCN480330000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Borden County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,336,313,23,6.8
2010,Feb,345,321,24,7.0
2010,Mar,353,329,24,6.8
2010,Apr,357,334,23,6.4
2010,May,352,332,20,5.7
2010,Jun,360,335,25,6.9
2010,Jul,361,338,23,6.4
2010,Aug,360,337,23,6.4
2010,Sep,353,330,23,6.5
2010,Oct,354,330,24,6.8
2010,Nov,375,350,25,6.7
2010,Dec,386,363,23,6.0
2011,Jan,362,339,23,6.4
2011,Feb,358,333,25,7.0
2011,Mar,376,354,22,5.9
2011,Apr,392,373,19,4.8
2011,May,388,370,18,4.6
2011,Jun,398,376,22,5.5
2011,Jul,387,367,20,5.2
2011,Aug,385,365,20,5.2
2011,Sep,385,364,21,5.5
2011,Oct,394,374,20,5.1
2011,Nov,415,396,19,4.6
2011,Dec,429,409,20,4.7
2012,Jan,399,380,19,4.8
2012,Feb,408,390,18,4.4
2012,Mar,407,391,16,3.9
2012,Apr,411,394,17,4.1
2012,May,425,407,18,4.2
2012,Jun,434,416,18,4.1
2012,Jul,436,419,17,3.9
2012,Aug,429,413,16,3.7
2012,Sep,417,399,18,4.3
2012,Oct,423,405,18,4.3
2012,Nov,418,400,18,4.3
2012,Dec,417,400,17,4.1
2013,Jan,409,389,20,4.9
2013,Feb,397,382,15,3.8
2013,Mar,406,391,15,3.7
2013,Apr,413,399,14,3.4
2013,May,423,406,17,4.0
2013,Jun,427,409,18,4.2
2013,Jul,417,400,17,4.1
2013,Aug,416,399,17,4.1
2013,Sep,417,401,16,3.8
2013,Oct,430,412,18,4.2
2013,Nov,416,400,16,3.8
2013,Dec,426,411,15,3.5
2014,Jan,433,417,16,3.7
2014,Feb,420,405,15,3.6
2014,Mar,427,413,14,3.3
2014,Apr,423,412,11,2.6
2014,May,442,429,13,2.9
2014,Jun,430,417,13,3.0
2014,Jul,435,420,15,3.4
2014,Aug,426,411,15,3.5
2014,Sep,427,413,14,3.3
2014,Oct,420,408,12,2.9
2014,Nov,408,398,10,2.5
2014,Dec,400,390,10,2.5
2015,Jan,389,379,10,2.6
2015,Feb,412,401,11,2.7
2015,Mar,416,407,9,2.2
2015,Apr,419,410,9,2.1
2015,May,426,416,10,2.3
2015,Jun,430,418,12,2.8
2015,Jul,411,399,12,2.9
2015,Aug,412,399,13,3.2
2015,Sep,411,398,13,3.2
2015,Oct,403,388,15,3.7
2015,Nov,413,398,15,3.6
2015,Dec,405,394,11,2.7
2016,Jan,410,395,15,3.7
2016,Feb,412,395,17,4.1
2016,Mar,398,383,15,3.8
2016,Apr,382,370,12,3.1
2016,May,374,362,12,3.2
2016,Jun,378,364,14,3.7
2016,Jul,347,332,15,4.3
2016,Aug,346,332,14,4.0
2016,Sep,340,329,11,3.2
2016,Oct,332,320,12,3.6
2016,Nov,339,327,12,3.5
2016,Dec,333,322,11,3.3
2017,Jan,319,307,12,3.8
2017,Feb,328,315,13,4.0
2017,Mar,342,331,11,3.2
2017,Apr,341,331,10,2.9
2017,May,336,327,9,2.7
2017,Jun,331,319,12,3.6
2017,Jul,313,300,13,4.2
2017,Aug,316,304,12,3.8
2017,Sep,301,290,11,3.7
2017,Oct,313,303,10,3.2
2017,Nov,312,300,12,3.8
2017,Dec,320,308,12,3.8
2018,Jan,351,338,13,3.7
2018,Feb,365,350,15,4.1
2018,Mar,371,357,14,3.8
2018,Apr,331,320,11,3.3
2018,May,338,326,12,3.6
2018,Jun,320,309,11,3.4
2018,Jul,333,323,10,3.0
2018,Aug,337,327,10,3.0
2018,Sep,350,340,10,2.9
2018,Oct,352,342,10,2.8
2018,Nov,351,341,10,2.8
2018,Dec,325,315,10,3.1
2019,Jan,348,337,11,3.2
2019,Feb,365,355,10,2.7
2019,Mar,385,375,10,2.6
2019,Apr,394,386,8,2.0
2019,May,428,418,10,2.3
2019,Jun,384,375,9,2.3
2019,Jul,440,429,11,2.5
2019,Aug,414,402,12,2.9
2019,Sep,416,405,11,2.6
2019,Oct,424,415,9,2.1
2019,Nov,422,413,9,2.1
2019,Dec,423,414,9,2.1
2020,Jan,418,408,10,2.4
2020,Feb,429,419,10,2.3
2020,Mar,434,417,17,3.9
2020,Apr,358,344,14,3.9
