Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480350000000003,LAUCN480350000000004,LAUCN480350000000005,LAUCN480350000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Bosque County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,8310,7526,784,9.4
2010,Feb,8270,7522,748,9.0
2010,Mar,8317,7582,735,8.8
2010,Apr,8468,7748,720,8.5
2010,May,8424,7686,738,8.8
2010,Jun,8566,7790,776,9.1
2010,Jul,8588,7823,765,8.9
2010,Aug,8512,7770,742,8.7
2010,Sep,8563,7843,720,8.4
2010,Oct,8461,7735,726,8.6
2010,Nov,8435,7697,738,8.7
2010,Dec,8485,7754,731,8.6
2011,Jan,8395,7640,755,9.0
2011,Feb,8381,7649,732,8.7
2011,Mar,8416,7709,707,8.4
2011,Apr,8388,7721,667,8.0
2011,May,8388,7706,682,8.1
2011,Jun,8498,7742,756,8.9
2011,Jul,8487,7731,756,8.9
2011,Aug,8503,7762,741,8.7
2011,Sep,8429,7724,705,8.4
2011,Oct,8330,7682,648,7.8
2011,Nov,8336,7720,616,7.4
2011,Dec,8344,7725,619,7.4
2012,Jan,8171,7524,647,7.9
2012,Feb,8114,7493,621,7.7
2012,Mar,8126,7525,601,7.4
2012,Apr,8206,7636,570,6.9
2012,May,8220,7622,598,7.3
2012,Jun,8318,7669,649,7.8
2012,Jul,8336,7679,657,7.9
2012,Aug,8253,7649,604,7.3
2012,Sep,8236,7678,558,6.8
2012,Oct,8160,7608,552,6.8
2012,Nov,8094,7581,513,6.3
2012,Dec,8047,7518,529,6.6
2013,Jan,8029,7442,587,7.3
2013,Feb,7999,7451,548,6.9
2013,Mar,7949,7431,518,6.5
2013,Apr,8049,7573,476,5.9
2013,May,8141,7614,527,6.5
2013,Jun,8260,7668,592,7.2
2013,Jul,8260,7681,579,7.0
2013,Aug,8107,7568,539,6.6
2013,Sep,8170,7643,527,6.5
2013,Oct,8059,7563,496,6.2
2013,Nov,7973,7513,460,5.8
2013,Dec,7983,7552,431,5.4
2014,Jan,8059,7603,456,5.7
2014,Feb,8144,7680,464,5.7
2014,Mar,8186,7728,458,5.6
2014,Apr,8163,7786,377,4.6
2014,May,8245,7814,431,5.2
2014,Jun,8239,7775,464,5.6
2014,Jul,8256,7775,481,5.8
2014,Aug,8143,7686,457,5.6
2014,Sep,8141,7732,409,5.0
2014,Oct,8106,7746,360,4.4
2014,Nov,8078,7720,358,4.4
2014,Dec,8031,7703,328,4.1
2015,Jan,8013,7635,378,4.7
2015,Feb,8081,7726,355,4.4
2015,Mar,8044,7705,339,4.2
2015,Apr,8067,7748,319,4.0
2015,May,8126,7776,350,4.3
2015,Jun,8139,7746,393,4.8
2015,Jul,8138,7738,400,4.9
2015,Aug,8015,7649,366,4.6
2015,Sep,8042,7674,368,4.6
2015,Oct,8033,7673,360,4.5
2015,Nov,8010,7656,354,4.4
2015,Dec,8026,7675,351,4.4
2016,Jan,8009,7642,367,4.6
2016,Feb,8103,7760,343,4.2
2016,Mar,8147,7799,348,4.3
2016,Apr,8239,7921,318,3.9
2016,May,8287,7972,315,3.8
2016,Jun,8292,7918,374,4.5
2016,Jul,8264,7883,381,4.6
2016,Aug,8271,7892,379,4.6
2016,Sep,8211,7852,359,4.4
2016,Oct,8148,7802,346,4.2
2016,Nov,8131,7790,341,4.2
2016,Dec,8112,7764,348,4.3
2017,Jan,8124,7744,380,4.7
2017,Feb,8196,7817,379,4.6
2017,Mar,8288,7939,349,4.2
2017,Apr,8236,7923,313,3.8
2017,May,8255,7932,323,3.9
2017,Jun,8247,7906,341,4.1
2017,Jul,8182,7841,341,4.2
2017,Aug,8184,7857,327,4.0
2017,Sep,8192,7891,301,3.7
2017,Oct,8136,7863,273,3.4
2017,Nov,8149,7850,299,3.7
2017,Dec,8175,7878,297,3.6
2018,Jan,8174,7842,332,4.1
2018,Feb,8264,7941,323,3.9
2018,Mar,8329,8010,319,3.8
2018,Apr,8189,7905,284,3.5
2018,May,8208,7930,278,3.4
2018,Jun,8250,7917,333,4.0
2018,Jul,8281,7959,322,3.9
2018,Aug,8187,7877,310,3.8
2018,Sep,8215,7920,295,3.6
2018,Oct,8214,7933,281,3.4
2018,Nov,8188,7912,276,3.4
2018,Dec,8102,7821,281,3.5
2019,Jan,8250,7913,337,4.1
2019,Feb,8269,7979,290,3.5
2019,Mar,8341,8068,273,3.3
2019,Apr,8296,8059,237,2.9
2019,May,8310,8058,252,3.0
2019,Jun,8388,8089,299,3.6
2019,Jul,8424,8115,309,3.7
2019,Aug,8450,8141,309,3.7
2019,Sep,8359,8076,283,3.4
2019,Oct,8374,8101,273,3.3
2019,Nov,8327,8046,281,3.4
2019,Dec,8322,8046,276,3.3
2020,Jan,8366,8042,324,3.9
2020,Feb,8406,8103,303,3.6
2020,Mar,8302,7874,428,5.2
2020,Apr,7268,6634,634,8.7
