Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480370000000003,LAUCN480370000000004,LAUCN480370000000005,LAUCN480370000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Bowie County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,41882,38095,3787,9.0
2010,Feb,41629,37966,3663,8.8
2010,Mar,41841,38292,3549,8.5
2010,Apr,42400,38863,3537,8.3
2010,May,42232,38744,3488,8.3
2010,Jun,42471,38776,3695,8.7
2010,Jul,42118,38410,3708,8.8
2010,Aug,42049,38424,3625,8.6
2010,Sep,42437,38960,3477,8.2
2010,Oct,42399,39025,3374,8.0
2010,Nov,42600,39112,3488,8.2
2010,Dec,42472,39107,3365,7.9
2011,Jan,42304,38655,3649,8.6
2011,Feb,42198,38665,3533,8.4
2011,Mar,42483,39061,3422,8.1
2011,Apr,42349,39018,3331,7.9
2011,May,42406,38985,3421,8.1
2011,Jun,42605,38856,3749,8.8
2011,Jul,42028,38330,3698,8.8
2011,Aug,42117,38493,3624,8.6
2011,Sep,42586,38973,3613,8.5
2011,Oct,42433,38977,3456,8.1
2011,Nov,42275,38987,3288,7.8
2011,Dec,42269,38995,3274,7.7
2012,Jan,41963,38528,3435,8.2
2012,Feb,41876,38571,3305,7.9
2012,Mar,41878,38740,3138,7.5
2012,Apr,41823,38867,2956,7.1
2012,May,41876,38838,3038,7.3
2012,Jun,42194,38883,3311,7.8
2012,Jul,41203,37881,3322,8.1
2012,Aug,40975,37811,3164,7.7
2012,Sep,41344,38416,2928,7.1
2012,Oct,41299,38412,2887,7.0
2012,Nov,41132,38352,2780,6.8
2012,Dec,41099,38276,2823,6.9
2013,Jan,41050,37877,3173,7.7
2013,Feb,40756,37718,3038,7.5
2013,Mar,40776,37717,3059,7.5
2013,Apr,40732,37801,2931,7.2
2013,May,40982,37949,3033,7.4
2013,Jun,41261,37942,3319,8.0
2013,Jul,40186,36957,3229,8.0
2013,Aug,40005,36766,3239,8.1
2013,Sep,40431,37234,3197,7.9
2013,Oct,40204,37092,3112,7.7
2013,Nov,40237,37281,2956,7.3
2013,Dec,40062,37254,2808,7.0
2014,Jan,39990,37042,2948,7.4
2014,Feb,39959,37089,2870,7.2
2014,Mar,40038,37291,2747,6.9
2014,Apr,39742,37393,2349,5.9
2014,May,39935,37454,2481,6.2
2014,Jun,39867,37280,2587,6.5
2014,Jul,39283,36629,2654,6.8
2014,Aug,39173,36601,2572,6.6
2014,Sep,39682,37350,2332,5.9
2014,Oct,39602,37389,2213,5.6
2014,Nov,39674,37494,2180,5.5
2014,Dec,39530,37524,2006,5.1
2015,Jan,39024,36852,2172,5.6
2015,Feb,39061,37061,2000,5.1
2015,Mar,38979,37095,1884,4.8
2015,Apr,39217,37504,1713,4.4
2015,May,39354,37512,1842,4.7
2015,Jun,39365,37435,1930,4.9
2015,Jul,38688,36688,2000,5.2
2015,Aug,38785,36904,1881,4.8
2015,Sep,39269,37421,1848,4.7
2015,Oct,39258,37456,1802,4.6
2015,Nov,39495,37713,1782,4.5
2015,Dec,39402,37730,1672,4.2
2016,Jan,39463,37653,1810,4.6
2016,Feb,39896,38128,1768,4.4
2016,Mar,39813,38081,1732,4.4
2016,Apr,39825,38240,1585,4.0
2016,May,39799,38194,1605,4.0
2016,Jun,39944,38061,1883,4.7
2016,Jul,39449,37369,2080,5.3
2016,Aug,39328,37254,2074,5.3
2016,Sep,39637,37561,2076,5.2
2016,Oct,39402,37456,1946,4.9
2016,Nov,39453,37574,1879,4.8
2016,Dec,39308,37415,1893,4.8
2017,Jan,39482,37391,2091,5.3
2017,Feb,39647,37618,2029,5.1
2017,Mar,39636,37781,1855,4.7
2017,Apr,39605,37875,1730,4.4
2017,May,39376,37630,1746,4.4
2017,Jun,39348,37451,1897,4.8
2017,Jul,38858,36969,1889,4.9
2017,Aug,38710,36847,1863,4.8
2017,Sep,39413,37755,1658,4.2
2017,Oct,38897,37351,1546,4.0
2017,Nov,39183,37542,1641,4.2
2017,Dec,39151,37536,1615,4.1
2018,Jan,39142,37338,1804,4.6
2018,Feb,39447,37601,1846,4.7
2018,Mar,39446,37675,1771,4.5
2018,Apr,39366,37750,1616,4.1
2018,May,39458,37633,1825,4.6
2018,Jun,39698,37487,2211,5.6
2018,Jul,39092,36967,2125,5.4
2018,Aug,38926,36875,2051,5.3
2018,Sep,39789,37713,2076,5.2
2018,Oct,39638,37665,1973,5.0
2018,Nov,39858,37913,1945,4.9
2018,Dec,39824,37888,1936,4.9
2019,Jan,39880,37727,2153,5.4
2019,Feb,39894,37931,1963,4.9
2019,Mar,39902,38086,1816,4.6
2019,Apr,39760,38238,1522,3.8
2019,May,39869,38290,1579,4.0
2019,Jun,40175,38301,1874,4.7
2019,Jul,39503,37559,1944,4.9
2019,Aug,39449,37584,1865,4.7
2019,Sep,40095,38384,1711,4.3
2019,Oct,40047,38380,1667,4.2
2019,Nov,40176,38554,1622,4.0
2019,Dec,40043,38526,1517,3.8
2020,Jan,40092,38395,1697,4.2
2020,Feb,40269,38556,1713,4.3
2020,Mar,39607,37308,2299,5.8
2020,Apr,36181,31044,5137,14.2
