Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480390000000003,LAUCN480390000000004,LAUCN480390000000005,LAUCN480390000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Brazoria County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,152512,138804,13708,9.0
2010,Feb,153094,139677,13417,8.8
2010,Mar,153656,140356,13300,8.7
2010,Apr,155112,142445,12667,8.2
2010,May,154884,142260,12624,8.2
2010,Jun,155373,141695,13678,8.8
2010,Jul,156369,142595,13774,8.8
2010,Aug,156167,142727,13440,8.6
2010,Sep,156366,143364,13002,8.3
2010,Oct,155955,143330,12625,8.1
2010,Nov,156675,143466,13209,8.4
2010,Dec,156561,143794,12767,8.2
2011,Jan,156403,142884,13519,8.6
2011,Feb,156687,143757,12930,8.3
2011,Mar,157295,144695,12600,8.0
2011,Apr,157584,145404,12180,7.7
2011,May,158172,145537,12635,8.0
2011,Jun,159028,145282,13746,8.6
2011,Jul,159077,145621,13456,8.5
2011,Aug,158706,145672,13034,8.2
2011,Sep,159673,146912,12761,8.0
2011,Oct,159747,147714,12033,7.5
2011,Nov,160094,148187,11907,7.4
2011,Dec,160506,148622,11884,7.4
2012,Jan,159092,146950,12142,7.6
2012,Feb,159766,148189,11577,7.2
2012,Mar,160132,149093,11039,6.9
2012,Apr,159741,149478,10263,6.4
2012,May,160817,150157,10660,6.6
2012,Jun,161718,150047,11671,7.2
2012,Jul,162257,150592,11665,7.2
2012,Aug,161043,150156,10887,6.8
2012,Sep,162017,151950,10067,6.2
2012,Oct,162746,152956,9790,6.0
2012,Nov,162238,152759,9479,5.8
2012,Dec,162943,153157,9786,6.0
2013,Jan,162588,151665,10923,6.7
2013,Feb,162986,152836,10150,6.2
2013,Mar,163105,153316,9789,6.0
2013,Apr,163438,154085,9353,5.7
2013,May,164443,154471,9972,6.1
2013,Jun,165136,154118,11018,6.7
2013,Jul,165519,154732,10787,6.5
2013,Aug,164578,154258,10320,6.3
2013,Sep,165081,155062,10019,6.1
2013,Oct,164436,154651,9785,6.0
2013,Nov,165373,155948,9425,5.7
2013,Dec,165461,156481,8980,5.4
2014,Jan,165433,155924,9509,5.7
2014,Feb,166123,156793,9330,5.6
2014,Mar,166680,157621,9059,5.4
2014,Apr,165895,158157,7738,4.7
2014,May,166598,158246,8352,5.0
2014,Jun,166950,158052,8898,5.3
2014,Jul,167990,158643,9347,5.6
2014,Aug,167231,158234,8997,5.4
2014,Sep,167254,159022,8232,4.9
2014,Oct,167612,160006,7606,4.5
2014,Nov,167798,160124,7674,4.6
2014,Dec,167415,160302,7113,4.2
2015,Jan,167293,159423,7870,4.7
2015,Feb,167384,160051,7333,4.4
2015,Mar,166913,159771,7142,4.3
2015,Apr,166784,160044,6740,4.0
2015,May,166957,159661,7296,4.4
2015,Jun,166850,159031,7819,4.7
2015,Jul,167303,159084,8219,4.9
2015,Aug,166748,158709,8039,4.8
2015,Sep,166606,158700,7906,4.7
2015,Oct,166991,159246,7745,4.6
2015,Nov,167483,159598,7885,4.7
2015,Dec,167638,160008,7630,4.6
2016,Jan,168796,160687,8109,4.8
2016,Feb,169532,161656,7876,4.6
2016,Mar,169690,161553,8137,4.8
2016,Apr,169221,161369,7852,4.6
2016,May,168919,160936,7983,4.7
2016,Jun,169782,160455,9327,5.5
2016,Jul,170546,160922,9624,5.6
2016,Aug,169752,160145,9607,5.7
2016,Sep,170611,160859,9752,5.7
2016,Oct,170128,161046,9082,5.3
2016,Nov,170351,161425,8926,5.2
2016,Dec,170221,160964,9257,5.4
2017,Jan,171752,161480,10272,6.0
2017,Feb,172677,162838,9839,5.7
2017,Mar,172909,163671,9238,5.3
2017,Apr,173037,164298,8739,5.1
2017,May,172542,163861,8681,5.0
2017,Jun,173438,163819,9619,5.5
2017,Jul,174020,164402,9618,5.5
2017,Aug,173345,163620,9725,5.6
2017,Sep,174399,164924,9475,5.4
2017,Oct,173118,164937,8181,4.7
2017,Nov,174160,165698,8462,4.9
2017,Dec,173943,165516,8427,4.8
2018,Jan,174919,165693,9226,5.3
2018,Feb,176937,168178,8759,5.0
2018,Mar,176284,168063,8221,4.7
2018,Apr,175896,168333,7563,4.3
2018,May,175685,168315,7370,4.2
2018,Jun,176846,168271,8575,4.8
2018,Jul,177256,168851,8405,4.7
2018,Aug,175563,167449,8114,4.6
2018,Sep,176568,168875,7693,4.4
2018,Oct,177125,170035,7090,4.0
2018,Nov,177663,170611,7052,4.0
2018,Dec,177962,170546,7416,4.2
2019,Jan,178064,169803,8261,4.6
2019,Feb,179021,171643,7378,4.1
2019,Mar,178341,171394,6947,3.9
2019,Apr,177500,171377,6123,3.4
2019,May,177805,171291,6514,3.7
2019,Jun,179125,171317,7808,4.4
2019,Jul,180092,171749,8343,4.6
2019,Aug,179398,170969,8429,4.7
2019,Sep,180499,172774,7725,4.3
2019,Oct,180965,173595,7370,4.1
2019,Nov,181882,174206,7676,4.2
2019,Dec,181774,173972,7802,4.3
2020,Jan,181632,173088,8544,4.7
2020,Feb,183079,175160,7919,4.3
2020,Mar,180324,169216,11108,6.2
2020,Apr,165699,143372,22327,13.5
