Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480410000000003,LAUCN480410000000004,LAUCN480410000000005,LAUCN480410000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Brazos County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,96743,90422,6321,6.5
2010,Feb,99496,93386,6110,6.1
2010,Mar,99978,93985,5993,6.0
2010,Apr,101961,96004,5957,5.8
2010,May,101244,95383,5861,5.8
2010,Jun,97509,90629,6880,7.1
2010,Jul,98618,91839,6779,6.9
2010,Aug,97412,90685,6727,6.9
2010,Sep,101716,95482,6234,6.1
2010,Oct,101724,95576,6148,6.0
2010,Nov,102276,95774,6502,6.4
2010,Dec,101524,95507,6017,5.9
2011,Jan,98648,92423,6225,6.3
2011,Feb,100611,94623,5988,6.0
2011,Mar,100646,94935,5711,5.7
2011,Apr,101112,95483,5629,5.6
2011,May,100550,94719,5831,5.8
2011,Jun,98089,91168,6921,7.1
2011,Jul,97932,91248,6684,6.8
2011,Aug,97472,91058,6414,6.6
2011,Sep,100651,94421,6230,6.2
2011,Oct,101008,95133,5875,5.8
2011,Nov,100683,95220,5463,5.4
2011,Dec,99868,94633,5235,5.2
2012,Jan,95591,90114,5477,5.7
2012,Feb,99403,94043,5360,5.4
2012,Mar,99049,93967,5082,5.1
2012,Apr,100516,95619,4897,4.9
2012,May,101576,96354,5222,5.1
2012,Jun,99231,93199,6032,6.1
2012,Jul,98011,91958,6053,6.2
2012,Aug,96583,91085,5498,5.7
2012,Sep,101052,96039,5013,5.0
2012,Oct,102508,97555,4953,4.8
2012,Nov,102560,97726,4834,4.7
2012,Dec,101907,97128,4779,4.7
2013,Jan,99578,94133,5445,5.5
2013,Feb,102654,97621,5033,4.9
2013,Mar,102672,97847,4825,4.7
2013,Apr,102338,97683,4655,4.5
2013,May,103547,98377,5170,5.0
2013,Jun,100830,94862,5968,5.9
2013,Jul,99288,93566,5722,5.8
2013,Aug,100579,95350,5229,5.2
2013,Sep,105451,100436,5015,4.8
2013,Oct,105723,100930,4793,4.5
2013,Nov,106212,101751,4461,4.2
2013,Dec,104846,100657,4189,4.0
2014,Jan,101847,97383,4464,4.4
2014,Feb,105189,100659,4530,4.3
2014,Mar,105138,100845,4293,4.1
2014,Apr,104933,101323,3610,3.4
2014,May,105675,101481,4194,4.0
2014,Jun,102636,97902,4734,4.6
2014,Jul,102285,97300,4985,4.9
2014,Aug,102018,97510,4508,4.4
2014,Sep,105384,101342,4042,3.8
2014,Oct,106467,102706,3761,3.5
2014,Nov,106773,103151,3622,3.4
2014,Dec,105238,102069,3169,3.0
2015,Jan,109426,105616,3810,3.5
2015,Feb,110771,107219,3552,3.2
2015,Mar,110554,107227,3327,3.0
2015,Apr,108314,105105,3209,3.0
2015,May,109365,105739,3626,3.3
2015,Jun,105576,101411,4165,3.9
2015,Jul,104466,100399,4067,3.9
2015,Aug,104950,101353,3597,3.4
2015,Sep,109209,105652,3557,3.3
2015,Oct,110569,107066,3503,3.2
2015,Nov,110887,107418,3469,3.1
2015,Dec,109387,106152,3235,3.0
2016,Jan,110063,106449,3614,3.3
2016,Feb,112299,108702,3597,3.2
2016,Mar,112198,108573,3625,3.2
2016,Apr,111183,107800,3383,3.0
2016,May,112173,108650,3523,3.1
2016,Jun,108295,103899,4396,4.1
2016,Jul,108204,103776,4428,4.1
2016,Aug,107184,102904,4280,4.0
2016,Sep,112744,108692,4052,3.6
2016,Oct,113685,109798,3887,3.4
2016,Nov,114141,110469,3672,3.2
2016,Dec,112839,109197,3642,3.2
2017,Jan,110910,106959,3951,3.6
2017,Feb,114094,110219,3875,3.4
2017,Mar,114619,111074,3545,3.1
2017,Apr,113761,110673,3088,2.7
2017,May,112895,109613,3282,2.9
2017,Jun,108590,104724,3866,3.6
2017,Jul,109994,106160,3834,3.5
2017,Aug,108703,104936,3767,3.5
2017,Sep,114868,111589,3279,2.9
2017,Oct,115893,112872,3021,2.6
2017,Nov,116889,113685,3204,2.7
2017,Dec,115260,112187,3073,2.7
2018,Jan,114229,110753,3476,3.0
2018,Feb,117685,114261,3424,2.9
2018,Mar,117920,114587,3333,2.8
2018,Apr,117121,114172,2949,2.5
2018,May,116431,113478,2953,2.5
2018,Jun,112641,108793,3848,3.4
2018,Jul,112983,109337,3646,3.2
2018,Aug,112233,108718,3515,3.1
2018,Sep,118051,114837,3214,2.7
2018,Oct,119412,116328,3084,2.6
2018,Nov,120793,117752,3041,2.5
2018,Dec,118407,115246,3161,2.7
2019,Jan,116677,113110,3567,3.1
2019,Feb,120783,117526,3257,2.7
2019,Mar,121039,117916,3123,2.6
2019,Apr,119124,116563,2561,2.1
2019,May,118688,115826,2862,2.4
2019,Jun,114860,111258,3602,3.1
2019,Jul,114926,111278,3648,3.2
2019,Aug,114786,111348,3438,3.0
2019,Sep,120591,117445,3146,2.6
2019,Oct,122689,119539,3150,2.6
2019,Nov,123148,120063,3085,2.5
2019,Dec,120803,117956,2847,2.4
2020,Jan,119724,116358,3366,2.8
2020,Feb,123365,120124,3241,2.6
2020,Mar,120912,116323,4589,3.8
2020,Apr,108557,98914,9643,8.9
