Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480430000000003,LAUCN480430000000004,LAUCN480430000000005,LAUCN480430000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Brewster County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,4862,4564,298,6.1
2010,Feb,4814,4562,252,5.2
2010,Mar,4963,4701,262,5.3
2010,Apr,4976,4715,261,5.2
2010,May,4879,4629,250,5.1
2010,Jun,4924,4654,270,5.5
2010,Jul,4886,4616,270,5.5
2010,Aug,5035,4754,281,5.6
2010,Sep,4976,4711,265,5.3
2010,Oct,4875,4608,267,5.5
2010,Nov,4901,4622,279,5.7
2010,Dec,4856,4593,263,5.4
2011,Jan,4885,4583,302,6.2
2011,Feb,4816,4539,277,5.8
2011,Mar,4848,4577,271,5.6
2011,Apr,4806,4548,258,5.4
2011,May,4798,4530,268,5.6
2011,Jun,4755,4459,296,6.2
2011,Jul,4808,4505,303,6.3
2011,Aug,4928,4645,283,5.7
2011,Sep,4940,4668,272,5.5
2011,Oct,4892,4646,246,5.0
2011,Nov,4940,4703,237,4.8
2011,Dec,4924,4695,229,4.7
2012,Jan,4674,4414,260,5.6
2012,Feb,4635,4399,236,5.1
2012,Mar,4714,4489,225,4.8
2012,Apr,4706,4491,215,4.6
2012,May,4682,4461,221,4.7
2012,Jun,4771,4505,266,5.6
2012,Jul,4573,4300,273,6.0
2012,Aug,4500,4250,250,5.6
2012,Sep,4414,4200,214,4.8
2012,Oct,4391,4172,219,5.0
2012,Nov,4483,4284,199,4.4
2012,Dec,4210,4005,205,4.9
2013,Jan,4178,3923,255,6.1
2013,Feb,4181,3939,242,5.8
2013,Mar,4166,3938,228,5.5
2013,Apr,4224,4010,214,5.1
2013,May,4220,3978,242,5.7
2013,Jun,4171,3909,262,6.3
2013,Jul,4142,3891,251,6.1
2013,Aug,4121,3885,236,5.7
2013,Sep,4149,3922,227,5.5
2013,Oct,4095,3879,216,5.3
2013,Nov,4104,3905,199,4.8
2013,Dec,4106,3912,194,4.7
2014,Jan,4040,3848,192,4.8
2014,Feb,4092,3893,199,4.9
2014,Mar,4206,4001,205,4.9
2014,Apr,4185,4019,166,4.0
2014,May,4190,3990,200,4.8
2014,Jun,4158,3950,208,5.0
2014,Jul,4120,3897,223,5.4
2014,Aug,4055,3849,206,5.1
2014,Sep,3955,3774,181,4.6
2014,Oct,3963,3794,169,4.3
2014,Nov,4006,3840,166,4.1
2014,Dec,3896,3747,149,3.8
2015,Jan,3811,3638,173,4.5
2015,Feb,3860,3711,149,3.9
2015,Mar,3956,3797,159,4.0
2015,Apr,3936,3791,145,3.7
2015,May,3945,3789,156,4.0
2015,Jun,3918,3750,168,4.3
2015,Jul,3960,3783,177,4.5
2015,Aug,3912,3765,147,3.8
2015,Sep,3953,3810,143,3.6
2015,Oct,3879,3732,147,3.8
2015,Nov,3917,3775,142,3.6
2015,Dec,3878,3739,139,3.6
2016,Jan,3800,3650,150,3.9
2016,Feb,3894,3752,142,3.6
2016,Mar,3982,3839,143,3.6
2016,Apr,4017,3890,127,3.2
2016,May,4022,3888,134,3.3
2016,Jun,3981,3822,159,4.0
2016,Jul,4037,3867,170,4.2
2016,Aug,4077,3920,157,3.9
2016,Sep,4026,3866,160,4.0
2016,Oct,3885,3728,157,4.0
2016,Nov,3907,3764,143,3.7
2016,Dec,3889,3746,143,3.7
2017,Jan,3879,3699,180,4.6
2017,Feb,3951,3793,158,4.0
2017,Mar,4031,3881,150,3.7
2017,Apr,4076,3948,128,3.1
2017,May,4060,3927,133,3.3
2017,Jun,3966,3825,141,3.6
2017,Jul,3864,3721,143,3.7
2017,Aug,3920,3776,144,3.7
2017,Sep,3879,3758,121,3.1
2017,Oct,3976,3861,115,2.9
2017,Nov,3993,3867,126,3.2
2017,Dec,4014,3887,127,3.2
2018,Jan,3979,3826,153,3.8
2018,Feb,4032,3885,147,3.6
2018,Mar,4114,3974,140,3.4
2018,Apr,4007,3879,128,3.2
2018,May,3999,3876,123,3.1
2018,Jun,3989,3841,148,3.7
2018,Jul,4064,3928,136,3.3
2018,Aug,4118,3980,138,3.4
2018,Sep,4086,3953,133,3.3
2018,Oct,4030,3910,120,3.0
2018,Nov,4073,3952,121,3.0
2018,Dec,4043,3918,125,3.1
2019,Jan,4181,4029,152,3.6
2019,Feb,4182,4060,122,2.9
2019,Mar,4274,4149,125,2.9
2019,Apr,4253,4146,107,2.5
2019,May,4264,4158,106,2.5
2019,Jun,4167,4029,138,3.3
2019,Jul,4184,4040,144,3.4
2019,Aug,4213,4084,129,3.1
2019,Sep,4209,4087,122,2.9
2019,Oct,4182,4070,112,2.7
2019,Nov,4190,4079,111,2.6
2019,Dec,4180,4075,105,2.5
2020,Jan,4189,4071,118,2.8
2020,Feb,4250,4126,124,2.9
2020,Mar,4248,4068,180,4.2
2020,Apr,3872,3399,473,12.2
