Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480450000000003,LAUCN480450000000004,LAUCN480450000000005,LAUCN480450000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Briscoe County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,710,657,53,7.5
2010,Feb,705,657,48,6.8
2010,Mar,731,680,51,7.0
2010,Apr,749,700,49,6.5
2010,May,750,707,43,5.7
2010,Jun,768,724,44,5.7
2010,Jul,754,709,45,6.0
2010,Aug,738,695,43,5.8
2010,Sep,723,682,41,5.7
2010,Oct,723,682,41,5.7
2010,Nov,738,696,42,5.7
2010,Dec,719,677,42,5.8
2011,Jan,696,651,45,6.5
2011,Feb,682,642,40,5.9
2011,Mar,709,666,43,6.1
2011,Apr,714,674,40,5.6
2011,May,737,693,44,6.0
2011,Jun,743,694,49,6.6
2011,Jul,742,690,52,7.0
2011,Aug,761,711,50,6.6
2011,Sep,741,696,45,6.1
2011,Oct,709,667,42,5.9
2011,Nov,715,674,41,5.7
2011,Dec,716,676,40,5.6
2012,Jan,634,594,40,6.3
2012,Feb,611,574,37,6.1
2012,Mar,624,589,35,5.6
2012,Apr,644,612,32,5.0
2012,May,648,613,35,5.4
2012,Jun,669,631,38,5.7
2012,Jul,657,617,40,6.1
2012,Aug,649,613,36,5.5
2012,Sep,653,620,33,5.1
2012,Oct,648,617,31,4.8
2012,Nov,643,614,29,4.5
2012,Dec,637,603,34,5.3
2013,Jan,599,562,37,6.2
2013,Feb,603,565,38,6.3
2013,Mar,600,564,36,6.0
2013,Apr,618,584,34,5.5
2013,May,650,614,36,5.5
2013,Jun,655,615,40,6.1
2013,Jul,648,609,39,6.0
2013,Aug,640,602,38,5.9
2013,Sep,639,604,35,5.5
2013,Oct,646,612,34,5.3
2013,Nov,617,588,29,4.7
2013,Dec,630,602,28,4.4
2014,Jan,613,583,30,4.9
2014,Feb,636,607,29,4.6
2014,Mar,642,614,28,4.4
2014,Apr,656,633,23,3.5
2014,May,666,639,27,4.1
2014,Jun,675,648,27,4.0
2014,Jul,641,611,30,4.7
2014,Aug,637,608,29,4.6
2014,Sep,639,614,25,3.9
2014,Oct,626,601,25,4.0
2014,Nov,615,591,24,3.9
2014,Dec,600,578,22,3.7
2015,Jan,614,590,24,3.9
2015,Feb,605,582,23,3.8
2015,Mar,629,605,24,3.8
2015,Apr,607,584,23,3.8
2015,May,620,598,22,3.5
2015,Jun,614,589,25,4.1
2015,Jul,592,566,26,4.4
2015,Aug,565,545,20,3.5
2015,Sep,576,554,22,3.8
2015,Oct,591,570,21,3.6
2015,Nov,568,548,20,3.5
2015,Dec,552,531,21,3.8
2016,Jan,516,496,20,3.9
2016,Feb,554,532,22,4.0
2016,Mar,563,540,23,4.1
2016,Apr,561,539,22,3.9
2016,May,580,555,25,4.3
2016,Jun,571,543,28,4.9
2016,Jul,543,515,28,5.2
2016,Aug,546,519,27,4.9
2016,Sep,535,512,23,4.3
2016,Oct,539,517,22,4.1
2016,Nov,532,511,21,3.9
2016,Dec,530,508,22,4.2
2017,Jan,528,504,24,4.5
2017,Feb,542,516,26,4.8
2017,Mar,584,557,27,4.6
2017,Apr,557,531,26,4.7
2017,May,582,554,28,4.8
2017,Jun,589,563,26,4.4
2017,Jul,550,524,26,4.7
2017,Aug,560,534,26,4.6
2017,Sep,542,519,23,4.2
2017,Oct,541,523,18,3.3
2017,Nov,531,510,21,4.0
2017,Dec,547,528,19,3.5
2018,Jan,531,510,21,4.0
2018,Feb,552,529,23,4.2
2018,Mar,585,563,22,3.8
2018,Apr,557,536,21,3.8
2018,May,593,571,22,3.7
2018,Jun,572,548,24,4.2
2018,Jul,542,519,23,4.2
2018,Aug,556,533,23,4.1
2018,Sep,559,539,20,3.6
2018,Oct,565,547,18,3.2
2018,Nov,556,536,20,3.6
2018,Dec,544,524,20,3.7
2019,Jan,550,526,24,4.4
2019,Feb,556,533,23,4.1
2019,Mar,588,565,23,3.9
2019,Apr,591,573,18,3.0
2019,May,599,581,18,3.0
2019,Jun,595,574,21,3.5
2019,Jul,567,546,21,3.7
2019,Aug,593,574,19,3.2
2019,Sep,573,552,21,3.7
2019,Oct,588,568,20,3.4
2019,Nov,563,544,19,3.4
2019,Dec,573,555,18,3.1
2020,Jan,563,539,24,4.3
2020,Feb,570,548,22,3.9
2020,Mar,580,547,33,5.7
2020,Apr,493,463,30,6.1
