Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480470000000003,LAUCN480470000000004,LAUCN480470000000005,LAUCN480470000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Brooks County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,2547,2231,316,12.4
2010,Feb,2537,2228,309,12.2
2010,Mar,2548,2259,289,11.3
2010,Apr,2595,2298,297,11.4
2010,May,2605,2315,290,11.1
2010,Jun,2606,2278,328,12.6
2010,Jul,2585,2235,350,13.5
2010,Aug,2584,2256,328,12.7
2010,Sep,2627,2317,310,11.8
2010,Oct,2634,2324,310,11.8
2010,Nov,2627,2318,309,11.8
2010,Dec,2618,2329,289,11.0
2011,Jan,2666,2379,287,10.8
2011,Feb,2647,2378,269,10.2
2011,Mar,2668,2394,274,10.3
2011,Apr,2667,2412,255,9.6
2011,May,2685,2413,272,10.1
2011,Jun,2717,2384,333,12.3
2011,Jul,2691,2354,337,12.5
2011,Aug,2713,2396,317,11.7
2011,Sep,2685,2399,286,10.7
2011,Oct,2705,2425,280,10.4
2011,Nov,2721,2463,258,9.5
2011,Dec,2705,2460,245,9.1
2012,Jan,2704,2457,247,9.1
2012,Feb,2689,2454,235,8.7
2012,Mar,2704,2468,236,8.7
2012,Apr,2684,2467,217,8.1
2012,May,2695,2469,226,8.4
2012,Jun,2735,2467,268,9.8
2012,Jul,2730,2454,276,10.1
2012,Aug,2749,2484,265,9.6
2012,Sep,2752,2530,222,8.1
2012,Oct,2745,2527,218,7.9
2012,Nov,2711,2505,206,7.6
2012,Dec,2757,2528,229,8.3
2013,Jan,2787,2536,251,9.0
2013,Feb,2779,2539,240,8.6
2013,Mar,2830,2587,243,8.6
2013,Apr,2801,2576,225,8.0
2013,May,2820,2560,260,9.2
2013,Jun,2834,2531,303,10.7
2013,Jul,2738,2436,302,11.0
2013,Aug,2712,2458,254,9.4
2013,Sep,2721,2477,244,9.0
2013,Oct,2733,2500,233,8.5
2013,Nov,2705,2489,216,8.0
2013,Dec,2705,2501,204,7.5
2014,Jan,2719,2510,209,7.7
2014,Feb,2735,2509,226,8.3
2014,Mar,2729,2506,223,8.2
2014,Apr,2687,2511,176,6.6
2014,May,2710,2513,197,7.3
2014,Jun,2733,2491,242,8.9
2014,Jul,2755,2500,255,9.3
2014,Aug,2754,2500,254,9.2
2014,Sep,2702,2509,193,7.1
2014,Oct,2686,2502,184,6.9
2014,Nov,2658,2474,184,6.9
2014,Dec,2652,2482,170,6.4
2015,Jan,2653,2465,188,7.1
2015,Feb,2699,2495,204,7.6
2015,Mar,2676,2465,211,7.9
2015,Apr,2625,2400,225,8.6
2015,May,2633,2381,252,9.6
2015,Jun,2631,2345,286,10.9
2015,Jul,2596,2299,297,11.4
2015,Aug,2582,2256,326,12.6
2015,Sep,2550,2260,290,11.4
2015,Oct,2536,2259,277,10.9
2015,Nov,2520,2249,271,10.8
2015,Dec,2530,2265,265,10.5
2016,Jan,2459,2183,276,11.2
2016,Feb,2497,2223,274,11.0
2016,Mar,2531,2218,313,12.4
2016,Apr,2449,2141,308,12.6
2016,May,2425,2143,282,11.6
2016,Jun,2442,2111,331,13.6
2016,Jul,2442,2118,324,13.3
2016,Aug,2414,2114,300,12.4
2016,Sep,2413,2123,290,12.0
2016,Oct,2417,2154,263,10.9
2016,Nov,2384,2142,242,10.2
2016,Dec,2381,2137,244,10.2
2017,Jan,2477,2219,258,10.4
2017,Feb,2445,2202,243,9.9
2017,Mar,2490,2258,232,9.3
2017,Apr,2452,2248,204,8.3
2017,May,2434,2246,188,7.7
2017,Jun,2444,2226,218,8.9
2017,Jul,2441,2227,214,8.8
2017,Aug,2442,2230,212,8.7
2017,Sep,2406,2234,172,7.1
2017,Oct,2379,2227,152,6.4
2017,Nov,2378,2220,158,6.6
2017,Dec,2398,2243,155,6.5
2018,Jan,2428,2254,174,7.2
2018,Feb,2424,2251,173,7.1
2018,Mar,2442,2267,175,7.2
2018,Apr,2426,2276,150,6.2
2018,May,2423,2280,143,5.9
2018,Jun,2439,2257,182,7.5
2018,Jul,2464,2276,188,7.6
2018,Aug,2436,2297,139,5.7
2018,Sep,2474,2331,143,5.8
2018,Oct,2455,2321,134,5.5
2018,Nov,2461,2321,140,5.7
2018,Dec,2543,2413,130,5.1
2019,Jan,2651,2503,148,5.6
2019,Feb,2644,2515,129,4.9
2019,Mar,2637,2494,143,5.4
2019,Apr,2585,2480,105,4.1
2019,May,2579,2474,105,4.1
2019,Jun,2586,2435,151,5.8
2019,Jul,2616,2442,174,6.7
2019,Aug,2578,2445,133,5.2
2019,Sep,2575,2445,130,5.0
2019,Oct,2588,2459,129,5.0
2019,Nov,2569,2442,127,4.9
2019,Dec,2616,2485,131,5.0
2020,Jan,2697,2550,147,5.5
2020,Feb,2686,2540,146,5.4
2020,Mar,2714,2484,230,8.5
2020,Apr,2392,2077,315,13.2
