Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480490000000003,LAUCN480490000000004,LAUCN480490000000005,LAUCN480490000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Brown County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,16329,14931,1398,8.6
2010,Feb,16392,15026,1366,8.3
2010,Mar,16547,15146,1401,8.5
2010,Apr,16610,15275,1335,8.0
2010,May,16431,15112,1319,8.0
2010,Jun,16546,15152,1394,8.4
2010,Jul,16585,15179,1406,8.5
2010,Aug,16455,15082,1373,8.3
2010,Sep,16496,15178,1318,8.0
2010,Oct,16266,14983,1283,7.9
2010,Nov,16251,14935,1316,8.1
2010,Dec,16265,15003,1262,7.8
2011,Jan,16286,14903,1383,8.5
2011,Feb,16317,15020,1297,7.9
2011,Mar,16614,15019,1595,9.6
2011,Apr,16478,15303,1175,7.1
2011,May,16444,15213,1231,7.5
2011,Jun,16511,15134,1377,8.3
2011,Jul,16418,15043,1375,8.4
2011,Aug,16384,15019,1365,8.3
2011,Sep,16362,15024,1338,8.2
2011,Oct,16225,14953,1272,7.8
2011,Nov,16230,15041,1189,7.3
2011,Dec,16257,15127,1130,7.0
2012,Jan,16191,14990,1201,7.4
2012,Feb,16139,15000,1139,7.1
2012,Mar,16155,15061,1094,6.8
2012,Apr,16062,15036,1026,6.4
2012,May,16114,15034,1080,6.7
2012,Jun,16281,15075,1206,7.4
2012,Jul,16235,15044,1191,7.3
2012,Aug,15937,14869,1068,6.7
2012,Sep,16083,15083,1000,6.2
2012,Oct,15956,14890,1066,6.7
2012,Nov,15800,14823,977,6.2
2012,Dec,15899,14872,1027,6.5
2013,Jan,15856,14711,1145,7.2
2013,Feb,15842,14763,1079,6.8
2013,Mar,15815,14790,1025,6.5
2013,Apr,15864,14908,956,6.0
2013,May,15988,14945,1043,6.5
2013,Jun,16226,15036,1190,7.3
2013,Jul,16145,14997,1148,7.1
2013,Aug,15981,14929,1052,6.6
2013,Sep,15979,14970,1009,6.3
2013,Oct,15871,14900,971,6.1
2013,Nov,15845,14937,908,5.7
2013,Dec,15821,14982,839,5.3
2014,Jan,15873,15013,860,5.4
2014,Feb,15985,15107,878,5.5
2014,Mar,16055,15192,863,5.4
2014,Apr,15881,15181,700,4.4
2014,May,15953,15168,785,4.9
2014,Jun,15966,15095,871,5.5
2014,Jul,16045,14863,1182,7.4
2014,Aug,15755,14900,855,5.4
2014,Sep,15812,15028,784,5.0
2014,Oct,15752,15026,726,4.6
2014,Nov,15779,15070,709,4.5
2014,Dec,15570,14936,634,4.1
2015,Jan,15690,14977,713,4.5
2015,Feb,15722,15044,678,4.3
2015,Mar,15842,15169,673,4.2
2015,Apr,15715,15094,621,4.0
2015,May,15841,15170,671,4.2
2015,Jun,16034,15301,733,4.6
2015,Jul,16049,15295,754,4.7
2015,Aug,15960,15256,704,4.4
2015,Sep,16031,15342,689,4.3
2015,Oct,15899,15207,692,4.4
2015,Nov,15968,15296,672,4.2
2015,Dec,15994,15374,620,3.9
2016,Jan,16057,15405,652,4.1
2016,Feb,16227,15556,671,4.1
2016,Mar,16334,15625,709,4.3
2016,Apr,16131,15509,622,3.9
2016,May,16127,15500,627,3.9
2016,Jun,16284,15493,791,4.9
2016,Jul,16142,15310,832,5.2
2016,Aug,16124,15356,768,4.8
2016,Sep,16195,15463,732,4.5
2016,Oct,16007,15297,710,4.4
2016,Nov,16191,15539,652,4.0
2016,Dec,16143,15500,643,4.0
2017,Jan,16087,15403,684,4.3
2017,Feb,16222,15542,680,4.2
2017,Mar,16393,15735,658,4.0
2017,Apr,16074,15519,555,3.5
2017,May,16097,15489,608,3.8
2017,Jun,16199,15519,680,4.2
2017,Jul,16054,15360,694,4.3
2017,Aug,16055,15382,673,4.2
2017,Sep,16168,15583,585,3.6
2017,Oct,15885,15351,534,3.4
2017,Nov,15935,15368,567,3.6
2017,Dec,15924,15370,554,3.5
2018,Jan,16081,15481,600,3.7
2018,Feb,16287,15675,612,3.8
2018,Mar,16341,15724,617,3.8
2018,Apr,16046,15515,531,3.3
2018,May,16080,15543,537,3.3
2018,Jun,16058,15406,652,4.1
2018,Jul,16207,15415,792,4.9
2018,Aug,15928,15340,588,3.7
2018,Sep,15961,15393,568,3.6
2018,Oct,15740,15192,548,3.5
2018,Nov,15746,15219,527,3.3
2018,Dec,15788,15250,538,3.4
2019,Jan,16050,15429,621,3.9
2019,Feb,15999,15412,587,3.7
2019,Mar,15962,15383,579,3.6
2019,Apr,15650,15187,463,3.0
2019,May,15567,15072,495,3.2
2019,Jun,15535,14898,637,4.1
2019,Jul,15659,14996,663,4.2
2019,Aug,15792,15142,650,4.1
2019,Sep,15663,15066,597,3.8
2019,Oct,15522,14938,584,3.8
2019,Nov,15509,14932,577,3.7
2019,Dec,15505,14950,555,3.6
2020,Jan,15570,14930,640,4.1
2020,Feb,15646,15035,611,3.9
2020,Mar,15595,14674,921,5.9
2020,Apr,13533,12165,1368,10.1
