Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480510000000003,LAUCN480510000000004,LAUCN480510000000005,LAUCN480510000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Burleson County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,7640,6985,655,8.6
2010,Feb,7841,7195,646,8.2
2010,Mar,7882,7258,624,7.9
2010,Apr,8039,7428,611,7.6
2010,May,7970,7359,611,7.7
2010,Jun,7705,7058,647,8.4
2010,Jul,7771,7137,634,8.2
2010,Aug,7646,7035,611,8.0
2010,Sep,7992,7386,606,7.6
2010,Oct,7988,7387,601,7.5
2010,Nov,8011,7399,612,7.6
2010,Dec,7953,7387,566,7.1
2011,Jan,7711,7093,618,8.0
2011,Feb,7814,7231,583,7.5
2011,Mar,7862,7270,592,7.5
2011,Apr,7859,7311,548,7.0
2011,May,7799,7239,560,7.2
2011,Jun,7631,7022,609,8.0
2011,Jul,7657,7033,624,8.1
2011,Aug,7618,7037,581,7.6
2011,Sep,7842,7267,575,7.3
2011,Oct,7803,7285,518,6.6
2011,Nov,7818,7315,503,6.4
2011,Dec,7760,7287,473,6.1
2012,Jan,7362,6858,504,6.8
2012,Feb,7588,7113,475,6.3
2012,Mar,7605,7123,482,6.3
2012,Apr,7720,7258,462,6.0
2012,May,7781,7299,482,6.2
2012,Jun,7641,7108,533,7.0
2012,Jul,7534,7016,518,6.9
2012,Aug,7443,6948,495,6.7
2012,Sep,7781,7315,466,6.0
2012,Oct,7858,7400,458,5.8
2012,Nov,7860,7420,440,5.6
2012,Dec,7822,7353,469,6.0
2013,Jan,7460,6944,516,6.9
2013,Feb,7678,7186,492,6.4
2013,Mar,7655,7187,468,6.1
2013,Apr,7670,7218,452,5.9
2013,May,7749,7272,477,6.2
2013,Jun,7576,7045,531,7.0
2013,Jul,7489,6964,525,7.0
2013,Aug,7534,7055,479,6.4
2013,Sep,7893,7421,472,6.0
2013,Oct,7914,7457,457,5.8
2013,Nov,7916,7490,426,5.4
2013,Dec,7832,7427,405,5.2
2014,Jan,7419,7011,408,5.5
2014,Feb,7679,7266,413,5.4
2014,Mar,7678,7277,401,5.2
2014,Apr,7648,7322,326,4.3
2014,May,7709,7339,370,4.8
2014,Jun,7487,7100,387,5.2
2014,Jul,7453,7047,406,5.4
2014,Aug,7414,7037,377,5.1
2014,Sep,7660,7319,341,4.5
2014,Oct,7728,7412,316,4.1
2014,Nov,7735,7425,310,4.0
2014,Dec,7601,7324,277,3.6
2015,Jan,7764,7437,327,4.2
2015,Feb,7872,7559,313,4.0
2015,Mar,7897,7591,306,3.9
2015,Apr,7745,7448,297,3.8
2015,May,7848,7510,338,4.3
2015,Jun,7598,7213,385,5.1
2015,Jul,7493,7121,372,5.0
2015,Aug,7499,7155,344,4.6
2015,Sep,7796,7456,340,4.4
2015,Oct,7898,7555,343,4.3
2015,Nov,7901,7551,350,4.4
2015,Dec,7799,7465,334,4.3
2016,Jan,7736,7397,339,4.4
2016,Feb,7938,7596,342,4.3
2016,Mar,7969,7615,354,4.4
2016,Apr,7903,7574,329,4.2
2016,May,8007,7651,356,4.4
2016,Jun,7719,7314,405,5.2
2016,Jul,7655,7256,399,5.2
2016,Aug,7607,7211,396,5.2
2016,Sep,7956,7563,393,4.9
2016,Oct,8006,7641,365,4.6
2016,Nov,8021,7672,349,4.4
2016,Dec,7945,7598,347,4.4
2017,Jan,7838,7459,379,4.8
2017,Feb,8072,7699,373,4.6
2017,Mar,8145,7797,348,4.3
2017,Apr,8065,7758,307,3.8
2017,May,8007,7696,311,3.9
2017,Jun,7713,7364,349,4.5
2017,Jul,7755,7403,352,4.5
2017,Aug,7689,7342,347,4.5
2017,Sep,8081,7755,326,4.0
2017,Oct,8167,7874,293,3.6
2017,Nov,8229,7908,321,3.9
2017,Dec,8139,7829,310,3.8
2018,Jan,8073,7748,325,4.0
2018,Feb,8317,7991,326,3.9
2018,Mar,8382,8067,315,3.8
2018,Apr,8299,8013,286,3.4
2018,May,8270,7986,284,3.4
2018,Jun,7978,7648,330,4.1
2018,Jul,7975,7664,311,3.9
2018,Aug,7941,7644,297,3.7
2018,Sep,8311,8034,277,3.3
2018,Oct,8380,8120,260,3.1
2018,Nov,8468,8205,263,3.1
2018,Dec,8296,8036,260,3.1
2019,Jan,8196,7897,299,3.6
2019,Feb,8474,8207,267,3.2
2019,Mar,8525,8263,262,3.1
2019,Apr,8370,8151,219,2.6
2019,May,8337,8115,222,2.7
2019,Jun,8063,7798,265,3.3
2019,Jul,8071,7797,274,3.4
2019,Aug,8106,7840,266,3.3
2019,Sep,8455,8209,246,2.9
2019,Oct,8608,8355,253,2.9
2019,Nov,8640,8364,276,3.2
2019,Dec,8503,8240,263,3.1
2020,Jan,8434,8127,307,3.6
2020,Feb,8698,8393,305,3.5
2020,Mar,8558,8133,425,5.0
2020,Apr,7566,6905,661,8.7
