Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480530000000003,LAUCN480530000000004,LAUCN480530000000005,LAUCN480530000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Burnet County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,19674,18262,1412,7.2
2010,Feb,19719,18359,1360,6.9
2010,Mar,19981,18613,1368,6.8
2010,Apr,20429,19078,1351,6.6
2010,May,20416,19080,1336,6.5
2010,Jun,20661,19221,1440,7.0
2010,Jul,20659,19207,1452,7.0
2010,Aug,20636,19243,1393,6.8
2010,Sep,20433,19087,1346,6.6
2010,Oct,20294,18969,1325,6.5
2010,Nov,20323,18938,1385,6.8
2010,Dec,20244,18923,1321,6.5
2011,Jan,20369,18932,1437,7.1
2011,Feb,20387,19024,1363,6.7
2011,Mar,20535,19214,1321,6.4
2011,Apr,20686,19371,1315,6.4
2011,May,20708,19361,1347,6.5
2011,Jun,21054,19486,1568,7.4
2011,Jul,21047,19473,1574,7.5
2011,Aug,20971,19511,1460,7.0
2011,Sep,20913,19452,1461,7.0
2011,Oct,20508,19153,1355,6.6
2011,Nov,20395,19120,1275,6.3
2011,Dec,20332,19078,1254,6.2
2012,Jan,20212,18875,1337,6.6
2012,Feb,20109,18832,1277,6.4
2012,Mar,20237,18998,1239,6.1
2012,Apr,20266,19118,1148,5.7
2012,May,20427,19224,1203,5.9
2012,Jun,20685,19357,1328,6.4
2012,Jul,20674,19331,1343,6.5
2012,Aug,20458,19237,1221,6.0
2012,Sep,20554,19393,1161,5.6
2012,Oct,20468,19342,1126,5.5
2012,Nov,20568,19462,1106,5.4
2012,Dec,20460,19343,1117,5.5
2013,Jan,20463,19181,1282,6.3
2013,Feb,20403,19211,1192,5.8
2013,Mar,20509,19363,1146,5.6
2013,Apr,20721,19647,1074,5.2
2013,May,20967,19840,1127,5.4
2013,Jun,21204,19940,1264,6.0
2013,Jul,21187,19943,1244,5.9
2013,Aug,20936,19796,1140,5.4
2013,Sep,20954,19809,1145,5.5
2013,Oct,20753,19655,1098,5.3
2013,Nov,20822,19813,1009,4.8
2013,Dec,20702,19758,944,4.6
2014,Jan,20915,19927,988,4.7
2014,Feb,21100,20102,998,4.7
2014,Mar,21383,20399,984,4.6
2014,Apr,21515,20683,832,3.9
2014,May,21690,20745,945,4.4
2014,Jun,21847,20880,967,4.4
2014,Jul,21919,20887,1032,4.7
2014,Aug,21726,20750,976,4.5
2014,Sep,21625,20704,921,4.3
2014,Oct,21704,20844,860,4.0
2014,Nov,21610,20768,842,3.9
2014,Dec,21271,20504,767,3.6
2015,Jan,20977,20107,870,4.1
2015,Feb,21028,20219,809,3.8
2015,Mar,21114,20345,769,3.6
2015,Apr,21236,20517,719,3.4
2015,May,21356,20584,772,3.6
2015,Jun,21561,20755,806,3.7
2015,Jul,21505,20672,833,3.9
2015,Aug,21231,20479,752,3.5
2015,Sep,21052,20293,759,3.6
2015,Oct,21031,20297,734,3.5
2015,Nov,21038,20309,729,3.5
2015,Dec,21020,20332,688,3.3
2016,Jan,21361,20639,722,3.4
2016,Feb,21625,20890,735,3.4
2016,Mar,21810,21067,743,3.4
2016,Apr,21909,21240,669,3.1
2016,May,22082,21399,683,3.1
2016,Jun,22404,21601,803,3.6
2016,Jul,22396,21538,858,3.8
2016,Aug,22044,21242,802,3.6
2016,Sep,22028,21207,821,3.7
2016,Oct,21996,21219,777,3.5
2016,Nov,22096,21342,754,3.4
2016,Dec,22081,21332,749,3.4
2017,Jan,21717,20899,818,3.8
2017,Feb,21974,21169,805,3.7
2017,Mar,22062,21324,738,3.3
2017,Apr,22229,21588,641,2.9
2017,May,22400,21715,685,3.1
2017,Jun,22589,21862,727,3.2
2017,Jul,22449,21679,770,3.4
2017,Aug,22336,21592,744,3.3
2017,Sep,22243,21566,677,3.0
2017,Oct,22365,21750,615,2.7
2017,Nov,22471,21825,646,2.9
2017,Dec,22451,21835,616,2.7
2018,Jan,22634,21948,686,3.0
2018,Feb,22861,22173,688,3.0
2018,Mar,23045,22351,694,3.0
2018,Apr,23030,22419,611,2.7
2018,May,23065,22446,619,2.7
2018,Jun,23167,22459,708,3.1
2018,Jul,23249,22546,703,3.0
2018,Aug,22760,22099,661,2.9
2018,Sep,22820,22167,653,2.9
2018,Oct,22790,22177,613,2.7
2018,Nov,22828,22210,618,2.7
2018,Dec,22809,22178,631,2.8
2019,Jan,23279,22556,723,3.1
2019,Feb,23599,22941,658,2.8
2019,Mar,23590,22938,652,2.8
2019,Apr,23410,22877,533,2.3
2019,May,23470,22905,565,2.4
2019,Jun,23623,22955,668,2.8
2019,Jul,23891,23171,720,3.0
2019,Aug,23599,22909,690,2.9
2019,Sep,23598,22964,634,2.7
2019,Oct,23604,22983,621,2.6
2019,Nov,23638,23004,634,2.7
2019,Dec,23540,22958,582,2.5
2020,Jan,23617,22949,668,2.8
2020,Feb,23887,23225,662,2.8
2020,Mar,23521,22600,921,3.9
2020,Apr,20624,18788,1836,8.9
