Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480550000000003,LAUCN480550000000004,LAUCN480550000000005,LAUCN480550000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Caldwell County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,16275,14811,1464,9.0
2010,Feb,16342,14911,1431,8.8
2010,Mar,16486,15049,1437,8.7
2010,Apr,16655,15282,1373,8.2
2010,May,16574,15201,1373,8.3
2010,Jun,16762,15217,1545,9.2
2010,Jul,16752,15224,1528,9.1
2010,Aug,16751,15267,1484,8.9
2010,Sep,16738,15331,1407,8.4
2010,Oct,16843,15440,1403,8.3
2010,Nov,16929,15494,1435,8.5
2010,Dec,16823,15467,1356,8.1
2011,Jan,16573,15103,1470,8.9
2011,Feb,16636,15217,1419,8.5
2011,Mar,16681,15317,1364,8.2
2011,Apr,16747,15435,1312,7.8
2011,May,16758,15404,1354,8.1
2011,Jun,16968,15362,1606,9.5
2011,Jul,16922,15354,1568,9.3
2011,Aug,16917,15428,1489,8.8
2011,Sep,17023,15537,1486,8.7
2011,Oct,17035,15628,1407,8.3
2011,Nov,17045,15738,1307,7.7
2011,Dec,16980,15720,1260,7.4
2012,Jan,16627,15310,1317,7.9
2012,Feb,16645,15379,1266,7.6
2012,Mar,16733,15463,1270,7.6
2012,Apr,16689,15544,1145,6.9
2012,May,16732,15556,1176,7.0
2012,Jun,16925,15579,1346,8.0
2012,Jul,16915,15583,1332,7.9
2012,Aug,16785,15562,1223,7.3
2012,Sep,16921,15791,1130,6.7
2012,Oct,17057,15934,1123,6.6
2012,Nov,17089,16006,1083,6.3
2012,Dec,17020,15930,1090,6.4
2013,Jan,16861,15643,1218,7.2
2013,Feb,16877,15725,1152,6.8
2013,Mar,16944,15768,1176,6.9
2013,Apr,17033,15975,1058,6.2
2013,May,17121,16012,1109,6.5
2013,Jun,17287,16013,1274,7.4
2013,Jul,17301,16039,1262,7.3
2013,Aug,17148,15995,1153,6.7
2013,Sep,17206,16125,1081,6.3
2013,Oct,17221,16113,1108,6.4
2013,Nov,17292,16307,985,5.7
2013,Dec,17204,16297,907,5.3
2014,Jan,17007,16064,943,5.5
2014,Feb,17153,16206,947,5.5
2014,Mar,17289,16308,981,5.7
2014,Apr,17191,16384,807,4.7
2014,May,17243,16360,883,5.1
2014,Jun,17390,16379,1011,5.8
2014,Jul,17416,16360,1056,6.1
2014,Aug,17257,16297,960,5.6
2014,Sep,17280,16403,877,5.1
2014,Oct,17333,16532,801,4.6
2014,Nov,17363,16575,788,4.5
2014,Dec,17205,16489,716,4.2
2015,Jan,17137,16311,826,4.8
2015,Feb,17197,16440,757,4.4
2015,Mar,17252,16536,716,4.2
2015,Apr,17317,16659,658,3.8
2015,May,17436,16708,728,4.2
2015,Jun,17528,16704,824,4.7
2015,Jul,17474,16633,841,4.8
2015,Aug,17358,16604,754,4.3
2015,Sep,17468,16727,741,4.2
2015,Oct,17610,16840,770,4.4
2015,Nov,17678,16940,738,4.2
2015,Dec,17664,16960,704,4.0
2016,Jan,17537,16781,756,4.3
2016,Feb,17745,16999,746,4.2
2016,Mar,17862,17089,773,4.3
2016,Apr,17857,17148,709,4.0
2016,May,17866,17155,711,4.0
2016,Jun,18025,17164,861,4.8
2016,Jul,18051,17173,878,4.9
2016,Aug,17945,17126,819,4.6
2016,Sep,18054,17235,819,4.5
2016,Oct,18088,17323,765,4.2
2016,Nov,18131,17393,738,4.1
2016,Dec,18070,17343,727,4.0
2017,Jan,18173,17378,795,4.4
2017,Feb,18360,17555,805,4.4
2017,Mar,18465,17673,792,4.3
2017,Apr,18449,17783,666,3.6
2017,May,18443,17755,688,3.7
2017,Jun,18552,17764,788,4.2
2017,Jul,18580,17791,789,4.2
2017,Aug,18493,17720,773,4.2
2017,Sep,18614,17948,666,3.6
2017,Oct,18622,17993,629,3.4
2017,Nov,18699,18027,672,3.6
2017,Dec,18660,18027,633,3.4
2018,Jan,18714,18012,702,3.8
2018,Feb,18960,18248,712,3.8
2018,Mar,19046,18298,748,3.9
2018,Apr,19001,18377,624,3.3
2018,May,19008,18400,608,3.2
2018,Jun,19172,18399,773,4.0
2018,Jul,19185,18405,780,4.1
2018,Aug,18995,18274,721,3.8
2018,Sep,19127,18451,676,3.5
2018,Oct,19268,18612,656,3.4
2018,Nov,19315,18675,640,3.3
2018,Dec,19309,18642,667,3.5
2019,Jan,19416,18626,790,4.1
2019,Feb,19519,18845,674,3.5
2019,Mar,19543,18886,657,3.4
2019,Apr,19489,18932,557,2.9
2019,May,19492,18911,581,3.0
2019,Jun,19667,18947,720,3.7
2019,Jul,19768,19008,760,3.8
2019,Aug,19670,18984,686,3.5
2019,Sep,19776,19124,652,3.3
2019,Oct,19889,19267,622,3.1
2019,Nov,19904,19277,627,3.2
2019,Dec,19898,19326,572,2.9
2020,Jan,19898,19232,666,3.3
2020,Feb,20078,19433,645,3.2
2020,Mar,19677,18769,908,4.6
2020,Apr,17549,15715,1834,10.5
