Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480570000000003,LAUCN480570000000004,LAUCN480570000000005,LAUCN480570000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Calhoun County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,10012,9054,958,9.6
2010,Feb,10063,9141,922,9.2
2010,Mar,10053,9159,894,8.9
2010,Apr,10037,9187,850,8.5
2010,May,10009,9147,862,8.6
2010,Jun,10040,9123,917,9.1
2010,Jul,10176,9246,930,9.1
2010,Aug,10181,9265,916,9.0
2010,Sep,10254,9360,894,8.7
2010,Oct,10413,9547,866,8.3
2010,Nov,10483,9598,885,8.4
2010,Dec,10460,9595,865,8.3
2011,Jan,10693,9767,926,8.7
2011,Feb,10693,9798,895,8.4
2011,Mar,10774,9892,882,8.2
2011,Apr,10841,9988,853,7.9
2011,May,10721,9837,884,8.2
2011,Jun,10704,9727,977,9.1
2011,Jul,10481,9494,987,9.4
2011,Aug,10479,9529,950,9.1
2011,Sep,10461,9554,907,8.7
2011,Oct,10454,9594,860,8.2
2011,Nov,10552,9671,881,8.3
2011,Dec,10365,9522,843,8.1
2012,Jan,10152,9289,863,8.5
2012,Feb,10134,9283,851,8.4
2012,Mar,10218,9415,803,7.9
2012,Apr,10228,9471,757,7.4
2012,May,10462,9691,771,7.4
2012,Jun,10464,9627,837,8.0
2012,Jul,10488,9658,830,7.9
2012,Aug,10410,9652,758,7.3
2012,Sep,10506,9803,703,6.7
2012,Oct,10581,9895,686,6.5
2012,Nov,10686,10025,661,6.2
2012,Dec,10742,10082,660,6.1
2013,Jan,10965,10234,731,6.7
2013,Feb,11116,10449,667,6.0
2013,Mar,11055,10419,636,5.8
2013,Apr,10577,9956,621,5.9
2013,May,10721,10045,676,6.3
2013,Jun,10803,10057,746,6.9
2013,Jul,10804,10064,740,6.8
2013,Aug,10840,10138,702,6.5
2013,Sep,10893,10207,686,6.3
2013,Oct,10757,10101,656,6.1
2013,Nov,10820,10219,601,5.6
2013,Dec,10776,10176,600,5.6
2014,Jan,10840,10234,606,5.6
2014,Feb,10890,10291,599,5.5
2014,Mar,11030,10450,580,5.3
2014,Apr,11038,10554,484,4.4
2014,May,11006,10485,521,4.7
2014,Jun,10977,10412,565,5.1
2014,Jul,11123,10528,595,5.3
2014,Aug,11112,10549,563,5.1
2014,Sep,11147,10640,507,4.5
2014,Oct,11231,10761,470,4.2
2014,Nov,11420,10968,452,4.0
2014,Dec,11413,11004,409,3.6
2015,Jan,11328,10854,474,4.2
2015,Feb,11422,10987,435,3.8
2015,Mar,11453,11024,429,3.7
2015,Apr,11434,11029,405,3.5
2015,May,11541,11100,441,3.8
2015,Jun,11583,11116,467,4.0
2015,Jul,11441,10943,498,4.4
2015,Aug,11406,10941,465,4.1
2015,Sep,11269,10811,458,4.1
2015,Oct,11184,10739,445,4.0
2015,Nov,10988,10548,440,4.0
2015,Dec,10914,10456,458,4.2
2016,Jan,10792,10291,501,4.6
2016,Feb,10821,10306,515,4.8
2016,Mar,10835,10285,550,5.1
2016,Apr,10853,10296,557,5.1
2016,May,10896,10350,546,5.0
2016,Jun,10954,10345,609,5.6
2016,Jul,10971,10331,640,5.8
2016,Aug,11012,10321,691,6.3
2016,Sep,10856,10156,700,6.4
2016,Oct,10515,9891,624,5.9
2016,Nov,10415,9798,617,5.9
2016,Dec,10328,9677,651,6.3
2017,Jan,10324,9614,710,6.9
2017,Feb,10474,9819,655,6.3
2017,Mar,10494,9868,626,6.0
2017,Apr,10583,10005,578,5.5
2017,May,10480,9940,540,5.2
2017,Jun,10521,9931,590,5.6
2017,Jul,10464,9889,575,5.5
2017,Aug,10385,9793,592,5.7
2017,Sep,10553,9894,659,6.2
2017,Oct,10601,10019,582,5.5
2017,Nov,10601,10004,597,5.6
2017,Dec,10477,9914,563,5.4
2018,Jan,10759,10154,605,5.6
2018,Feb,11137,10599,538,4.8
2018,Mar,11271,10769,502,4.5
2018,Apr,11086,10622,464,4.2
2018,May,11062,10639,423,3.8
2018,Jun,11204,10708,496,4.4
2018,Jul,11158,10701,457,4.1
2018,Aug,11228,10807,421,3.7
2018,Sep,11231,10835,396,3.5
2018,Oct,11332,10948,384,3.4
2018,Nov,11517,11132,385,3.3
2018,Dec,11533,11125,408,3.5
2019,Jan,11904,11454,450,3.8
2019,Feb,12151,11760,391,3.2
2019,Mar,12163,11799,364,3.0
2019,Apr,12195,11884,311,2.6
2019,May,12303,11957,346,2.8
2019,Jun,12282,11859,423,3.4
2019,Jul,12234,11795,439,3.6
2019,Aug,12155,11737,418,3.4
2019,Sep,12109,11737,372,3.1
2019,Oct,12161,11793,368,3.0
2019,Nov,12196,11793,403,3.3
2019,Dec,12154,11739,415,3.4
2020,Jan,12251,11803,448,3.7
2020,Feb,12390,11979,411,3.3
2020,Mar,12280,11716,564,4.6
2020,Apr,10900,9929,971,8.9
