Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480590000000003,LAUCN480590000000004,LAUCN480590000000005,LAUCN480590000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Callahan County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,5957,5499,458,7.7
2010,Feb,5979,5526,453,7.6
2010,Mar,5989,5549,440,7.3
2010,Apr,6044,5620,424,7.0
2010,May,6001,5574,427,7.1
2010,Jun,6029,5567,462,7.7
2010,Jul,6020,5557,463,7.7
2010,Aug,5972,5537,435,7.3
2010,Sep,6005,5582,423,7.0
2010,Oct,6002,5592,410,6.8
2010,Nov,6023,5592,431,7.2
2010,Dec,6004,5601,403,6.7
2011,Jan,6039,5576,463,7.7
2011,Feb,5986,5546,440,7.4
2011,Mar,6023,5594,429,7.1
2011,Apr,6015,5608,407,6.8
2011,May,6000,5572,428,7.1
2011,Jun,6039,5547,492,8.1
2011,Jul,6021,5548,473,7.9
2011,Aug,5987,5538,449,7.5
2011,Sep,6019,5582,437,7.3
2011,Oct,6029,5633,396,6.6
2011,Nov,6037,5655,382,6.3
2011,Dec,6016,5641,375,6.2
2012,Jan,5950,5552,398,6.7
2012,Feb,5939,5565,374,6.3
2012,Mar,5942,5583,359,6.0
2012,Apr,5914,5576,338,5.7
2012,May,5890,5534,356,6.0
2012,Jun,5925,5522,403,6.8
2012,Jul,5942,5540,402,6.8
2012,Aug,5883,5514,369,6.3
2012,Sep,5946,5602,344,5.8
2012,Oct,5975,5637,338,5.7
2012,Nov,5959,5638,321,5.4
2012,Dec,5932,5606,326,5.5
2013,Jan,5907,5529,378,6.4
2013,Feb,5914,5553,361,6.1
2013,Mar,5863,5527,336,5.7
2013,Apr,5935,5622,313,5.3
2013,May,5946,5599,347,5.8
2013,Jun,5944,5559,385,6.5
2013,Jul,5933,5558,375,6.3
2013,Aug,5859,5518,341,5.8
2013,Sep,5922,5584,338,5.7
2013,Oct,5921,5600,321,5.4
2013,Nov,5959,5659,300,5.0
2013,Dec,5906,5631,275,4.7
2014,Jan,5825,5543,282,4.8
2014,Feb,5865,5580,285,4.9
2014,Mar,5864,5576,288,4.9
2014,Apr,5874,5637,237,4.0
2014,May,5879,5620,259,4.4
2014,Jun,5860,5583,277,4.7
2014,Jul,5848,5562,286,4.9
2014,Aug,5789,5516,273,4.7
2014,Sep,5828,5574,254,4.4
2014,Oct,5830,5597,233,4.0
2014,Nov,5829,5603,226,3.9
2014,Dec,5764,5555,209,3.6
2015,Jan,5721,5478,243,4.2
2015,Feb,5725,5485,240,4.2
2015,Mar,5729,5488,241,4.2
2015,Apr,5770,5552,218,3.8
2015,May,5790,5553,237,4.1
2015,Jun,5745,5499,246,4.3
2015,Jul,5728,5460,268,4.7
2015,Aug,5687,5434,253,4.4
2015,Sep,5708,5462,246,4.3
2015,Oct,5716,5474,242,4.2
2015,Nov,5745,5499,246,4.3
2015,Dec,5719,5473,246,4.3
2016,Jan,5777,5528,249,4.3
2016,Feb,5834,5585,249,4.3
2016,Mar,5842,5590,252,4.3
2016,Apr,5808,5581,227,3.9
2016,May,5786,5558,228,3.9
2016,Jun,5810,5549,261,4.5
2016,Jul,5806,5531,275,4.7
2016,Aug,5793,5529,264,4.6
2016,Sep,5800,5548,252,4.3
2016,Oct,5798,5553,245,4.2
2016,Nov,5796,5567,229,4.0
2016,Dec,5795,5561,234,4.0
2017,Jan,5847,5595,252,4.3
2017,Feb,5920,5677,243,4.1
2017,Mar,5932,5707,225,3.8
2017,Apr,5917,5719,198,3.3
2017,May,5914,5700,214,3.6
2017,Jun,5892,5676,216,3.7
2017,Jul,5866,5643,223,3.8
2017,Aug,5884,5663,221,3.8
2017,Sep,5945,5742,203,3.4
2017,Oct,5918,5730,188,3.2
2017,Nov,5948,5747,201,3.4
2017,Dec,5954,5761,193,3.2
2018,Jan,5904,5692,212,3.6
2018,Feb,5984,5770,214,3.6
2018,Mar,6017,5802,215,3.6
2018,Apr,6043,5847,196,3.2
2018,May,6020,5839,181,3.0
2018,Jun,5980,5773,207,3.5
2018,Jul,5975,5772,203,3.4
2018,Aug,5909,5708,201,3.4
2018,Sep,5968,5777,191,3.2
2018,Oct,5987,5798,189,3.2
2018,Nov,6007,5816,191,3.2
2018,Dec,6016,5820,196,3.3
2019,Jan,6023,5803,220,3.7
2019,Feb,6072,5876,196,3.2
2019,Mar,6088,5899,189,3.1
2019,Apr,6059,5909,150,2.5
2019,May,6062,5898,164,2.7
2019,Jun,6071,5869,202,3.3
2019,Jul,6116,5904,212,3.5
2019,Aug,6124,5916,208,3.4
2019,Sep,6180,5996,184,3.0
2019,Oct,6182,6009,173,2.8
2019,Nov,6209,6028,181,2.9
2019,Dec,6174,5994,180,2.9
2020,Jan,6181,5970,211,3.4
2020,Feb,6218,6025,193,3.1
2020,Mar,6068,5792,276,4.5
2020,Apr,5399,4983,416,7.7
