Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480610000000003,LAUCN480610000000004,LAUCN480610000000005,LAUCN480610000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Cameron County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,160357,142132,18225,11.4
2010,Feb,160172,142182,17990,11.2
2010,Mar,160620,142929,17691,11.0
2010,Apr,161159,144108,17051,10.6
2010,May,161256,144109,17147,10.6
2010,Jun,162862,144179,18683,11.5
2010,Jul,163737,145005,18732,11.4
2010,Aug,162513,143972,18541,11.4
2010,Sep,162207,144249,17958,11.1
2010,Oct,162934,145130,17804,10.9
2010,Nov,164991,145955,19036,11.5
2010,Dec,164986,146106,18880,11.4
2011,Jan,165819,145803,20016,12.1
2011,Feb,165487,145970,19517,11.8
2011,Mar,165929,147120,18809,11.3
2011,Apr,165592,147265,18327,11.1
2011,May,164967,146377,18590,11.3
2011,Jun,167037,146787,20250,12.1
2011,Jul,166708,146640,20068,12.0
2011,Aug,165991,146183,19808,11.9
2011,Sep,166063,146773,19290,11.6
2011,Oct,165158,146655,18503,11.2
2011,Nov,165599,147796,17803,10.8
2011,Dec,165521,147903,17618,10.6
2012,Jan,166342,148116,18226,11.0
2012,Feb,166192,148283,17909,10.8
2012,Mar,166543,149354,17189,10.3
2012,Apr,165355,149218,16137,9.8
2012,May,165372,148702,16670,10.1
2012,Jun,167214,149022,18192,10.9
2012,Jul,167643,149407,18236,10.9
2012,Aug,165957,148426,17531,10.6
2012,Sep,165942,149423,16519,10.0
2012,Oct,165690,149415,16275,9.8
2012,Nov,166247,150180,16067,9.7
2012,Dec,167274,150505,16769,10.0
2013,Jan,166463,147980,18483,11.1
2013,Feb,165662,148207,17455,10.5
2013,Mar,165623,148999,16624,10.0
2013,Apr,166942,151019,15923,9.5
2013,May,167459,150851,16608,9.9
2013,Jun,169104,150877,18227,10.8
2013,Jul,169517,152231,17286,10.2
2013,Aug,167369,150711,16658,10.0
2013,Sep,167134,151009,16125,9.6
2013,Oct,165828,149736,16092,9.7
2013,Nov,166985,151545,15440,9.2
2013,Dec,167030,152101,14929,8.9
2014,Jan,167618,151754,15864,9.5
2014,Feb,168109,152362,15747,9.4
2014,Mar,168405,153350,15055,8.9
2014,Apr,167434,154231,13203,7.9
2014,May,167395,153706,13689,8.2
2014,Jun,168270,153725,14545,8.6
2014,Jul,167903,152933,14970,8.9
2014,Aug,166003,151628,14375,8.7
2014,Sep,164969,152110,12859,7.8
2014,Oct,163992,151969,12023,7.3
2014,Nov,164717,152434,12283,7.5
2014,Dec,163757,151993,11764,7.2
2015,Jan,162898,149908,12990,8.0
2015,Feb,161799,149825,11974,7.4
2015,Mar,163232,151470,11762,7.2
2015,Apr,163329,152274,11055,6.8
2015,May,163865,152440,11425,7.0
2015,Jun,164003,151776,12227,7.5
2015,Jul,164197,152123,12074,7.4
2015,Aug,162418,150890,11528,7.1
2015,Sep,161749,150814,10935,6.8
2015,Oct,162281,151533,10748,6.6
2015,Nov,163660,152428,11232,6.9
2015,Dec,163709,152617,11092,6.8
2016,Jan,164226,152650,11576,7.0
2016,Feb,164829,153432,11397,6.9
2016,Mar,166256,154728,11528,6.9
2016,Apr,165542,154460,11082,6.7
2016,May,165421,154457,10964,6.6
2016,Jun,167435,154515,12920,7.7
2016,Jul,167492,154619,12873,7.7
2016,Aug,166374,153761,12613,7.6
2016,Sep,165537,153142,12395,7.5
2016,Oct,165049,153555,11494,7.0
2016,Nov,166317,154663,11654,7.0
2016,Dec,166986,154786,12200,7.3
2017,Jan,167320,153679,13641,8.2
2017,Feb,167257,154189,13068,7.8
2017,Mar,167725,155763,11962,7.1
2017,Apr,167500,156065,11435,6.8
2017,May,166001,155073,10928,6.6
2017,Jun,167440,154911,12529,7.5
2017,Jul,166658,154529,12129,7.3
2017,Aug,166073,153906,12167,7.3
2017,Sep,165004,154230,10774,6.5
2017,Oct,163807,154226,9581,5.8
2017,Nov,164798,154770,10028,6.1
2017,Dec,165344,155172,10172,6.2
2018,Jan,166755,155278,11477,6.9
2018,Feb,167036,155921,11115,6.7
2018,Mar,167170,156598,10572,6.3
2018,Apr,166782,156623,10159,6.1
2018,May,165240,155676,9564,5.8
2018,Jun,167121,155560,11561,6.9
2018,Jul,166943,155918,11025,6.6
2018,Aug,164363,154196,10167,6.2
2018,Sep,163767,154510,9257,5.7
2018,Oct,164188,155582,8606,5.2
2018,Nov,165237,156537,8700,5.3
2018,Dec,166131,156602,9529,5.7
2019,Jan,166934,156108,10826,6.5
2019,Feb,166709,156891,9818,5.9
2019,Mar,166421,157436,8985,5.4
2019,Apr,165479,157712,7767,4.7
2019,May,165540,157496,8044,4.9
2019,Jun,167285,157622,9663,5.8
2019,Jul,167732,157789,9943,5.9
2019,Aug,167322,157828,9494,5.7
2019,Sep,167073,158398,8675,5.2
2019,Oct,166663,158120,8543,5.1
2019,Nov,167329,158361,8968,5.4
2019,Dec,167835,158333,9502,5.7
2020,Jan,169038,158331,10707,6.3
2020,Feb,169117,159293,9824,5.8
2020,Mar,168821,155303,13518,8.0
2020,Apr,155287,128710,26577,17.1
