Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480630000000003,LAUCN480630000000004,LAUCN480630000000005,LAUCN480630000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Camp County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,5641,5121,520,9.2
2010,Feb,5676,5150,526,9.3
2010,Mar,5735,5198,537,9.4
2010,Apr,5749,5260,489,8.5
2010,May,5721,5221,500,8.7
2010,Jun,5775,5236,539,9.3
2010,Jul,5673,5136,537,9.5
2010,Aug,5676,5149,527,9.3
2010,Sep,5726,5218,508,8.9
2010,Oct,5672,5173,499,8.8
2010,Nov,5691,5172,519,9.1
2010,Dec,5631,5142,489,8.7
2011,Jan,5639,5108,531,9.4
2011,Feb,5664,5155,509,9.0
2011,Mar,5685,5191,494,8.7
2011,Apr,5650,5160,490,8.7
2011,May,5700,5202,498,8.7
2011,Jun,5752,5191,561,9.8
2011,Jul,5726,5162,564,9.8
2011,Aug,5695,5172,523,9.2
2011,Sep,5736,5219,517,9.0
2011,Oct,5655,5147,508,9.0
2011,Nov,5619,5159,460,8.2
2011,Dec,5626,5182,444,7.9
2012,Jan,5493,5018,475,8.6
2012,Feb,5514,5052,462,8.4
2012,Mar,5524,5081,443,8.0
2012,Apr,5529,5117,412,7.5
2012,May,5568,5136,432,7.8
2012,Jun,5600,5118,482,8.6
2012,Jul,5538,5059,479,8.6
2012,Aug,5422,4975,447,8.2
2012,Sep,5454,5025,429,7.9
2012,Oct,5474,5054,420,7.7
2012,Nov,5461,5064,397,7.3
2012,Dec,5481,5072,409,7.5
2013,Jan,5551,5115,436,7.9
2013,Feb,5515,5114,401,7.3
2013,Mar,5497,5097,400,7.3
2013,Apr,5485,5116,369,6.7
2013,May,5527,5119,408,7.4
2013,Jun,5607,5152,455,8.1
2013,Jul,5569,5119,450,8.1
2013,Aug,5513,5080,433,7.9
2013,Sep,5563,5157,406,7.3
2013,Oct,5461,5071,390,7.1
2013,Nov,5454,5090,364,6.7
2013,Dec,5451,5106,345,6.3
2014,Jan,5338,4981,357,6.7
2014,Feb,5299,4952,347,6.5
2014,Mar,5258,4917,341,6.5
2014,Apr,5189,4909,280,5.4
2014,May,5211,4888,323,6.2
2014,Jun,5219,4886,333,6.4
2014,Jul,5240,4883,357,6.8
2014,Aug,5240,4895,345,6.6
2014,Sep,5255,4949,306,5.8
2014,Oct,5173,4887,286,5.5
2014,Nov,5157,4876,281,5.4
2014,Dec,5113,4845,268,5.2
2015,Jan,5103,4803,300,5.9
2015,Feb,5170,4894,276,5.3
2015,Mar,5184,4915,269,5.2
2015,Apr,5070,4790,280,5.5
2015,May,5097,4788,309,6.1
2015,Jun,5091,4733,358,7.0
2015,Jul,5062,4699,363,7.2
2015,Aug,5047,4715,332,6.6
2015,Sep,5048,4731,317,6.3
2015,Oct,5100,4776,324,6.4
2015,Nov,5088,4773,315,6.2
2015,Dec,5061,4760,301,5.9
2016,Jan,5023,4709,314,6.3
2016,Feb,5102,4790,312,6.1
2016,Mar,5135,4834,301,5.9
2016,Apr,5079,4769,310,6.1
2016,May,5085,4756,329,6.5
2016,Jun,5126,4729,397,7.7
2016,Jul,5040,4639,401,8.0
2016,Aug,5062,4669,393,7.8
2016,Sep,5064,4684,380,7.5
2016,Oct,4993,4645,348,7.0
2016,Nov,5008,4685,323,6.4
2016,Dec,4995,4661,334,6.7
2017,Jan,5041,4679,362,7.2
2017,Feb,5073,4732,341,6.7
2017,Mar,5127,4813,314,6.1
2017,Apr,5057,4760,297,5.9
2017,May,5032,4741,291,5.8
2017,Jun,5052,4753,299,5.9
2017,Jul,5041,4749,292,5.8
2017,Aug,5039,4763,276,5.5
2017,Sep,5036,4792,244,4.8
2017,Oct,4935,4714,221,4.5
2017,Nov,4931,4699,232,4.7
2017,Dec,4960,4723,237,4.8
2018,Jan,5017,4751,266,5.3
2018,Feb,5065,4797,268,5.3
2018,Mar,5092,4840,252,4.9
2018,Apr,5034,4815,219,4.4
2018,May,5058,4843,215,4.3
2018,Jun,5006,4745,261,5.2
2018,Jul,4994,4736,258,5.2
2018,Aug,4928,4682,246,5.0
2018,Sep,4964,4723,241,4.9
2018,Oct,4954,4717,237,4.8
2018,Nov,4954,4727,227,4.6
2018,Dec,4928,4703,225,4.6
2019,Jan,4913,4675,238,4.8
2019,Feb,4922,4703,219,4.4
2019,Mar,4938,4727,211,4.3
2019,Apr,4928,4754,174,3.5
2019,May,4949,4768,181,3.7
2019,Jun,4995,4782,213,4.3
2019,Jul,5011,4773,238,4.7
2019,Aug,5015,4791,224,4.5
2019,Sep,5026,4822,204,4.1
2019,Oct,5004,4811,193,3.9
2019,Nov,5003,4794,209,4.2
2019,Dec,4992,4794,198,4.0
2020,Jan,5001,4774,227,4.5
2020,Feb,5029,4807,222,4.4
2020,Mar,4996,4697,299,6.0
2020,Apr,4437,3975,462,10.4
