Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480650000000003,LAUCN480650000000004,LAUCN480650000000005,LAUCN480650000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Carson County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,3295,3086,209,6.3
2010,Feb,3267,3077,190,5.8
2010,Mar,3306,3117,189,5.7
2010,Apr,3370,3178,192,5.7
2010,May,3370,3197,173,5.1
2010,Jun,3388,3196,192,5.7
2010,Jul,3386,3196,190,5.6
2010,Aug,3352,3171,181,5.4
2010,Sep,3374,3204,170,5.0
2010,Oct,3374,3207,167,4.9
2010,Nov,3375,3204,171,5.1
2010,Dec,3373,3213,160,4.7
2011,Jan,3355,3181,174,5.2
2011,Feb,3338,3165,173,5.2
2011,Mar,3384,3219,165,4.9
2011,Apr,3412,3248,164,4.8
2011,May,3414,3247,167,4.9
2011,Jun,3461,3266,195,5.6
2011,Jul,3463,3273,190,5.5
2011,Aug,3475,3295,180,5.2
2011,Sep,3473,3293,180,5.2
2011,Oct,3429,3264,165,4.8
2011,Nov,3448,3296,152,4.4
2011,Dec,3443,3300,143,4.2
2012,Jan,3257,3102,155,4.8
2012,Feb,3250,3094,156,4.8
2012,Mar,3261,3115,146,4.5
2012,Apr,3295,3158,137,4.2
2012,May,3295,3149,146,4.4
2012,Jun,3330,3166,164,4.9
2012,Jul,3339,3167,172,5.2
2012,Aug,3272,3113,159,4.9
2012,Sep,3309,3166,143,4.3
2012,Oct,3312,3174,138,4.2
2012,Nov,3302,3163,139,4.2
2012,Dec,3270,3128,142,4.3
2013,Jan,3137,2985,152,4.8
2013,Feb,3130,2987,143,4.6
2013,Mar,3112,2971,141,4.5
2013,Apr,3188,3055,133,4.2
2013,May,3218,3074,144,4.5
2013,Jun,3233,3074,159,4.9
2013,Jul,3234,3079,155,4.8
2013,Aug,3169,3025,144,4.5
2013,Sep,3198,3057,141,4.4
2013,Oct,3196,3060,136,4.3
2013,Nov,3148,3023,125,4.0
2013,Dec,3173,3051,122,3.8
2014,Jan,3126,3003,123,3.9
2014,Feb,3176,3054,122,3.8
2014,Mar,3170,3053,117,3.7
2014,Apr,3192,3095,97,3.0
2014,May,3206,3101,105,3.3
2014,Jun,3201,3085,116,3.6
2014,Jul,3176,3061,115,3.6
2014,Aug,3116,3011,105,3.4
2014,Sep,3134,3036,98,3.1
2014,Oct,3152,3057,95,3.0
2014,Nov,3117,3026,91,2.9
2014,Dec,3082,3000,82,2.7
2015,Jan,3037,2937,100,3.3
2015,Feb,3083,2990,93,3.0
2015,Mar,3105,3015,90,2.9
2015,Apr,3092,3004,88,2.8
2015,May,3126,3024,102,3.3
2015,Jun,3104,2995,109,3.5
2015,Jul,3066,2957,109,3.6
2015,Aug,3020,2918,102,3.4
2015,Sep,3047,2948,99,3.2
2015,Oct,3056,2961,95,3.1
2015,Nov,3035,2938,97,3.2
2015,Dec,3048,2958,90,3.0
2016,Jan,3034,2933,101,3.3
2016,Feb,3127,3028,99,3.2
2016,Mar,3159,3055,104,3.3
2016,Apr,3160,3064,96,3.0
2016,May,3184,3086,98,3.1
2016,Jun,3131,3021,110,3.5
2016,Jul,3083,2963,120,3.9
2016,Aug,3079,2975,104,3.4
2016,Sep,3055,2956,99,3.2
2016,Oct,3052,2956,96,3.1
2016,Nov,3044,2955,89,2.9
2016,Dec,3041,2947,94,3.1
2017,Jan,2980,2875,105,3.5
2017,Feb,3040,2928,112,3.7
2017,Mar,3097,2989,108,3.5
2017,Apr,3099,2998,101,3.3
2017,May,3093,2987,106,3.4
2017,Jun,3052,2947,105,3.4
2017,Jul,2981,2881,100,3.4
2017,Aug,3001,2901,100,3.3
2017,Sep,2993,2906,87,2.9
2017,Oct,3020,2941,79,2.6
2017,Nov,3003,2916,87,2.9
2017,Dec,3000,2918,82,2.7
2018,Jan,2950,2859,91,3.1
2018,Feb,3011,2916,95,3.2
2018,Mar,3056,2968,88,2.9
2018,Apr,3017,2934,83,2.8
2018,May,3051,2973,78,2.6
2018,Jun,3011,2916,95,3.2
2018,Jul,2983,2896,87,2.9
2018,Aug,2995,2909,86,2.9
2018,Sep,2988,2909,79,2.6
2018,Oct,2970,2895,75,2.5
2018,Nov,2971,2897,74,2.5
2018,Dec,2940,2867,73,2.5
2019,Jan,2935,2845,90,3.1
2019,Feb,2998,2905,93,3.1
2019,Mar,3024,2938,86,2.8
2019,Apr,3008,2939,69,2.3
2019,May,3030,2960,70,2.3
2019,Jun,3004,2922,82,2.7
2019,Jul,3005,2922,83,2.8
2019,Aug,3035,2962,73,2.4
2019,Sep,3011,2942,69,2.3
2019,Oct,3046,2974,72,2.4
2019,Nov,3013,2938,75,2.5
2019,Dec,3017,2949,68,2.3
2020,Jan,3015,2927,88,2.9
2020,Feb,3061,2972,89,2.9
2020,Mar,3015,2898,117,3.9
2020,Apr,2658,2486,172,6.5
