Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480670000000003,LAUCN480670000000004,LAUCN480670000000005,LAUCN480670000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Cass County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,13224,11547,1677,12.7
2010,Feb,13161,11567,1594,12.1
2010,Mar,13366,11772,1594,11.9
2010,Apr,13418,11929,1489,11.1
2010,May,13292,11834,1458,11.0
2010,Jun,13341,11811,1530,11.5
2010,Jul,13350,11850,1500,11.2
2010,Aug,13312,11866,1446,10.9
2010,Sep,13340,11940,1400,10.5
2010,Oct,13421,12031,1390,10.4
2010,Nov,13454,12015,1439,10.7
2010,Dec,13361,11962,1399,10.5
2011,Jan,13351,11840,1511,11.3
2011,Feb,13290,11822,1468,11.0
2011,Mar,13354,11935,1419,10.6
2011,Apr,13368,11997,1371,10.3
2011,May,13392,12001,1391,10.4
2011,Jun,13483,11971,1512,11.2
2011,Jul,13359,11852,1507,11.3
2011,Aug,13254,11799,1455,11.0
2011,Sep,13344,11903,1441,10.8
2011,Oct,13185,11828,1357,10.3
2011,Nov,13126,11817,1309,10.0
2011,Dec,13151,11892,1259,9.6
2012,Jan,12926,11657,1269,9.8
2012,Feb,12903,11657,1246,9.7
2012,Mar,12876,11683,1193,9.3
2012,Apr,12903,11794,1109,8.6
2012,May,12911,11755,1156,9.0
2012,Jun,13013,11764,1249,9.6
2012,Jul,12868,11588,1280,9.9
2012,Aug,12684,11477,1207,9.5
2012,Sep,12772,11635,1137,8.9
2012,Oct,12787,11690,1097,8.6
2012,Nov,12662,11584,1078,8.5
2012,Dec,12621,11516,1105,8.8
2013,Jan,12696,11455,1241,9.8
2013,Feb,12592,11407,1185,9.4
2013,Mar,12602,11440,1162,9.2
2013,Apr,12543,11442,1101,8.8
2013,May,12689,11546,1143,9.0
2013,Jun,12720,11473,1247,9.8
2013,Jul,12580,11364,1216,9.7
2013,Aug,12536,11350,1186,9.5
2013,Sep,12540,11377,1163,9.3
2013,Oct,12659,11510,1149,9.1
2013,Nov,12520,11437,1083,8.7
2013,Dec,12477,11446,1031,8.3
2014,Jan,12471,11418,1053,8.4
2014,Feb,12479,11435,1044,8.4
2014,Mar,12453,11446,1007,8.1
2014,Apr,12399,11542,857,6.9
2014,May,12519,11549,970,7.7
2014,Jun,12454,11466,988,7.9
2014,Jul,12247,11249,998,8.1
2014,Aug,12152,11170,982,8.1
2014,Sep,12204,11298,906,7.4
2014,Oct,12121,11293,828,6.8
2014,Nov,12096,11247,849,7.0
2014,Dec,11974,11193,781,6.5
2015,Jan,12053,11188,865,7.2
2015,Feb,11993,11197,796,6.6
2015,Mar,12081,11301,780,6.5
2015,Apr,12148,11348,800,6.6
2015,May,12254,11421,833,6.8
2015,Jun,12243,11369,874,7.1
2015,Jul,12302,11375,927,7.5
2015,Aug,12158,11313,845,7.0
2015,Sep,12154,11325,829,6.8
2015,Oct,12187,11392,795,6.5
2015,Nov,12195,11405,790,6.5
2015,Dec,12256,11496,760,6.2
2016,Jan,12040,11270,770,6.4
2016,Feb,12086,11328,758,6.3
2016,Mar,12446,11662,784,6.3
2016,Apr,12291,11425,866,7.0
2016,May,12258,11396,862,7.0
2016,Jun,12349,11372,977,7.9
2016,Jul,12380,11364,1016,8.2
2016,Aug,12372,11381,991,8.0
2016,Sep,12301,11338,963,7.8
2016,Oct,12238,11373,865,7.1
2016,Nov,12189,11332,857,7.0
2016,Dec,12215,11361,854,7.0
2017,Jan,12294,11358,936,7.6
2017,Feb,12326,11437,889,7.2
2017,Mar,12484,11668,816,6.5
2017,Apr,12373,11614,759,6.1
2017,May,12218,11505,713,5.8
2017,Jun,12241,11520,721,5.9
2017,Jul,12050,11355,695,5.8
2017,Aug,12048,11346,702,5.8
2017,Sep,12080,11463,617,5.1
2017,Oct,12039,11449,590,4.9
2017,Nov,12072,11439,633,5.2
2017,Dec,12085,11451,634,5.2
2018,Jan,12073,11381,692,5.7
2018,Feb,12189,11526,663,5.4
2018,Mar,12361,11733,628,5.1
2018,Apr,12252,11673,579,4.7
2018,May,12392,11797,595,4.8
2018,Jun,12473,11804,669,5.4
2018,Jul,12312,11669,643,5.2
2018,Aug,12323,11696,627,5.1
2018,Sep,12334,11737,597,4.8
2018,Oct,12342,11765,577,4.7
2018,Nov,12261,11709,552,4.5
2018,Dec,12234,11666,568,4.6
2019,Jan,12330,11709,621,5.0
2019,Feb,12320,11742,578,4.7
2019,Mar,12627,12083,544,4.3
2019,Apr,12409,11949,460,3.7
2019,May,12385,11901,484,3.9
2019,Jun,12425,11864,561,4.5
2019,Jul,12464,11885,579,4.6
2019,Aug,12472,11910,562,4.5
2019,Sep,12435,11910,525,4.2
2019,Oct,12473,11975,498,4.0
2019,Nov,12414,11900,514,4.1
2019,Dec,12401,11908,493,4.0
2020,Jan,12439,11863,576,4.6
2020,Feb,12461,11909,552,4.4
2020,Mar,12528,11733,795,6.3
2020,Apr,11223,9862,1361,12.1
