Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480690000000003,LAUCN480690000000004,LAUCN480690000000005,LAUCN480690000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Castro County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,3947,3717,230,5.8
2010,Feb,3908,3683,225,5.8
2010,Mar,4055,3829,226,5.6
2010,Apr,4212,3992,220,5.2
2010,May,4133,3916,217,5.3
2010,Jun,4336,4095,241,5.6
2010,Jul,4250,4015,235,5.5
2010,Aug,4159,3936,223,5.4
2010,Sep,4214,3996,218,5.2
2010,Oct,4208,3999,209,5.0
2010,Nov,4121,3899,222,5.4
2010,Dec,4111,3907,204,5.0
2011,Jan,4006,3781,225,5.6
2011,Feb,3928,3712,216,5.5
2011,Mar,4026,3826,200,5.0
2011,Apr,4082,3889,193,4.7
2011,May,4046,3843,203,5.0
2011,Jun,4184,3959,225,5.4
2011,Jul,4126,3900,226,5.5
2011,Aug,4211,3995,216,5.1
2011,Sep,4183,3974,209,5.0
2011,Oct,4066,3876,190,4.7
2011,Nov,4099,3921,178,4.3
2011,Dec,4141,3961,180,4.3
2012,Jan,3994,3800,194,4.9
2012,Feb,3919,3732,187,4.8
2012,Mar,3967,3789,178,4.5
2012,Apr,4044,3873,171,4.2
2012,May,4061,3883,178,4.4
2012,Jun,4201,3997,204,4.9
2012,Jul,4129,3924,205,5.0
2012,Aug,4078,3890,188,4.6
2012,Sep,4133,3966,167,4.0
2012,Oct,4126,3967,159,3.9
2012,Nov,4063,3912,151,3.7
2012,Dec,4004,3850,154,3.8
2013,Jan,3698,3516,182,4.9
2013,Feb,3706,3530,176,4.7
2013,Mar,3659,3495,164,4.5
2013,Apr,3772,3610,162,4.3
2013,May,3856,3672,184,4.8
2013,Jun,3973,3770,203,5.1
2013,Jul,3901,3704,197,5.0
2013,Aug,3744,3556,188,5.0
2013,Sep,3841,3661,180,4.7
2013,Oct,3838,3660,178,4.6
2013,Nov,3680,3514,166,4.5
2013,Dec,3750,3594,156,4.2
2014,Jan,3708,3557,151,4.1
2014,Feb,3809,3651,158,4.1
2014,Mar,3834,3677,157,4.1
2014,Apr,3861,3716,145,3.8
2014,May,3915,3758,157,4.0
2014,Jun,3929,3763,166,4.2
2014,Jul,3865,3687,178,4.6
2014,Aug,3744,3579,165,4.4
2014,Sep,3822,3671,151,4.0
2014,Oct,3810,3674,136,3.6
2014,Nov,3688,3552,136,3.7
2014,Dec,3627,3509,118,3.3
2015,Jan,3533,3396,137,3.9
2015,Feb,3650,3516,134,3.7
2015,Mar,3740,3612,128,3.4
2015,Apr,3703,3588,115,3.1
2015,May,3789,3662,127,3.4
2015,Jun,3779,3643,136,3.6
2015,Jul,3627,3493,134,3.7
2015,Aug,3533,3416,117,3.3
2015,Sep,3575,3457,118,3.3
2015,Oct,3573,3458,115,3.2
2015,Nov,3444,3336,108,3.1
2015,Dec,3453,3354,99,2.9
2016,Jan,3323,3218,105,3.2
2016,Feb,3532,3427,105,3.0
2016,Mar,3595,3494,101,2.8
2016,Apr,3623,3536,87,2.4
2016,May,3704,3608,96,2.6
2016,Jun,3629,3509,120,3.3
2016,Jul,3427,3307,120,3.5
2016,Aug,3489,3373,116,3.3
2016,Sep,3497,3389,108,3.1
2016,Oct,3422,3312,110,3.2
2016,Nov,3351,3244,107,3.2
2016,Dec,3335,3222,113,3.4
2017,Jan,3300,3171,129,3.9
2017,Feb,3362,3233,129,3.8
2017,Mar,3560,3440,120,3.4
2017,Apr,3514,3409,105,3.0
2017,May,3533,3423,110,3.1
2017,Jun,3458,3335,123,3.6
2017,Jul,3234,3112,122,3.8
2017,Aug,3331,3215,116,3.5
2017,Sep,3314,3210,104,3.1
2017,Oct,3449,3353,96,2.8
2017,Nov,3334,3238,96,2.9
2017,Dec,3339,3243,96,2.9
2018,Jan,3335,3238,97,2.9
2018,Feb,3466,3360,106,3.1
2018,Mar,3618,3515,103,2.8
2018,Apr,3558,3466,92,2.6
2018,May,3654,3564,90,2.5
2018,Jun,3623,3514,109,3.0
2018,Jul,3391,3284,107,3.2
2018,Aug,3423,3321,102,3.0
2018,Sep,3440,3348,92,2.7
2018,Oct,3404,3311,93,2.7
2018,Nov,3371,3280,91,2.7
2018,Dec,3282,3185,97,3.0
2019,Jan,3276,3165,111,3.4
2019,Feb,3406,3300,106,3.1
2019,Mar,3543,3440,103,2.9
2019,Apr,3448,3356,92,2.7
2019,May,3494,3406,88,2.5
2019,Jun,3484,3375,109,3.1
2019,Jul,3372,3267,105,3.1
2019,Aug,3501,3402,99,2.8
2019,Sep,3438,3350,88,2.6
2019,Oct,3504,3419,85,2.4
2019,Nov,3351,3268,83,2.5
2019,Dec,3370,3293,77,2.3
2020,Jan,3366,3272,94,2.8
2020,Feb,3431,3335,96,2.8
2020,Mar,3434,3299,135,3.9
2020,Apr,2916,2798,118,4.0
