Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480710000000003,LAUCN480710000000004,LAUCN480710000000005,LAUCN480710000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Chambers County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,16318,14670,1648,10.1
2010,Feb,16349,14759,1590,9.7
2010,Mar,16476,14824,1652,10.0
2010,Apr,16617,15040,1577,9.5
2010,May,16623,15018,1605,9.7
2010,Jun,16667,14955,1712,10.3
2010,Jul,16753,15050,1703,10.2
2010,Aug,16695,15067,1628,9.8
2010,Sep,16691,15135,1556,9.3
2010,Oct,16623,15130,1493,9.0
2010,Nov,16738,15149,1589,9.5
2010,Dec,16723,15186,1537,9.2
2011,Jan,16589,14943,1646,9.9
2011,Feb,16575,15034,1541,9.3
2011,Mar,16619,15124,1495,9.0
2011,Apr,16682,15196,1486,8.9
2011,May,16744,15206,1538,9.2
2011,Jun,16915,15175,1740,10.3
2011,Jul,16910,15210,1700,10.1
2011,Aug,16833,15213,1620,9.6
2011,Sep,16944,15347,1597,9.4
2011,Oct,16932,15437,1495,8.8
2011,Nov,16911,15486,1425,8.4
2011,Dec,16960,15529,1431,8.4
2012,Jan,16891,15409,1482,8.8
2012,Feb,16923,15539,1384,8.2
2012,Mar,16961,15629,1332,7.9
2012,Apr,16970,15665,1305,7.7
2012,May,17128,15731,1397,8.2
2012,Jun,17268,15719,1549,9.0
2012,Jul,17320,15778,1542,8.9
2012,Aug,17190,15737,1453,8.5
2012,Sep,17223,15929,1294,7.5
2012,Oct,17301,16036,1265,7.3
2012,Nov,17269,16020,1249,7.2
2012,Dec,17356,16064,1292,7.4
2013,Jan,17380,15934,1446,8.3
2013,Feb,17360,16056,1304,7.5
2013,Mar,17369,16104,1265,7.3
2013,Apr,17402,16182,1220,7.0
2013,May,17467,16216,1251,7.2
2013,Jun,17569,16174,1395,7.9
2013,Jul,17598,16238,1360,7.7
2013,Aug,17516,16194,1322,7.5
2013,Sep,17550,16277,1273,7.3
2013,Oct,17489,16234,1255,7.2
2013,Nov,17574,16385,1189,6.8
2013,Dec,17547,16433,1114,6.3
2014,Jan,17733,16572,1161,6.5
2014,Feb,17779,16660,1119,6.3
2014,Mar,17838,16747,1091,6.1
2014,Apr,17740,16801,939,5.3
2014,May,17818,16805,1013,5.7
2014,Jun,17894,16785,1109,6.2
2014,Jul,18012,16852,1160,6.4
2014,Aug,17916,16812,1104,6.2
2014,Sep,17889,16900,989,5.5
2014,Oct,17912,17008,904,5.0
2014,Nov,17926,17027,899,5.0
2014,Dec,17898,17044,854,4.8
2015,Jan,17825,16859,966,5.4
2015,Feb,17821,16914,907,5.1
2015,Mar,17771,16884,887,5.0
2015,Apr,17765,16921,844,4.8
2015,May,17783,16880,903,5.1
2015,Jun,17794,16813,981,5.5
2015,Jul,17862,16824,1038,5.8
2015,Aug,17804,16787,1017,5.7
2015,Sep,17760,16784,976,5.5
2015,Oct,17777,16844,933,5.2
2015,Nov,17856,16890,966,5.4
2015,Dec,17880,16927,953,5.3
2016,Jan,18082,17070,1012,5.6
2016,Feb,18139,17160,979,5.4
2016,Mar,18143,17146,997,5.5
2016,Apr,18069,17131,938,5.2
2016,May,18055,17079,976,5.4
2016,Jun,18220,17038,1182,6.5
2016,Jul,18322,17097,1225,6.7
2016,Aug,18231,17008,1223,6.7
2016,Sep,18286,17083,1203,6.6
2016,Oct,18233,17108,1125,6.2
2016,Nov,18293,17150,1143,6.2
2016,Dec,18378,17107,1271,6.9
2017,Jan,18838,17418,1420,7.5
2017,Feb,18918,17562,1356,7.2
2017,Mar,18893,17636,1257,6.7
2017,Apr,18893,17706,1187,6.3
2017,May,18808,17657,1151,6.1
2017,Jun,18906,17659,1247,6.6
2017,Jul,18978,17731,1247,6.6
2017,Aug,18921,17641,1280,6.8
2017,Sep,19028,17786,1242,6.5
2017,Oct,18864,17783,1081,5.7
2017,Nov,18994,17873,1121,5.9
2017,Dec,19020,17858,1162,6.1
2018,Jan,19193,17935,1258,6.6
2018,Feb,19399,18198,1201,6.2
2018,Mar,19258,18176,1082,5.6
2018,Apr,19221,18212,1009,5.2
2018,May,19166,18199,967,5.0
2018,Jun,19313,18198,1115,5.8
2018,Jul,19344,18268,1076,5.6
2018,Aug,19136,18103,1033,5.4
2018,Sep,19231,18262,969,5.0
2018,Oct,19245,18390,855,4.4
2018,Nov,19318,18457,861,4.5
2018,Dec,19405,18460,945,4.9
2019,Jan,19431,18380,1051,5.4
2019,Feb,19502,18573,929,4.8
2019,Mar,19375,18536,839,4.3
2019,Apr,19271,18536,735,3.8
2019,May,19305,18521,784,4.1
2019,Jun,19482,18528,954,4.9
2019,Jul,19572,18575,997,5.1
2019,Aug,19440,18483,957,4.9
2019,Sep,19510,18685,825,4.2
2019,Oct,19577,18766,811,4.1
2019,Nov,19696,18845,851,4.3
2019,Dec,19708,18819,889,4.5
2020,Jan,19722,18724,998,5.1
2020,Feb,19867,18947,920,4.6
2020,Mar,19619,18297,1322,6.7
2020,Apr,18256,15495,2761,15.1
