Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480730000000003,LAUCN480730000000004,LAUCN480730000000005,LAUCN480730000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Cherokee County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,21384,19274,2110,9.9
2010,Feb,21357,19374,1983,9.3
2010,Mar,21545,19581,1964,9.1
2010,Apr,21872,20022,1850,8.5
2010,May,21795,19916,1879,8.6
2010,Jun,22055,20078,1977,9.0
2010,Jul,22057,20069,1988,9.0
2010,Aug,21943,20025,1918,8.7
2010,Sep,22024,20165,1859,8.4
2010,Oct,22173,20308,1865,8.4
2010,Nov,22251,20308,1943,8.7
2010,Dec,22259,20410,1849,8.3
2011,Jan,21732,19793,1939,8.9
2011,Feb,21592,19794,1798,8.3
2011,Mar,21666,19960,1706,7.9
2011,Apr,22045,20394,1651,7.5
2011,May,22095,20365,1730,7.8
2011,Jun,22409,20472,1937,8.6
2011,Jul,22329,20406,1923,8.6
2011,Aug,22414,20531,1883,8.4
2011,Sep,22429,20557,1872,8.3
2011,Oct,22466,20659,1807,8.0
2011,Nov,22667,20916,1751,7.7
2011,Dec,22660,20999,1661,7.3
2012,Jan,22115,20438,1677,7.6
2012,Feb,21961,20342,1619,7.4
2012,Mar,21975,20426,1549,7.0
2012,Apr,21905,20448,1457,6.7
2012,May,21974,20417,1557,7.1
2012,Jun,22323,20561,1762,7.9
2012,Jul,22109,20356,1753,7.9
2012,Aug,21809,20142,1667,7.6
2012,Sep,21938,20410,1528,7.0
2012,Oct,21930,20417,1513,6.9
2012,Nov,21868,20375,1493,6.8
2012,Dec,21836,20322,1514,6.9
2013,Jan,21632,19967,1665,7.7
2013,Feb,21513,19971,1542,7.2
2013,Mar,21504,20043,1461,6.8
2013,Apr,21652,20279,1373,6.3
2013,May,21754,20305,1449,6.7
2013,Jun,21891,20266,1625,7.4
2013,Jul,21644,20051,1593,7.4
2013,Aug,21352,19799,1553,7.3
2013,Sep,21539,20039,1500,7.0
2013,Oct,21414,19959,1455,6.8
2013,Nov,21279,19894,1385,6.5
2013,Dec,21243,19923,1320,6.2
2014,Jan,21364,19997,1367,6.4
2014,Feb,21367,20020,1347,6.3
2014,Mar,21374,20068,1306,6.1
2014,Apr,21298,20155,1143,5.4
2014,May,21337,20124,1213,5.7
2014,Jun,21436,20149,1287,6.0
2014,Jul,21283,19932,1351,6.3
2014,Aug,21119,19835,1284,6.1
2014,Sep,21116,19904,1212,5.7
2014,Oct,21089,19968,1121,5.3
2014,Nov,20950,19828,1122,5.4
2014,Dec,20739,19743,996,4.8
2015,Jan,20760,19636,1124,5.4
2015,Feb,20860,19781,1079,5.2
2015,Mar,20908,19863,1045,5.0
2015,Apr,20989,19967,1022,4.9
2015,May,21044,19932,1112,5.3
2015,Jun,21018,19848,1170,5.6
2015,Jul,20896,19743,1153,5.5
2015,Aug,20831,19761,1070,5.1
2015,Sep,20853,19784,1069,5.1
2015,Oct,20819,19787,1032,5.0
2015,Nov,20877,19845,1032,4.9
2015,Dec,20951,19937,1014,4.8
2016,Jan,20832,19760,1072,5.1
2016,Feb,21200,20167,1033,4.9
2016,Mar,21317,20252,1065,5.0
2016,Apr,21420,20401,1019,4.8
2016,May,21442,20443,999,4.7
2016,Jun,21396,20268,1128,5.3
2016,Jul,21282,20101,1181,5.5
2016,Aug,21219,20082,1137,5.4
2016,Sep,21133,20010,1123,5.3
2016,Oct,21005,19950,1055,5.0
2016,Nov,21035,20012,1023,4.9
2016,Dec,20987,19928,1059,5.0
2017,Jan,20990,19843,1147,5.5
2017,Feb,21089,19997,1092,5.2
2017,Mar,21254,20268,986,4.6
2017,Apr,20846,19952,894,4.3
2017,May,20774,19882,892,4.3
2017,Jun,20670,19703,967,4.7
2017,Jul,20490,19521,969,4.7
2017,Aug,20633,19659,974,4.7
2017,Sep,20472,19604,868,4.2
2017,Oct,20619,19810,809,3.9
2017,Nov,20709,19855,854,4.1
2017,Dec,20803,19952,851,4.1
2018,Jan,20779,19825,954,4.6
2018,Feb,20988,20047,941,4.5
2018,Mar,21110,20230,880,4.2
2018,Apr,20939,20135,804,3.8
2018,May,20976,20174,802,3.8
2018,Jun,20952,20026,926,4.4
2018,Jul,20797,19897,900,4.3
2018,Aug,20764,19903,861,4.1
2018,Sep,20758,19952,806,3.9
2018,Oct,20736,19959,777,3.7
2018,Nov,20983,20213,770,3.7
2018,Dec,20996,20163,833,4.0
2019,Jan,20892,19971,921,4.4
2019,Feb,21021,20202,819,3.9
2019,Mar,21094,20287,807,3.8
2019,Apr,20983,20310,673,3.2
2019,May,20878,20205,673,3.2
2019,Jun,20866,20057,809,3.9
2019,Jul,20938,20103,835,4.0
2019,Aug,20961,20115,846,4.0
2019,Sep,20806,20036,770,3.7
2019,Oct,20931,20156,775,3.7
2019,Nov,20929,20121,808,3.9
2019,Dec,20927,20152,775,3.7
2020,Jan,20910,20006,904,4.3
2020,Feb,21016,20153,863,4.1
2020,Mar,20819,19632,1187,5.7
2020,Apr,19102,16653,2449,12.8
