Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480750000000003,LAUCN480750000000004,LAUCN480750000000005,LAUCN480750000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Childress County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,3084,2904,180,5.8
2010,Feb,3083,2906,177,5.7
2010,Mar,3096,2921,175,5.7
2010,Apr,3188,3010,178,5.6
2010,May,3186,3023,163,5.1
2010,Jun,3265,3072,193,5.9
2010,Jul,3210,3016,194,6.0
2010,Aug,3184,2999,185,5.8
2010,Sep,3178,2995,183,5.8
2010,Oct,3157,2980,177,5.6
2010,Nov,3136,2963,173,5.5
2010,Dec,3125,2962,163,5.2
2011,Jan,3077,2901,176,5.7
2011,Feb,3045,2875,170,5.6
2011,Mar,3048,2886,162,5.3
2011,Apr,3100,2942,158,5.1
2011,May,3098,2938,160,5.2
2011,Jun,3143,2966,177,5.6
2011,Jul,3143,2969,174,5.5
2011,Aug,3105,2942,163,5.2
2011,Sep,3073,2915,158,5.1
2011,Oct,3039,2897,142,4.7
2011,Nov,3064,2930,134,4.4
2011,Dec,3073,2937,136,4.4
2012,Jan,3001,2858,143,4.8
2012,Feb,2971,2836,135,4.5
2012,Mar,2993,2861,132,4.4
2012,Apr,3016,2887,129,4.3
2012,May,3000,2864,136,4.5
2012,Jun,3027,2883,144,4.8
2012,Jul,2973,2831,142,4.8
2012,Aug,2950,2817,133,4.5
2012,Sep,2919,2798,121,4.1
2012,Oct,2945,2824,121,4.1
2012,Nov,2925,2806,119,4.1
2012,Dec,2903,2788,115,4.0
2013,Jan,2914,2776,138,4.7
2013,Feb,2890,2762,128,4.4
2013,Mar,2871,2744,127,4.4
2013,Apr,2944,2823,121,4.1
2013,May,2963,2832,131,4.4
2013,Jun,3014,2871,143,4.7
2013,Jul,3012,2876,136,4.5
2013,Aug,2974,2847,127,4.3
2013,Sep,2956,2833,123,4.2
2013,Oct,2898,2784,114,3.9
2013,Nov,2885,2777,108,3.7
2013,Dec,2911,2804,107,3.7
2014,Jan,2849,2743,106,3.7
2014,Feb,2854,2746,108,3.8
2014,Mar,2870,2766,104,3.6
2014,Apr,2895,2804,91,3.1
2014,May,2892,2784,108,3.7
2014,Jun,2936,2821,115,3.9
2014,Jul,2939,2819,120,4.1
2014,Aug,2887,2774,113,3.9
2014,Sep,2860,2754,106,3.7
2014,Oct,2832,2732,100,3.5
2014,Nov,2789,2690,99,3.5
2014,Dec,2794,2711,83,3.0
2015,Jan,2797,2704,93,3.3
2015,Feb,2806,2714,92,3.3
2015,Mar,2854,2765,89,3.1
2015,Apr,2877,2801,76,2.6
2015,May,2921,2829,92,3.1
2015,Jun,2921,2825,96,3.3
2015,Jul,2945,2845,100,3.4
2015,Aug,2897,2808,89,3.1
2015,Sep,2889,2798,91,3.1
2015,Oct,2864,2774,90,3.1
2015,Nov,2833,2744,89,3.1
2015,Dec,2830,2757,73,2.6
2016,Jan,2841,2762,79,2.8
2016,Feb,2884,2800,84,2.9
2016,Mar,2911,2822,89,3.1
2016,Apr,2964,2885,79,2.7
2016,May,3005,2914,91,3.0
2016,Jun,3067,2974,93,3.0
2016,Jul,3041,2946,95,3.1
2016,Aug,3030,2933,97,3.2
2016,Sep,2989,2889,100,3.3
2016,Oct,2936,2848,88,3.0
2016,Nov,2920,2834,86,2.9
2016,Dec,2915,2837,78,2.7
2017,Jan,2874,2789,85,3.0
2017,Feb,2885,2792,93,3.2
2017,Mar,2917,2832,85,2.9
2017,Apr,2948,2874,74,2.5
2017,May,2943,2858,85,2.9
2017,Jun,2951,2861,90,3.0
2017,Jul,2976,2887,89,3.0
2017,Aug,2967,2880,87,2.9
2017,Sep,2902,2817,85,2.9
2017,Oct,2878,2793,85,3.0
2017,Nov,2842,2750,92,3.2
2017,Dec,2828,2750,78,2.8
2018,Jan,2897,2811,86,3.0
2018,Feb,2902,2815,87,3.0
2018,Mar,2947,2862,85,2.9
2018,Apr,2954,2883,71,2.4
2018,May,3013,2942,71,2.4
2018,Jun,3014,2932,82,2.7
2018,Jul,3024,2944,80,2.6
2018,Aug,3010,2930,80,2.7
2018,Sep,2982,2907,75,2.5
2018,Oct,2912,2840,72,2.5
2018,Nov,2894,2827,67,2.3
2018,Dec,2864,2797,67,2.3
2019,Jan,2903,2821,82,2.8
2019,Feb,2904,2831,73,2.5
2019,Mar,2932,2854,78,2.7
2019,Apr,2943,2880,63,2.1
2019,May,2979,2911,68,2.3
2019,Jun,2986,2904,82,2.7
2019,Jul,3021,2935,86,2.8
2019,Aug,3034,2952,82,2.7
2019,Sep,2958,2879,79,2.7
2019,Oct,2949,2860,89,3.0
2019,Nov,2911,2820,91,3.1
2019,Dec,2905,2822,83,2.9
2020,Jan,2919,2825,94,3.2
2020,Feb,2915,2829,86,3.0
2020,Mar,2886,2767,119,4.1
2020,Apr,2486,2346,140,5.6
