Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480770000000003,LAUCN480770000000004,LAUCN480770000000005,LAUCN480770000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Clay County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,5426,4946,480,8.8
2010,Feb,5430,4974,456,8.4
2010,Mar,5479,5036,443,8.1
2010,Apr,5584,5158,426,7.6
2010,May,5546,5140,406,7.3
2010,Jun,5628,5207,421,7.5
2010,Jul,5602,5178,424,7.6
2010,Aug,5569,5165,404,7.3
2010,Sep,5575,5184,391,7.0
2010,Oct,5533,5156,377,6.8
2010,Nov,5546,5167,379,6.8
2010,Dec,5545,5177,368,6.6
2011,Jan,5498,5109,389,7.1
2011,Feb,5456,5086,370,6.8
2011,Mar,5508,5157,351,6.4
2011,Apr,5500,5150,350,6.4
2011,May,5514,5169,345,6.3
2011,Jun,5589,5203,386,6.9
2011,Jul,5555,5173,382,6.9
2011,Aug,5535,5168,367,6.6
2011,Sep,5529,5165,364,6.6
2011,Oct,5477,5139,338,6.2
2011,Nov,5497,5174,323,5.9
2011,Dec,5534,5210,324,5.9
2012,Jan,5367,5042,325,6.1
2012,Feb,5328,5019,309,5.8
2012,Mar,5350,5052,298,5.6
2012,Apr,5340,5067,273,5.1
2012,May,5351,5067,284,5.3
2012,Jun,5405,5068,337,6.2
2012,Jul,5376,5039,337,6.3
2012,Aug,5278,4975,303,5.7
2012,Sep,5304,5015,289,5.4
2012,Oct,5263,4983,280,5.3
2012,Nov,5243,4975,268,5.1
2012,Dec,5225,4949,276,5.3
2013,Jan,5137,4820,317,6.2
2013,Feb,5103,4811,292,5.7
2013,Mar,5078,4801,277,5.5
2013,Apr,5139,4872,267,5.2
2013,May,5185,4905,280,5.4
2013,Jun,5235,4921,314,6.0
2013,Jul,5225,4916,309,5.9
2013,Aug,5116,4837,279,5.5
2013,Sep,5142,4859,283,5.5
2013,Oct,5130,4856,274,5.3
2013,Nov,5090,4824,266,5.2
2013,Dec,5112,4864,248,4.9
2014,Jan,5027,4769,258,5.1
2014,Feb,5065,4805,260,5.1
2014,Mar,5087,4831,256,5.0
2014,Apr,5043,4835,208,4.1
2014,May,5070,4841,229,4.5
2014,Jun,5094,4848,246,4.8
2014,Jul,5075,4824,251,4.9
2014,Aug,5021,4777,244,4.9
2014,Sep,5021,4791,230,4.6
2014,Oct,4979,4781,198,4.0
2014,Nov,4931,4736,195,4.0
2014,Dec,4888,4710,178,3.6
2015,Jan,4885,4682,203,4.2
2015,Feb,4934,4728,206,4.2
2015,Mar,4950,4746,204,4.1
2015,Apr,4933,4737,196,4.0
2015,May,4965,4751,214,4.3
2015,Jun,4983,4744,239,4.8
2015,Jul,4935,4699,236,4.8
2015,Aug,4866,4651,215,4.4
2015,Sep,4870,4653,217,4.5
2015,Oct,4893,4672,221,4.5
2015,Nov,4861,4647,214,4.4
2015,Dec,4872,4661,211,4.3
2016,Jan,4740,4512,228,4.8
2016,Feb,4834,4609,225,4.7
2016,Mar,4869,4648,221,4.5
2016,Apr,4838,4642,196,4.1
2016,May,4854,4653,201,4.1
2016,Jun,4837,4618,219,4.5
2016,Jul,4793,4566,227,4.7
2016,Aug,4766,4559,207,4.3
2016,Sep,4735,4521,214,4.5
2016,Oct,4744,4552,192,4.0
2016,Nov,4747,4558,189,4.0
2016,Dec,4763,4571,192,4.0
2017,Jan,4849,4641,208,4.3
2017,Feb,4909,4706,203,4.1
2017,Mar,4980,4789,191,3.8
2017,Apr,4964,4796,168,3.4
2017,May,4949,4781,168,3.4
2017,Jun,4923,4749,174,3.5
2017,Jul,4873,4696,177,3.6
2017,Aug,4873,4694,179,3.7
2017,Sep,4846,4694,152,3.1
2017,Oct,4875,4736,139,2.9
2017,Nov,4901,4741,160,3.3
2017,Dec,4900,4750,150,3.1
2018,Jan,4888,4717,171,3.5
2018,Feb,4944,4777,167,3.4
2018,Mar,4989,4818,171,3.4
2018,Apr,4948,4806,142,2.9
2018,May,4976,4832,144,2.9
2018,Jun,4966,4792,174,3.5
2018,Jul,4913,4746,167,3.4
2018,Aug,4906,4751,155,3.2
2018,Sep,4887,4748,139,2.8
2018,Oct,4890,4757,133,2.7
2018,Nov,4909,4769,140,2.9
2018,Dec,4893,4741,152,3.1
2019,Jan,4903,4722,181,3.7
2019,Feb,4913,4760,153,3.1
2019,Mar,4940,4792,148,3.0
2019,Apr,4902,4777,125,2.5
2019,May,4921,4784,137,2.8
2019,Jun,4947,4780,167,3.4
2019,Jul,4951,4775,176,3.6
2019,Aug,4962,4804,158,3.2
2019,Sep,4946,4796,150,3.0
2019,Oct,4980,4838,142,2.9
2019,Nov,4938,4798,140,2.8
2019,Dec,4932,4793,139,2.8
2020,Jan,4925,4769,156,3.2
2020,Feb,4946,4800,146,3.0
2020,Mar,4853,4638,215,4.4
2020,Apr,4276,3892,384,9.0
