Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480790000000003,LAUCN480790000000004,LAUCN480790000000005,LAUCN480790000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Cochran County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1459,1346,113,7.7
2010,Feb,1464,1352,112,7.7
2010,Mar,1517,1400,117,7.7
2010,Apr,1568,1450,118,7.5
2010,May,1562,1441,121,7.7
2010,Jun,1596,1451,145,9.1
2010,Jul,1577,1435,142,9.0
2010,Aug,1533,1401,132,8.6
2010,Sep,1544,1407,137,8.9
2010,Oct,1505,1388,117,7.8
2010,Nov,1480,1360,120,8.1
2010,Dec,1480,1366,114,7.7
2011,Jan,1423,1297,126,8.9
2011,Feb,1407,1273,134,9.5
2011,Mar,1462,1334,128,8.8
2011,Apr,1466,1349,117,8.0
2011,May,1465,1346,119,8.1
2011,Jun,1544,1412,132,8.5
2011,Jul,1546,1411,135,8.7
2011,Aug,1592,1452,140,8.8
2011,Sep,1551,1413,138,8.9
2011,Oct,1487,1360,127,8.5
2011,Nov,1500,1386,114,7.6
2011,Dec,1527,1413,114,7.5
2012,Jan,1425,1305,120,8.4
2012,Feb,1394,1278,116,8.3
2012,Mar,1432,1311,121,8.4
2012,Apr,1446,1340,106,7.3
2012,May,1451,1345,106,7.3
2012,Jun,1530,1417,113,7.4
2012,Jul,1498,1376,122,8.1
2012,Aug,1466,1352,114,7.8
2012,Sep,1470,1368,102,6.9
2012,Oct,1439,1337,102,7.1
2012,Nov,1421,1329,92,6.5
2012,Dec,1385,1294,91,6.6
2013,Jan,1356,1255,101,7.4
2013,Feb,1362,1262,100,7.3
2013,Mar,1358,1259,99,7.3
2013,Apr,1406,1313,93,6.6
2013,May,1454,1358,96,6.6
2013,Jun,1492,1384,108,7.2
2013,Jul,1484,1381,103,6.9
2013,Aug,1404,1307,97,6.9
2013,Sep,1414,1325,89,6.3
2013,Oct,1408,1325,83,5.9
2013,Nov,1333,1253,80,6.0
2013,Dec,1363,1295,68,5.0
2014,Jan,1347,1268,79,5.9
2014,Feb,1398,1314,84,6.0
2014,Mar,1400,1313,87,6.2
2014,Apr,1438,1365,73,5.1
2014,May,1445,1372,73,5.1
2014,Jun,1469,1387,82,5.6
2014,Jul,1446,1363,83,5.7
2014,Aug,1394,1325,69,4.9
2014,Sep,1423,1358,65,4.6
2014,Oct,1390,1333,57,4.1
2014,Nov,1334,1281,53,4.0
2014,Dec,1313,1262,51,3.9
2015,Jan,1342,1283,59,4.4
2015,Feb,1372,1315,57,4.2
2015,Mar,1423,1359,64,4.5
2015,Apr,1343,1292,51,3.8
2015,May,1387,1321,66,4.8
2015,Jun,1388,1304,84,6.1
2015,Jul,1325,1243,82,6.2
2015,Aug,1278,1199,79,6.2
2015,Sep,1288,1216,72,5.6
2015,Oct,1272,1206,66,5.2
2015,Nov,1194,1132,62,5.2
2015,Dec,1196,1136,60,5.0
2016,Jan,1127,1070,57,5.1
2016,Feb,1205,1151,54,4.5
2016,Mar,1237,1180,57,4.6
2016,Apr,1234,1177,57,4.6
2016,May,1271,1215,56,4.4
2016,Jun,1229,1163,66,5.4
2016,Jul,1131,1065,66,5.8
2016,Aug,1162,1096,66,5.7
2016,Sep,1138,1076,62,5.4
2016,Oct,1129,1068,61,5.4
2016,Nov,1120,1063,57,5.1
2016,Dec,1108,1049,59,5.3
2017,Jan,1095,1035,60,5.5
2017,Feb,1127,1067,60,5.3
2017,Mar,1211,1154,57,4.7
2017,Apr,1189,1144,45,3.8
2017,May,1204,1160,44,3.7
2017,Jun,1173,1125,48,4.1
2017,Jul,1099,1043,56,5.1
2017,Aug,1125,1070,55,4.9
2017,Sep,1070,1018,52,4.9
2017,Oct,1129,1078,51,4.5
2017,Nov,1078,1029,49,4.5
2017,Dec,1094,1049,45,4.1
2018,Jan,1042,992,50,4.8
2018,Feb,1081,1030,51,4.7
2018,Mar,1160,1104,56,4.8
2018,Apr,1123,1077,46,4.1
2018,May,1170,1122,48,4.1
2018,Jun,1148,1090,58,5.1
2018,Jul,1092,1036,56,5.1
2018,Aug,1118,1071,47,4.2
2018,Sep,1119,1076,43,3.8
2018,Oct,1076,1036,40,3.7
2018,Nov,1045,1008,37,3.5
2018,Dec,1017,980,37,3.6
2019,Jan,1039,995,44,4.2
2019,Feb,1113,1074,39,3.5
2019,Mar,1179,1137,42,3.6
2019,Apr,1117,1086,31,2.8
2019,May,1140,1108,32,2.8
2019,Jun,1134,1090,44,3.9
2019,Jul,1127,1079,48,4.3
2019,Aug,1167,1126,41,3.5
2019,Sep,1121,1088,33,2.9
2019,Oct,1149,1115,34,3.0
2019,Nov,1084,1049,35,3.2
2019,Dec,1108,1070,38,3.4
2020,Jan,1104,1061,43,3.9
2020,Feb,1128,1085,43,3.8
2020,Mar,1133,1076,57,5.0
2020,Apr,1003,904,99,9.9
