Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480810000000003,LAUCN480810000000004,LAUCN480810000000005,LAUCN480810000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Coke County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1607,1494,113,7.0
2010,Feb,1581,1485,96,6.1
2010,Mar,1612,1519,93,5.8
2010,Apr,1620,1528,92,5.7
2010,May,1539,1448,91,5.9
2010,Jun,1577,1477,100,6.3
2010,Jul,1581,1477,104,6.6
2010,Aug,1571,1471,100,6.4
2010,Sep,1552,1455,97,6.3
2010,Oct,1560,1470,90,5.8
2010,Nov,1562,1471,91,5.8
2010,Dec,1530,1447,83,5.4
2011,Jan,1482,1388,94,6.3
2011,Feb,1490,1396,94,6.3
2011,Mar,1510,1423,87,5.8
2011,Apr,1527,1433,94,6.2
2011,May,1521,1431,90,5.9
2011,Jun,1574,1476,98,6.2
2011,Jul,1564,1472,92,5.9
2011,Aug,1556,1468,88,5.7
2011,Sep,1544,1455,89,5.8
2011,Oct,1538,1458,80,5.2
2011,Nov,1556,1483,73,4.7
2011,Dec,1567,1496,71,4.5
2012,Jan,1511,1432,79,5.2
2012,Feb,1473,1402,71,4.8
2012,Mar,1491,1424,67,4.5
2012,Apr,1483,1417,66,4.5
2012,May,1465,1393,72,4.9
2012,Jun,1500,1416,84,5.6
2012,Jul,1521,1435,86,5.7
2012,Aug,1495,1413,82,5.5
2012,Sep,1450,1378,72,5.0
2012,Oct,1424,1351,73,5.1
2012,Nov,1428,1356,72,5.0
2012,Dec,1427,1355,72,5.0
2013,Jan,1419,1338,81,5.7
2013,Feb,1447,1378,69,4.8
2013,Mar,1431,1368,63,4.4
2013,Apr,1442,1376,66,4.6
2013,May,1474,1399,75,5.1
2013,Jun,1487,1398,89,6.0
2013,Jul,1498,1414,84,5.6
2013,Aug,1491,1412,79,5.3
2013,Sep,1476,1398,78,5.3
2013,Oct,1451,1381,70,4.8
2013,Nov,1446,1379,67,4.6
2013,Dec,1446,1382,64,4.4
2014,Jan,1440,1372,68,4.7
2014,Feb,1447,1376,71,4.9
2014,Mar,1456,1389,67,4.6
2014,Apr,1456,1401,55,3.8
2014,May,1498,1434,64,4.3
2014,Jun,1491,1429,62,4.2
2014,Jul,1426,1359,67,4.7
2014,Aug,1419,1354,65,4.6
2014,Sep,1407,1347,60,4.3
2014,Oct,1420,1364,56,3.9
2014,Nov,1410,1356,54,3.8
2014,Dec,1402,1349,53,3.8
2015,Jan,1405,1348,57,4.1
2015,Feb,1377,1323,54,3.9
2015,Mar,1380,1325,55,4.0
2015,Apr,1365,1315,50,3.7
2015,May,1414,1354,60,4.2
2015,Jun,1423,1364,59,4.1
2015,Jul,1415,1354,61,4.3
2015,Aug,1415,1356,59,4.2
2015,Sep,1396,1339,57,4.1
2015,Oct,1411,1353,58,4.1
2015,Nov,1385,1329,56,4.0
2015,Dec,1391,1339,52,3.7
2016,Jan,1397,1341,56,4.0
2016,Feb,1422,1364,58,4.1
2016,Mar,1442,1381,61,4.2
2016,Apr,1431,1373,58,4.1
2016,May,1439,1378,61,4.2
2016,Jun,1445,1381,64,4.4
2016,Jul,1423,1364,59,4.1
2016,Aug,1428,1371,57,4.0
2016,Sep,1440,1377,63,4.4
2016,Oct,1399,1342,57,4.1
2016,Nov,1387,1332,55,4.0
2016,Dec,1392,1337,55,4.0
2017,Jan,1363,1300,63,4.6
2017,Feb,1392,1330,62,4.5
2017,Mar,1393,1337,56,4.0
2017,Apr,1383,1335,48,3.5
2017,May,1405,1356,49,3.5
2017,Jun,1432,1380,52,3.6
2017,Jul,1400,1346,54,3.9
2017,Aug,1416,1363,53,3.7
2017,Sep,1414,1365,49,3.5
2017,Oct,1387,1344,43,3.1
2017,Nov,1398,1350,48,3.4
2017,Dec,1415,1371,44,3.1
2018,Jan,1415,1360,55,3.9
2018,Feb,1418,1363,55,3.9
2018,Mar,1448,1401,47,3.2
2018,Apr,1452,1406,46,3.2
2018,May,1466,1418,48,3.3
2018,Jun,1480,1425,55,3.7
2018,Jul,1484,1432,52,3.5
2018,Aug,1484,1431,53,3.6
2018,Sep,1478,1430,48,3.2
2018,Oct,1452,1407,45,3.1
2018,Nov,1440,1395,45,3.1
2018,Dec,1436,1393,43,3.0
2019,Jan,1422,1370,52,3.7
2019,Feb,1410,1358,52,3.7
2019,Mar,1419,1370,49,3.5
2019,Apr,1447,1408,39,2.7
2019,May,1433,1388,45,3.1
2019,Jun,1471,1418,53,3.6
2019,Jul,1473,1420,53,3.6
2019,Aug,1508,1457,51,3.4
2019,Sep,1484,1439,45,3.0
2019,Oct,1483,1436,47,3.2
2019,Nov,1467,1422,45,3.1
2019,Dec,1461,1424,37,2.5
2020,Jan,1459,1418,41,2.8
2020,Feb,1465,1423,42,2.9
2020,Mar,1441,1382,59,4.1
2020,Apr,1246,1154,92,7.4
