Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480830000000003,LAUCN480830000000004,LAUCN480830000000005,LAUCN480830000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Coleman County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,3488,3150,338,9.7
2010,Feb,3512,3173,339,9.7
2010,Mar,3527,3181,346,9.8
2010,Apr,3545,3218,327,9.2
2010,May,3491,3181,310,8.9
2010,Jun,3573,3243,330,9.2
2010,Jul,3489,3161,328,9.4
2010,Aug,3466,3152,314,9.1
2010,Sep,3462,3169,293,8.5
2010,Oct,3417,3128,289,8.5
2010,Nov,3423,3127,296,8.6
2010,Dec,3408,3131,277,8.1
2011,Jan,3353,3050,303,9.0
2011,Feb,3317,3031,286,8.6
2011,Mar,3399,3072,327,9.6
2011,Apr,3366,3083,283,8.4
2011,May,3370,3070,300,8.9
2011,Jun,3430,3100,330,9.6
2011,Jul,3436,3103,333,9.7
2011,Aug,3489,3175,314,9.0
2011,Sep,3465,3175,290,8.4
2011,Oct,3387,3084,303,8.9
2011,Nov,3405,3142,263,7.7
2011,Dec,3382,3122,260,7.7
2012,Jan,3294,3030,264,8.0
2012,Feb,3287,3021,266,8.1
2012,Mar,3323,3069,254,7.6
2012,Apr,3291,3056,235,7.1
2012,May,3330,3078,252,7.6
2012,Jun,3377,3095,282,8.4
2012,Jul,3356,3079,277,8.3
2012,Aug,3294,3044,250,7.6
2012,Sep,3388,3150,238,7.0
2012,Oct,3338,3093,245,7.3
2012,Nov,3268,3054,214,6.5
2012,Dec,3247,3032,215,6.6
2013,Jan,3168,2899,269,8.5
2013,Feb,3154,2900,254,8.1
2013,Mar,3110,2870,240,7.7
2013,Apr,3142,2910,232,7.4
2013,May,3177,2932,245,7.7
2013,Jun,3185,2924,261,8.2
2013,Jul,3237,2971,266,8.2
2013,Aug,3120,2888,232,7.4
2013,Sep,3170,2942,228,7.2
2013,Oct,3139,2925,214,6.8
2013,Nov,3146,2932,214,6.8
2013,Dec,3140,2943,197,6.3
2014,Jan,3064,2862,202,6.6
2014,Feb,3129,2926,203,6.5
2014,Mar,3148,2949,199,6.3
2014,Apr,3127,2956,171,5.5
2014,May,3170,2980,190,6.0
2014,Jun,3185,2979,206,6.5
2014,Jul,3147,2919,228,7.2
2014,Aug,3087,2888,199,6.4
2014,Sep,3147,2954,193,6.1
2014,Oct,3118,2942,176,5.6
2014,Nov,3118,2952,166,5.3
2014,Dec,3054,2902,152,5.0
2015,Jan,3037,2858,179,5.9
2015,Feb,3044,2873,171,5.6
2015,Mar,3083,2922,161,5.2
2015,Apr,3081,2928,153,5.0
2015,May,3128,2945,183,5.9
2015,Jun,3115,2944,171,5.5
2015,Jul,3046,2866,180,5.9
2015,Aug,3002,2841,161,5.4
2015,Sep,3047,2865,182,6.0
2015,Oct,3049,2884,165,5.4
2015,Nov,2980,2813,167,5.6
2015,Dec,2990,2836,154,5.2
2016,Jan,2972,2808,164,5.5
2016,Feb,3081,2908,173,5.6
2016,Mar,3102,2921,181,5.8
2016,Apr,3139,2955,184,5.9
2016,May,3141,2957,184,5.9
2016,Jun,3118,2923,195,6.3
2016,Jul,3072,2875,197,6.4
2016,Aug,3047,2862,185,6.1
2016,Sep,3072,2892,180,5.9
2016,Oct,3015,2849,166,5.5
2016,Nov,2988,2823,165,5.5
2016,Dec,3021,2858,163,5.4
2017,Jan,3032,2869,163,5.4
2017,Feb,3077,2917,160,5.2
2017,Mar,3111,2963,148,4.8
2017,Apr,3094,2967,127,4.1
2017,May,3120,2984,136,4.4
2017,Jun,3108,2966,142,4.6
2017,Jul,3051,2906,145,4.8
2017,Aug,3085,2943,142,4.6
2017,Sep,3049,2927,122,4.0
2017,Oct,3046,2933,113,3.7
2017,Nov,3015,2891,124,4.1
2017,Dec,3021,2902,119,3.9
2018,Jan,2959,2838,121,4.1
2018,Feb,2964,2840,124,4.2
2018,Mar,3039,2921,118,3.9
2018,Apr,2995,2888,107,3.6
2018,May,2986,2883,103,3.4
2018,Jun,2989,2867,122,4.1
2018,Jul,2912,2793,119,4.1
2018,Aug,2898,2782,116,4.0
2018,Sep,2904,2790,114,3.9
2018,Oct,2886,2777,109,3.8
2018,Nov,2862,2753,109,3.8
2018,Dec,2872,2758,114,4.0
2019,Jan,2907,2774,133,4.6
2019,Feb,2896,2772,124,4.3
2019,Mar,2895,2780,115,4.0
2019,Apr,2870,2773,97,3.4
2019,May,2878,2779,99,3.4
2019,Jun,2901,2779,122,4.2
2019,Jul,2893,2767,126,4.4
2019,Aug,2922,2792,130,4.4
2019,Sep,2891,2775,116,4.0
2019,Oct,2877,2768,109,3.8
2019,Nov,2847,2729,118,4.1
2019,Dec,2873,2746,127,4.4
2020,Jan,2859,2722,137,4.8
2020,Feb,2877,2745,132,4.6
2020,Mar,2876,2676,200,7.0
2020,Apr,2532,2239,293,11.6
