Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480850000000003,LAUCN480850000000004,LAUCN480850000000005,LAUCN480850000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Collin County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,417646,385581,32065,7.7
2010,Feb,418454,387081,31373,7.5
2010,Mar,419901,388891,31010,7.4
2010,Apr,424918,394707,30211,7.1
2010,May,424185,394294,29891,7.0
2010,Jun,425750,393854,31896,7.5
2010,Jul,428278,396191,32087,7.5
2010,Aug,428267,397208,31059,7.3
2010,Sep,428350,398247,30103,7.0
2010,Oct,428587,399201,29386,6.9
2010,Nov,429577,399531,30046,7.0
2010,Dec,429105,400376,28729,6.7
2011,Jan,433291,402380,30911,7.1
2011,Feb,433792,403853,29939,6.9
2011,Mar,435643,406137,29506,6.8
2011,Apr,436335,407926,28409,6.5
2011,May,437380,408257,29123,6.7
2011,Jun,439474,407151,32323,7.4
2011,Jul,440210,408423,31787,7.2
2011,Aug,439743,408896,30847,7.0
2011,Sep,442331,411904,30427,6.9
2011,Oct,442922,414246,28676,6.5
2011,Nov,441885,414871,27014,6.1
2011,Dec,440733,414712,26021,5.9
2012,Jan,441370,413740,27630,6.3
2012,Feb,443380,416225,27155,6.1
2012,Mar,444326,417684,26642,6.0
2012,Apr,444153,419282,24871,5.6
2012,May,446269,420097,26172,5.9
2012,Jun,448453,419506,28947,6.5
2012,Jul,448492,419498,28994,6.5
2012,Aug,446008,418855,27153,6.1
2012,Sep,448381,423240,25141,5.6
2012,Oct,450453,425597,24856,5.5
2012,Nov,449509,425576,23933,5.3
2012,Dec,450011,425732,24279,5.4
2013,Jan,452002,424416,27586,6.1
2013,Feb,451860,425651,26209,5.8
2013,Mar,452296,426876,25420,5.6
2013,Apr,454163,430167,23996,5.3
2013,May,456659,431425,25234,5.5
2013,Jun,459677,431668,28009,6.1
2013,Jul,460772,433667,27105,5.9
2013,Aug,460302,434511,25791,5.6
2013,Sep,461535,436508,25027,5.4
2013,Oct,459231,434811,24420,5.3
2013,Nov,463374,440323,23051,5.0
2013,Dec,462284,440598,21686,4.7
2014,Jan,468950,445577,23373,5.0
2014,Feb,470140,446523,23617,5.0
2014,Mar,472258,448691,23567,5.0
2014,Apr,471483,451459,20024,4.2
2014,May,472817,451254,21563,4.6
2014,Jun,474992,452108,22884,4.8
2014,Jul,477504,453669,23835,5.0
2014,Aug,476878,453877,23001,4.8
2014,Sep,476636,455636,21000,4.4
2014,Oct,477780,458128,19652,4.1
2014,Nov,479079,459955,19124,4.0
2014,Dec,477295,459993,17302,3.6
2015,Jan,482513,462903,19610,4.1
2015,Feb,483010,464715,18295,3.8
2015,Mar,482242,464461,17781,3.7
2015,Apr,485451,469300,16151,3.3
2015,May,487145,469679,17466,3.6
2015,Jun,488834,470018,18816,3.8
2015,Jul,490962,471880,19082,3.9
2015,Aug,490516,472592,17924,3.7
2015,Sep,489981,472568,17413,3.6
2015,Oct,492583,475407,17176,3.5
2015,Nov,495427,478491,16936,3.4
2015,Dec,495830,479941,15889,3.2
2016,Jan,502486,485326,17160,3.4
2016,Feb,506185,489098,17087,3.4
2016,Mar,507371,489704,17667,3.5
2016,Apr,508036,491887,16149,3.2
2016,May,508471,492086,16385,3.2
2016,Jun,511931,492718,19213,3.8
2016,Jul,515610,495647,19963,3.9
2016,Aug,515402,495834,19568,3.8
2016,Sep,517865,498259,19606,3.8
2016,Oct,518820,500172,18648,3.6
2016,Nov,521158,503250,17908,3.4
2016,Dec,520590,502700,17890,3.4
2017,Jan,524942,505089,19853,3.8
2017,Feb,528273,508139,20134,3.8
2017,Mar,527712,508741,18971,3.6
2017,Apr,529468,512073,17395,3.3
2017,May,528089,510301,17788,3.4
2017,Jun,530873,511420,19453,3.7
2017,Jul,534349,514936,19413,3.6
2017,Aug,533359,513836,19523,3.7
2017,Sep,537237,519715,17522,3.3
2017,Oct,535001,518600,16401,3.1
2017,Nov,539140,521876,17264,3.2
2017,Dec,537390,520531,16859,3.1
2018,Jan,545621,526685,18936,3.5
2018,Feb,550401,531101,19300,3.5
2018,Mar,548451,529361,19090,3.5
2018,Apr,548479,531229,17250,3.1
2018,May,548129,531074,17055,3.1
2018,Jun,551747,531747,20000,3.6
2018,Jul,553717,534545,19172,3.5
2018,Aug,549340,530579,18761,3.4
2018,Sep,552313,534529,17784,3.2
2018,Oct,554679,537500,17179,3.1
2018,Nov,557432,540526,16906,3.0
2018,Dec,557580,540169,17411,3.1
2019,Jan,556550,536995,19555,3.5
2019,Feb,558439,540165,18274,3.3
2019,Mar,557221,539561,17660,3.2
2019,Apr,556814,541714,15100,2.7
2019,May,557130,541551,15579,2.8
2019,Jun,562303,543933,18370,3.3
2019,Jul,566346,547316,19030,3.4
2019,Aug,565015,546555,18460,3.3
2019,Sep,568636,551551,17085,3.0
2019,Oct,569882,553156,16726,2.9
2019,Nov,572761,556059,16702,2.9
2019,Dec,573039,557280,15759,2.8
2020,Jan,571454,553700,17754,3.1
2020,Feb,574807,557582,17225,3.0
2020,Mar,563411,538583,24828,4.4
2020,Apr,524670,460662,64008,12.2
