Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480870000000003,LAUCN480870000000004,LAUCN480870000000005,LAUCN480870000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Collingsworth County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1273,1196,77,6.0
2010,Feb,1267,1194,73,5.8
2010,Mar,1306,1242,64,4.9
2010,Apr,1333,1259,74,5.6
2010,May,1316,1249,67,5.1
2010,Jun,1372,1291,81,5.9
2010,Jul,1372,1291,81,5.9
2010,Aug,1359,1278,81,6.0
2010,Sep,1379,1300,79,5.7
2010,Oct,1396,1320,76,5.4
2010,Nov,1358,1283,75,5.5
2010,Dec,1359,1290,69,5.1
2011,Jan,1323,1246,77,5.8
2011,Feb,1320,1241,79,6.0
2011,Mar,1353,1272,81,6.0
2011,Apr,1304,1228,76,5.8
2011,May,1258,1181,77,6.1
2011,Jun,1330,1242,88,6.6
2011,Jul,1319,1235,84,6.4
2011,Aug,1320,1239,81,6.1
2011,Sep,1304,1229,75,5.8
2011,Oct,1269,1199,70,5.5
2011,Nov,1295,1234,61,4.7
2011,Dec,1288,1229,59,4.6
2012,Jan,1240,1174,66,5.3
2012,Feb,1214,1153,61,5.0
2012,Mar,1240,1181,59,4.8
2012,Apr,1261,1202,59,4.7
2012,May,1277,1214,63,4.9
2012,Jun,1289,1219,70,5.4
2012,Jul,1272,1200,72,5.7
2012,Aug,1245,1179,66,5.3
2012,Sep,1255,1194,61,4.9
2012,Oct,1244,1189,55,4.4
2012,Nov,1218,1165,53,4.4
2012,Dec,1214,1157,57,4.7
2013,Jan,1162,1098,64,5.5
2013,Feb,1164,1102,62,5.3
2013,Mar,1159,1101,58,5.0
2013,Apr,1191,1134,57,4.8
2013,May,1222,1160,62,5.1
2013,Jun,1252,1181,71,5.7
2013,Jul,1265,1191,74,5.8
2013,Aug,1228,1165,63,5.1
2013,Sep,1257,1193,64,5.1
2013,Oct,1280,1215,65,5.1
2013,Nov,1207,1150,57,4.7
2013,Dec,1216,1164,52,4.3
2014,Jan,1195,1142,53,4.4
2014,Feb,1266,1211,55,4.3
2014,Mar,1278,1219,59,4.6
2014,Apr,1286,1236,50,3.9
2014,May,1292,1241,51,3.9
2014,Jun,1299,1244,55,4.2
2014,Jul,1304,1246,58,4.4
2014,Aug,1229,1173,56,4.6
2014,Sep,1256,1206,50,4.0
2014,Oct,1285,1239,46,3.6
2014,Nov,1225,1180,45,3.7
2014,Dec,1217,1180,37,3.0
2015,Jan,1267,1219,48,3.8
2015,Feb,1291,1246,45,3.5
2015,Mar,1304,1263,41,3.1
2015,Apr,1279,1235,44,3.4
2015,May,1300,1245,55,4.2
2015,Jun,1309,1255,54,4.1
2015,Jul,1301,1246,55,4.2
2015,Aug,1244,1197,47,3.8
2015,Sep,1243,1198,45,3.6
2015,Oct,1264,1223,41,3.2
2015,Nov,1224,1182,42,3.4
2015,Dec,1218,1178,40,3.3
2016,Jan,1161,1118,43,3.7
2016,Feb,1225,1182,43,3.5
2016,Mar,1236,1197,39,3.2
2016,Apr,1249,1214,35,2.8
2016,May,1261,1224,37,2.9
2016,Jun,1256,1206,50,4.0
2016,Jul,1226,1177,49,4.0
2016,Aug,1215,1172,43,3.5
2016,Sep,1187,1143,44,3.7
2016,Oct,1209,1169,40,3.3
2016,Nov,1186,1147,39,3.3
2016,Dec,1163,1124,39,3.4
2017,Jan,1129,1084,45,4.0
2017,Feb,1140,1099,41,3.6
2017,Mar,1193,1154,39,3.3
2017,Apr,1170,1135,35,3.0
2017,May,1185,1144,41,3.5
2017,Jun,1181,1139,42,3.6
2017,Jul,1163,1119,44,3.8
2017,Aug,1176,1131,45,3.8
2017,Sep,1142,1099,43,3.8
2017,Oct,1190,1151,39,3.3
2017,Nov,1164,1121,43,3.7
2017,Dec,1163,1124,39,3.4
2018,Jan,1146,1102,44,3.8
2018,Feb,1162,1124,38,3.3
2018,Mar,1199,1163,36,3.0
2018,Apr,1154,1123,31,2.7
2018,May,1213,1180,33,2.7
2018,Jun,1202,1164,38,3.2
2018,Jul,1196,1160,36,3.0
2018,Aug,1189,1150,39,3.3
2018,Sep,1196,1157,39,3.3
2018,Oct,1207,1170,37,3.1
2018,Nov,1175,1138,37,3.1
2018,Dec,1147,1113,34,3.0
2019,Jan,1120,1082,38,3.4
2019,Feb,1134,1099,35,3.1
2019,Mar,1151,1116,35,3.0
2019,Apr,1140,1112,28,2.5
2019,May,1153,1122,31,2.7
2019,Jun,1205,1167,38,3.2
2019,Jul,1161,1122,39,3.4
2019,Aug,1182,1143,39,3.3
2019,Sep,1153,1113,40,3.5
2019,Oct,1192,1154,38,3.2
2019,Nov,1144,1105,39,3.4
2019,Dec,1144,1106,38,3.3
2020,Jan,1124,1081,43,3.8
2020,Feb,1138,1098,40,3.5
2020,Mar,1138,1081,57,5.0
2020,Apr,946,895,51,5.4
