Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480890000000003,LAUCN480890000000004,LAUCN480890000000005,LAUCN480890000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Colorado County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,9273,8478,795,8.6
2010,Feb,9259,8473,786,8.5
2010,Mar,9356,8573,783,8.4
2010,Apr,9530,8767,763,8.0
2010,May,9491,8738,753,7.9
2010,Jun,9823,9006,817,8.3
2010,Jul,9868,9047,821,8.3
2010,Aug,9765,8999,766,7.8
2010,Sep,9659,8920,739,7.7
2010,Oct,9639,8873,766,7.9
2010,Nov,9712,8917,795,8.2
2010,Dec,9776,9002,774,7.9
2011,Jan,9780,8970,810,8.3
2011,Feb,9700,8943,757,7.8
2011,Mar,9840,9096,744,7.6
2011,Apr,9847,9131,716,7.3
2011,May,9876,9152,724,7.3
2011,Jun,10336,9517,819,7.9
2011,Jul,10410,9524,886,8.5
2011,Aug,10482,9627,855,8.2
2011,Sep,10336,9496,840,8.1
2011,Oct,10190,9399,791,7.8
2011,Nov,10204,9472,732,7.2
2011,Dec,10301,9587,714,6.9
2012,Jan,10126,9416,710,7.0
2012,Feb,10014,9342,672,6.7
2012,Mar,10052,9397,655,6.5
2012,Apr,10100,9471,629,6.2
2012,May,10137,9483,654,6.5
2012,Jun,10526,9833,693,6.6
2012,Jul,10406,9715,691,6.6
2012,Aug,10345,9705,640,6.2
2012,Sep,10273,9634,639,6.2
2012,Oct,10149,9531,618,6.1
2012,Nov,10047,9457,590,5.9
2012,Dec,10029,9447,582,5.8
2013,Jan,9966,9330,636,6.4
2013,Feb,9955,9343,612,6.1
2013,Mar,9959,9364,595,6.0
2013,Apr,9968,9405,563,5.6
2013,May,10077,9484,593,5.9
2013,Jun,10487,9822,665,6.3
2013,Jul,10431,9799,632,6.1
2013,Aug,10314,9721,593,5.7
2013,Sep,10161,9583,578,5.7
2013,Oct,10004,9464,540,5.4
2013,Nov,9884,9380,504,5.1
2013,Dec,10025,9549,476,4.7
2014,Jan,10148,9635,513,5.1
2014,Feb,10276,9769,507,4.9
2014,Mar,10307,9800,507,4.9
2014,Apr,10186,9760,426,4.2
2014,May,10585,10120,465,4.4
2014,Jun,10673,10186,487,4.6
2014,Jul,10548,10046,502,4.8
2014,Aug,10419,9939,480,4.6
2014,Sep,10151,9704,447,4.4
2014,Oct,10136,9728,408,4.0
2014,Nov,10043,9648,395,3.9
2014,Dec,9993,9642,351,3.5
2015,Jan,9838,9450,388,3.9
2015,Feb,9830,9468,362,3.7
2015,Mar,9875,9525,350,3.5
2015,Apr,9786,9431,355,3.6
2015,May,9824,9443,381,3.9
2015,Jun,10249,9823,426,4.2
2015,Jul,10241,9819,422,4.1
2015,Aug,10137,9723,414,4.1
2015,Sep,9856,9459,397,4.0
2015,Oct,9795,9394,401,4.1
2015,Nov,9714,9313,401,4.1
2015,Dec,9752,9371,381,3.9
2016,Jan,9549,9157,392,4.1
2016,Feb,9716,9308,408,4.2
2016,Mar,9781,9368,413,4.2
2016,Apr,9657,9267,390,4.0
2016,May,10010,9593,417,4.2
2016,Jun,10210,9684,526,5.2
2016,Jul,10127,9588,539,5.3
2016,Aug,10033,9511,522,5.2
2016,Sep,9714,9185,529,5.4
2016,Oct,9598,9111,487,5.1
2016,Nov,9531,9082,449,4.7
2016,Dec,9554,9095,459,4.8
2017,Jan,9617,9139,478,5.0
2017,Feb,9701,9228,473,4.9
2017,Mar,9826,9398,428,4.4
2017,Apr,9720,9343,377,3.9
2017,May,9694,9325,369,3.8
2017,Jun,9950,9560,390,3.9
2017,Jul,9898,9512,386,3.9
2017,Aug,9869,9493,376,3.8
2017,Sep,9758,9402,356,3.6
2017,Oct,9706,9375,331,3.4
2017,Nov,9624,9267,357,3.7
2017,Dec,9604,9260,344,3.6
2018,Jan,9522,9162,360,3.8
2018,Feb,9637,9282,355,3.7
2018,Mar,9699,9357,342,3.5
2018,Apr,9596,9290,306,3.2
2018,May,9621,9321,300,3.1
2018,Jun,9856,9521,335,3.4
2018,Jul,9862,9547,315,3.2
2018,Aug,9740,9437,303,3.1
2018,Sep,9653,9353,300,3.1
2018,Oct,9636,9346,290,3.0
2018,Nov,9640,9355,285,3.0
2018,Dec,9633,9340,293,3.0
2019,Jan,9739,9399,340,3.5
2019,Feb,9774,9456,318,3.3
2019,Mar,9806,9500,306,3.1
2019,Apr,9721,9454,267,2.7
2019,May,9769,9490,279,2.9
2019,Jun,10002,9684,318,3.2
2019,Jul,10069,9741,328,3.3
2019,Aug,10038,9718,320,3.2
2019,Sep,9885,9592,293,3.0
2019,Oct,9879,9591,288,2.9
2019,Nov,9797,9508,289,2.9
2019,Dec,9830,9546,284,2.9
2020,Jan,9841,9502,339,3.4
2020,Feb,9905,9570,335,3.4
2020,Mar,9792,9325,467,4.8
2020,Apr,8487,7866,621,7.3
