Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480910000000003,LAUCN480910000000004,LAUCN480910000000005,LAUCN480910000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Comal County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,52618,48723,3895,7.4
2010,Feb,52933,49135,3798,7.2
2010,Mar,53124,49367,3757,7.1
2010,Apr,53695,50064,3631,6.8
2010,May,53498,49902,3596,6.7
2010,Jun,53702,49826,3876,7.2
2010,Jul,53688,49756,3932,7.3
2010,Aug,53593,49802,3791,7.1
2010,Sep,53659,49931,3728,6.9
2010,Oct,53679,49983,3696,6.9
2010,Nov,53855,50029,3826,7.1
2010,Dec,53816,50156,3660,6.8
2011,Jan,54035,50108,3927,7.3
2011,Feb,54226,50429,3797,7.0
2011,Mar,54401,50689,3712,6.8
2011,Apr,54395,50852,3543,6.5
2011,May,54541,50836,3705,6.8
2011,Jun,54835,50674,4161,7.6
2011,Jul,54876,50789,4087,7.4
2011,Aug,54689,50808,3881,7.1
2011,Sep,54943,51103,3840,7.0
2011,Oct,54943,51289,3654,6.7
2011,Nov,54931,51471,3460,6.3
2011,Dec,54881,51529,3352,6.1
2012,Jan,55177,51595,3582,6.5
2012,Feb,55388,51908,3480,6.3
2012,Mar,55529,52139,3390,6.1
2012,Apr,55485,52310,3175,5.7
2012,May,55689,52338,3351,6.0
2012,Jun,56191,52464,3727,6.6
2012,Jul,56203,52489,3714,6.6
2012,Aug,55917,52456,3461,6.2
2012,Sep,56228,53017,3211,5.7
2012,Oct,56440,53205,3235,5.7
2012,Nov,56362,53233,3129,5.6
2012,Dec,56409,53264,3145,5.6
2013,Jan,57166,53558,3608,6.3
2013,Feb,57277,53878,3399,5.9
2013,Mar,57759,53943,3816,6.6
2013,Apr,58016,54493,3523,6.1
2013,May,58099,54521,3578,6.2
2013,Jun,58477,54564,3913,6.7
2013,Jul,58498,54736,3762,6.4
2013,Aug,58000,54544,3456,6.0
2013,Sep,58115,54789,3326,5.7
2013,Oct,57704,54462,3242,5.6
2013,Nov,58070,55071,2999,5.2
2013,Dec,57902,55105,2797,4.8
2014,Jan,59163,56158,3005,5.1
2014,Feb,59515,56524,2991,5.0
2014,Mar,59838,56862,2976,5.0
2014,Apr,59615,57186,2429,4.1
2014,May,59853,57183,2670,4.5
2014,Jun,60204,57313,2891,4.8
2014,Jul,60391,57349,3042,5.0
2014,Aug,60017,57126,2891,4.8
2014,Sep,60030,57379,2651,4.4
2014,Oct,60250,57781,2469,4.1
2014,Nov,60323,57928,2395,4.0
2014,Dec,59811,57633,2178,3.6
2015,Jan,61115,58654,2461,4.0
2015,Feb,61209,58924,2285,3.7
2015,Mar,61331,59129,2202,3.6
2015,Apr,61734,59687,2047,3.3
2015,May,62048,59820,2228,3.6
2015,Jun,61962,59566,2396,3.9
2015,Jul,62110,59636,2474,4.0
2015,Aug,61831,59544,2287,3.7
2015,Sep,62009,59755,2254,3.6
2015,Oct,62257,60014,2243,3.6
2015,Nov,62685,60451,2234,3.6
2015,Dec,62519,60415,2104,3.4
2016,Jan,64208,61938,2270,3.5
2016,Feb,64714,62492,2222,3.4
2016,Mar,65093,62807,2286,3.5
2016,Apr,65082,63009,2073,3.2
2016,May,65147,63011,2136,3.3
2016,Jun,65552,63000,2552,3.9
2016,Jul,65941,63291,2650,4.0
2016,Aug,65755,63177,2578,3.9
2016,Sep,65911,63373,2538,3.9
2016,Oct,65894,63483,2411,3.7
2016,Nov,66174,63845,2329,3.5
2016,Dec,66143,63809,2334,3.5
2017,Jan,68110,65501,2609,3.8
2017,Feb,68506,65918,2588,3.8
2017,Mar,68655,66158,2497,3.6
2017,Apr,68531,66399,2132,3.1
2017,May,68375,66161,2214,3.2
2017,Jun,68799,66401,2398,3.5
2017,Jul,69164,66702,2462,3.6
2017,Aug,68878,66432,2446,3.6
2017,Sep,69381,67223,2158,3.1
2017,Oct,68771,66775,1996,2.9
2017,Nov,69175,67035,2140,3.1
2017,Dec,69195,67095,2100,3.0
2018,Jan,71503,69141,2362,3.3
2018,Feb,72202,69822,2380,3.3
2018,Mar,72377,69954,2423,3.3
2018,Apr,72468,70363,2105,2.9
2018,May,72191,70104,2087,2.9
2018,Jun,72605,70070,2535,3.5
2018,Jul,72754,70289,2465,3.4
2018,Aug,72135,69698,2437,3.4
2018,Sep,72400,70168,2232,3.1
2018,Oct,72417,70268,2149,3.0
2018,Nov,72691,70542,2149,3.0
2018,Dec,72821,70621,2200,3.0
2019,Jan,72700,70220,2480,3.4
2019,Feb,72940,70679,2261,3.1
2019,Mar,72974,70718,2256,3.1
2019,Apr,72649,70825,1824,2.5
2019,May,72552,70660,1892,2.6
2019,Jun,73169,70845,2324,3.2
2019,Jul,73493,71080,2413,3.3
2019,Aug,73358,70965,2393,3.3
2019,Sep,73664,71527,2137,2.9
2019,Oct,74073,71988,2085,2.8
2019,Nov,74243,72119,2124,2.9
2019,Dec,74184,72165,2019,2.7
2020,Jan,74269,71976,2293,3.1
2020,Feb,74522,72296,2226,3.0
2020,Mar,73050,69711,3339,4.6
2020,Apr,66789,58843,7946,11.9
