Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480930000000003,LAUCN480930000000004,LAUCN480930000000005,LAUCN480930000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Comanche County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,5884,5415,469,8.0
2010,Feb,5893,5439,454,7.7
2010,Mar,6015,5550,465,7.7
2010,Apr,6128,5671,457,7.5
2010,May,6101,5649,452,7.4
2010,Jun,6214,5726,488,7.9
2010,Jul,6170,5689,481,7.8
2010,Aug,6044,5582,462,7.6
2010,Sep,6050,5604,446,7.4
2010,Oct,5968,5542,426,7.1
2010,Nov,5934,5494,440,7.4
2010,Dec,5891,5475,416,7.1
2011,Jan,5797,5349,448,7.7
2011,Feb,5751,5308,443,7.7
2011,Mar,5904,5431,473,8.0
2011,Apr,5929,5507,422,7.1
2011,May,5966,5541,425,7.1
2011,Jun,6111,5605,506,8.3
2011,Jul,6060,5575,485,8.0
2011,Aug,6093,5628,465,7.6
2011,Sep,5982,5531,451,7.5
2011,Oct,5894,5483,411,7.0
2011,Nov,5906,5521,385,6.5
2011,Dec,5955,5577,378,6.3
2012,Jan,5725,5322,403,7.0
2012,Feb,5706,5317,389,6.8
2012,Mar,5736,5350,386,6.7
2012,Apr,5804,5453,351,6.0
2012,May,5820,5440,380,6.5
2012,Jun,5894,5475,419,7.1
2012,Jul,5892,5469,423,7.2
2012,Aug,5789,5420,369,6.4
2012,Sep,5823,5492,331,5.7
2012,Oct,5783,5458,325,5.6
2012,Nov,5756,5442,314,5.5
2012,Dec,5742,5408,334,5.8
2013,Jan,5678,5304,374,6.6
2013,Feb,5655,5313,342,6.0
2013,Mar,5614,5291,323,5.8
2013,Apr,5693,5379,314,5.5
2013,May,5746,5418,328,5.7
2013,Jun,5818,5433,385,6.6
2013,Jul,5704,5327,377,6.6
2013,Aug,5591,5260,331,5.9
2013,Sep,5662,5339,323,5.7
2013,Oct,5588,5281,307,5.5
2013,Nov,5534,5242,292,5.3
2013,Dec,5565,5290,275,4.9
2014,Jan,5414,5126,288,5.3
2014,Feb,5510,5226,284,5.2
2014,Mar,5535,5256,279,5.0
2014,Apr,5669,5429,240,4.2
2014,May,5719,5456,263,4.6
2014,Jun,5707,5425,282,4.9
2014,Jul,5644,5323,321,5.7
2014,Aug,5537,5259,278,5.0
2014,Sep,5508,5240,268,4.9
2014,Oct,5494,5248,246,4.5
2014,Nov,5425,5187,238,4.4
2014,Dec,5348,5133,215,4.0
2015,Jan,5308,5062,246,4.6
2015,Feb,5403,5176,227,4.2
2015,Mar,5438,5198,240,4.4
2015,Apr,5432,5213,219,4.0
2015,May,5457,5224,233,4.3
2015,Jun,5449,5196,253,4.6
2015,Jul,5338,5103,235,4.4
2015,Aug,5270,5052,218,4.1
2015,Sep,5361,5136,225,4.2
2015,Oct,5331,5117,214,4.0
2015,Nov,5247,5030,217,4.1
2015,Dec,5279,5081,198,3.8
2016,Jan,5210,4989,221,4.2
2016,Feb,5370,5148,222,4.1
2016,Mar,5431,5209,222,4.1
2016,Apr,5430,5216,214,3.9
2016,May,5501,5285,216,3.9
2016,Jun,5438,5185,253,4.7
2016,Jul,5342,5080,262,4.9
2016,Aug,5355,5114,241,4.5
2016,Sep,5357,5112,245,4.6
2016,Oct,5286,5059,227,4.3
2016,Nov,5258,5043,215,4.1
2016,Dec,5294,5067,227,4.3
2017,Jan,5244,5003,241,4.6
2017,Feb,5340,5103,237,4.4
2017,Mar,5428,5214,214,3.9
2017,Apr,5388,5212,176,3.3
2017,May,5385,5200,185,3.4
2017,Jun,5365,5170,195,3.6
2017,Jul,5233,5033,200,3.8
2017,Aug,5259,5057,202,3.8
2017,Sep,5236,5051,185,3.5
2017,Oct,5271,5107,164,3.1
2017,Nov,5250,5075,175,3.3
2017,Dec,5256,5087,169,3.2
2018,Jan,5205,5006,199,3.8
2018,Feb,5311,5097,214,4.0
2018,Mar,5460,5256,204,3.7
2018,Apr,5411,5236,175,3.2
2018,May,5461,5284,177,3.2
2018,Jun,5443,5235,208,3.8
2018,Jul,5389,5170,219,4.1
2018,Aug,5380,5195,185,3.4
2018,Sep,5365,5186,179,3.3
2018,Oct,5379,5209,170,3.2
2018,Nov,5354,5177,177,3.3
2018,Dec,5307,5125,182,3.4
2019,Jan,5409,5205,204,3.8
2019,Feb,5534,5348,186,3.4
2019,Mar,5588,5411,177,3.2
2019,Apr,5536,5394,142,2.6
2019,May,5557,5402,155,2.8
2019,Jun,5605,5420,185,3.3
2019,Jul,5587,5392,195,3.5
2019,Aug,5697,5504,193,3.4
2019,Sep,5660,5487,173,3.1
2019,Oct,5685,5503,182,3.2
2019,Nov,5605,5414,191,3.4
2019,Dec,5624,5438,186,3.3
2020,Jan,5582,5370,212,3.8
2020,Feb,5640,5436,204,3.6
2020,Mar,5639,5333,306,5.4
2020,Apr,4833,4499,334,6.9
