Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480950000000003,LAUCN480950000000004,LAUCN480950000000005,LAUCN480950000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Concho County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1464,1379,85,5.8
2010,Feb,1473,1377,96,6.5
2010,Mar,1529,1438,91,6.0
2010,Apr,1581,1496,85,5.4
2010,May,1564,1472,92,5.9
2010,Jun,1637,1537,100,6.1
2010,Jul,1629,1524,105,6.4
2010,Aug,1588,1493,95,6.0
2010,Sep,1591,1502,89,5.6
2010,Oct,1594,1512,82,5.1
2010,Nov,1569,1488,81,5.2
2010,Dec,1570,1491,79,5.0
2011,Jan,1540,1460,80,5.2
2011,Feb,1519,1441,78,5.1
2011,Mar,1575,1495,80,5.1
2011,Apr,1555,1484,71,4.6
2011,May,1540,1470,70,4.5
2011,Jun,1617,1537,80,4.9
2011,Jul,1608,1532,76,4.7
2011,Aug,1644,1571,73,4.4
2011,Sep,1604,1532,72,4.5
2011,Oct,1540,1472,68,4.4
2011,Nov,1569,1505,64,4.1
2011,Dec,1599,1532,67,4.2
2012,Jan,1462,1396,66,4.5
2012,Feb,1435,1369,66,4.6
2012,Mar,1466,1404,62,4.2
2012,Apr,1520,1459,61,4.0
2012,May,1533,1465,68,4.4
2012,Jun,1584,1509,75,4.7
2012,Jul,1578,1504,74,4.7
2012,Aug,1542,1475,67,4.3
2012,Sep,1534,1473,61,4.0
2012,Oct,1514,1457,57,3.8
2012,Nov,1498,1445,53,3.5
2012,Dec,1468,1415,53,3.6
2013,Jan,1403,1339,64,4.6
2013,Feb,1405,1340,65,4.6
2013,Mar,1407,1348,59,4.2
2013,Apr,1456,1404,52,3.6
2013,May,1503,1449,54,3.6
2013,Jun,1547,1485,62,4.0
2013,Jul,1558,1495,63,4.0
2013,Aug,1486,1432,54,3.6
2013,Sep,1464,1405,59,4.0
2013,Oct,1441,1389,52,3.6
2013,Nov,1373,1319,54,3.9
2013,Dec,1411,1359,52,3.7
2014,Jan,1385,1337,48,3.5
2014,Feb,1436,1388,48,3.3
2014,Mar,1446,1399,47,3.3
2014,Apr,1451,1416,35,2.4
2014,May,1467,1426,41,2.8
2014,Jun,1464,1421,43,2.9
2014,Jul,1449,1404,45,3.1
2014,Aug,1416,1374,42,3.0
2014,Sep,1406,1363,43,3.1
2014,Oct,1392,1350,42,3.0
2014,Nov,1348,1309,39,2.9
2014,Dec,1328,1293,35,2.6
2015,Jan,1331,1288,43,3.2
2015,Feb,1390,1346,44,3.2
2015,Mar,1437,1396,41,2.9
2015,Apr,1392,1355,37,2.7
2015,May,1432,1389,43,3.0
2015,Jun,1424,1376,48,3.4
2015,Jul,1381,1339,42,3.0
2015,Aug,1330,1287,43,3.2
2015,Sep,1356,1308,48,3.5
2015,Oct,1367,1320,47,3.4
2015,Nov,1308,1258,50,3.8
2015,Dec,1335,1286,49,3.7
2016,Jan,1263,1214,49,3.9
2016,Feb,1390,1342,48,3.5
2016,Mar,1434,1381,53,3.7
2016,Apr,1405,1357,48,3.4
2016,May,1455,1409,46,3.2
2016,Jun,1391,1339,52,3.7
2016,Jul,1287,1238,49,3.8
2016,Aug,1309,1267,42,3.2
2016,Sep,1266,1225,41,3.2
2016,Oct,1275,1237,38,3.0
2016,Nov,1251,1215,36,2.9
2016,Dec,1245,1211,34,2.7
2017,Jan,1250,1213,37,3.0
2017,Feb,1301,1262,39,3.0
2017,Mar,1392,1356,36,2.6
2017,Apr,1373,1341,32,2.3
2017,May,1342,1275,67,5.0
2017,Jun,1208,1139,69,5.7
2017,Jul,1110,1044,66,5.9
2017,Aug,1157,1092,65,5.6
2017,Sep,1095,1041,54,4.9
2017,Oct,1151,1100,51,4.4
2017,Nov,1081,1031,50,4.6
2017,Dec,1098,1053,45,4.1
2018,Jan,1060,1016,44,4.2
2018,Feb,1093,1051,42,3.8
2018,Mar,1180,1140,40,3.4
2018,Apr,1098,1062,36,3.3
2018,May,1155,1119,36,3.1
2018,Jun,1114,1071,43,3.9
2018,Jul,1075,1031,44,4.1
2018,Aug,1139,1093,46,4.0
2018,Sep,1110,1070,40,3.6
2018,Oct,1077,1042,35,3.2
2018,Nov,1049,1015,34,3.2
2018,Dec,1018,982,36,3.5
2019,Jan,1034,997,37,3.6
2019,Feb,1076,1041,35,3.3
2019,Mar,1130,1092,38,3.4
2019,Apr,1098,1062,36,3.3
2019,May,1194,1154,40,3.4
2019,Jun,1250,1205,45,3.6
2019,Jul,1283,1236,47,3.7
2019,Aug,1406,1359,47,3.3
2019,Sep,1353,1311,42,3.1
2019,Oct,1389,1349,40,2.9
2019,Nov,1307,1269,38,2.9
2019,Dec,1330,1296,34,2.6
2020,Jan,1329,1291,38,2.9
2020,Feb,1351,1314,37,2.7
2020,Mar,1354,1300,54,4.0
2020,Apr,1175,1103,72,6.1
