Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480970000000003,LAUCN480970000000004,LAUCN480970000000005,LAUCN480970000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Cooke County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,19049,17496,1553,8.2
2010,Feb,19252,17764,1488,7.7
2010,Mar,19323,17807,1516,7.8
2010,Apr,19504,18111,1393,7.1
2010,May,19432,18036,1396,7.2
2010,Jun,19631,18142,1489,7.6
2010,Jul,19644,18177,1467,7.5
2010,Aug,19602,18182,1420,7.2
2010,Sep,19806,18435,1371,6.9
2010,Oct,19745,18421,1324,6.7
2010,Nov,19724,18370,1354,6.9
2010,Dec,19760,18491,1269,6.4
2011,Jan,19481,18152,1329,6.8
2011,Feb,19634,18345,1289,6.6
2011,Mar,19940,18655,1285,6.4
2011,Apr,20039,18860,1179,5.9
2011,May,20108,18915,1193,5.9
2011,Jun,20397,19035,1362,6.7
2011,Jul,20616,19303,1313,6.4
2011,Aug,20603,19364,1239,6.0
2011,Sep,20842,19606,1236,5.9
2011,Oct,20883,19741,1142,5.5
2011,Nov,20921,19810,1111,5.3
2011,Dec,20935,19854,1081,5.2
2012,Jan,20608,19496,1112,5.4
2012,Feb,20698,19620,1078,5.2
2012,Mar,20729,19662,1067,5.1
2012,Apr,20731,19747,984,4.7
2012,May,20841,19820,1021,4.9
2012,Jun,20843,19702,1141,5.5
2012,Jul,20773,19629,1144,5.5
2012,Aug,20526,19459,1067,5.2
2012,Sep,20637,19643,994,4.8
2012,Oct,20645,19682,963,4.7
2012,Nov,20646,19701,945,4.6
2012,Dec,20633,19672,961,4.7
2013,Jan,20393,19266,1127,5.5
2013,Feb,20448,19394,1054,5.2
2013,Mar,20421,19395,1026,5.0
2013,Apr,20488,19516,972,4.7
2013,May,20579,19531,1048,5.1
2013,Jun,20650,19491,1159,5.6
2013,Jul,20681,19540,1141,5.5
2013,Aug,20418,19374,1044,5.1
2013,Sep,20559,19552,1007,4.9
2013,Oct,20417,19468,949,4.6
2013,Nov,20411,19506,905,4.4
2013,Dec,20369,19526,843,4.1
2014,Jan,20209,19310,899,4.4
2014,Feb,20417,19525,892,4.4
2014,Mar,20527,19636,891,4.3
2014,Apr,20525,19802,723,3.5
2014,May,20717,19922,795,3.8
2014,Jun,20772,19918,854,4.1
2014,Jul,20736,19839,897,4.3
2014,Aug,20505,19667,838,4.1
2014,Sep,20576,19827,749,3.6
2014,Oct,20618,19910,708,3.4
2014,Nov,20651,19992,659,3.2
2014,Dec,20578,19975,603,2.9
2015,Jan,20473,19768,705,3.4
2015,Feb,20401,19715,686,3.4
2015,Mar,20255,19584,671,3.3
2015,Apr,20007,19352,655,3.3
2015,May,20025,19308,717,3.6
2015,Jun,19960,19150,810,4.1
2015,Jul,19783,18980,803,4.1
2015,Aug,19435,18666,769,4.0
2015,Sep,19293,18575,718,3.7
2015,Oct,19287,18560,727,3.8
2015,Nov,19184,18432,752,3.9
2015,Dec,19146,18426,720,3.8
2016,Jan,18826,18065,761,4.0
2016,Feb,19023,18293,730,3.8
2016,Mar,18987,18237,750,4.0
2016,Apr,18864,18158,706,3.7
2016,May,18918,18227,691,3.7
2016,Jun,18944,18146,798,4.2
2016,Jul,18884,18069,815,4.3
2016,Aug,18823,18043,780,4.1
2016,Sep,18855,18068,787,4.2
2016,Oct,18931,18177,754,4.0
2016,Nov,18940,18224,716,3.8
2016,Dec,18898,18194,704,3.7
2017,Jan,18707,17955,752,4.0
2017,Feb,18863,18125,738,3.9
2017,Mar,19032,18349,683,3.6
2017,Apr,18854,18216,638,3.4
2017,May,18846,18171,675,3.6
2017,Jun,19018,18291,727,3.8
2017,Jul,18933,18230,703,3.7
2017,Aug,18846,18171,675,3.6
2017,Sep,18801,18193,608,3.2
2017,Oct,18747,18097,650,3.5
2017,Nov,18791,18127,664,3.5
2017,Dec,18803,18174,629,3.3
2018,Jan,18760,18068,692,3.7
2018,Feb,18971,18340,631,3.3
2018,Mar,19137,18502,635,3.3
2018,Apr,19061,18509,552,2.9
2018,May,19161,18631,530,2.8
2018,Jun,19226,18582,644,3.3
2018,Jul,19175,18544,631,3.3
2018,Aug,19162,18567,595,3.1
2018,Sep,19232,18670,562,2.9
2018,Oct,19446,18926,520,2.7
2018,Nov,19430,18897,533,2.7
2018,Dec,19352,18810,542,2.8
2019,Jan,19544,18899,645,3.3
2019,Feb,19854,19279,575,2.9
2019,Mar,19999,19426,573,2.9
2019,Apr,19925,19470,455,2.3
2019,May,19839,19366,473,2.4
2019,Jun,19962,19376,586,2.9
2019,Jul,19996,19387,609,3.0
2019,Aug,19668,19097,571,2.9
2019,Sep,19688,19152,536,2.7
2019,Oct,19818,19278,540,2.7
2019,Nov,19784,19236,548,2.8
2019,Dec,19767,19249,518,2.6
2020,Jan,19723,19108,615,3.1
2020,Feb,20000,19373,627,3.1
2020,Mar,19810,18927,883,4.5
2020,Apr,18736,16112,2624,14.0
