Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN480990000000003,LAUCN480990000000004,LAUCN480990000000005,LAUCN480990000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Coryell County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,24911,22940,1971,7.9
2010,Feb,24963,23112,1851,7.4
2010,Mar,25037,23216,1821,7.3
2010,Apr,25417,23604,1813,7.1
2010,May,25369,23568,1801,7.1
2010,Jun,25421,23443,1978,7.8
2010,Jul,25494,23522,1972,7.7
2010,Aug,25509,23559,1950,7.6
2010,Sep,25513,23628,1885,7.4
2010,Oct,25409,23546,1863,7.3
2010,Nov,25542,23573,1969,7.7
2010,Dec,25470,23583,1887,7.4
2011,Jan,25589,23590,1999,7.8
2011,Feb,25684,23736,1948,7.6
2011,Mar,25667,23755,1912,7.4
2011,Apr,25618,23769,1849,7.2
2011,May,25677,23773,1904,7.4
2011,Jun,25753,23606,2147,8.3
2011,Jul,25676,23557,2119,8.3
2011,Aug,25576,23532,2044,8.0
2011,Sep,25768,23701,2067,8.0
2011,Oct,25712,23742,1970,7.7
2011,Nov,25665,23757,1908,7.4
2011,Dec,25565,23725,1840,7.2
2012,Jan,25172,23243,1929,7.7
2012,Feb,25220,23358,1862,7.4
2012,Mar,25241,23437,1804,7.1
2012,Apr,25193,23458,1735,6.9
2012,May,25338,23477,1861,7.3
2012,Jun,25469,23406,2063,8.1
2012,Jul,25626,23569,2057,8.0
2012,Aug,25467,23546,1921,7.5
2012,Sep,25586,23745,1841,7.2
2012,Oct,25627,23810,1817,7.1
2012,Nov,25416,23654,1762,6.9
2012,Dec,25393,23635,1758,6.9
2013,Jan,25106,23164,1942,7.7
2013,Feb,24993,23201,1792,7.2
2013,Mar,25011,23257,1754,7.0
2013,Apr,25169,23437,1732,6.9
2013,May,25325,23494,1831,7.2
2013,Jun,25338,23318,2020,8.0
2013,Jul,25453,23486,1967,7.7
2013,Aug,25349,23455,1894,7.5
2013,Sep,25427,23578,1849,7.3
2013,Oct,25146,23376,1770,7.0
2013,Nov,25215,23579,1636,6.5
2013,Dec,25126,23583,1543,6.1
2014,Jan,24835,23209,1626,6.5
2014,Feb,24860,23246,1614,6.5
2014,Mar,24825,23249,1576,6.3
2014,Apr,24832,23468,1364,5.5
2014,May,24919,23435,1484,6.0
2014,Jun,24823,23256,1567,6.3
2014,Jul,24795,23180,1615,6.5
2014,Aug,24627,23088,1539,6.2
2014,Sep,24624,23199,1425,5.8
2014,Oct,24666,23311,1355,5.5
2014,Nov,24675,23350,1325,5.4
2014,Dec,24515,23325,1190,4.9
2015,Jan,24170,22873,1297,5.4
2015,Feb,24244,23068,1176,4.9
2015,Mar,24235,23111,1124,4.6
2015,Apr,24337,23305,1032,4.2
2015,May,24489,23347,1142,4.7
2015,Jun,24352,23152,1200,4.9
2015,Jul,24502,23264,1238,5.1
2015,Aug,24461,23285,1176,4.8
2015,Sep,24570,23379,1191,4.8
2015,Oct,24717,23540,1177,4.8
2015,Nov,24975,23819,1156,4.6
2015,Dec,25042,23956,1086,4.3
2016,Jan,24136,23035,1101,4.6
2016,Feb,24329,23234,1095,4.5
2016,Mar,24371,23264,1107,4.5
2016,Apr,24366,23310,1056,4.3
2016,May,24355,23301,1054,4.3
2016,Jun,24404,23175,1229,5.0
2016,Jul,24472,23225,1247,5.1
2016,Aug,24387,23182,1205,4.9
2016,Sep,24506,23287,1219,5.0
2016,Oct,24466,23326,1140,4.7
2016,Nov,24598,23480,1118,4.5
2016,Dec,24496,23413,1083,4.4
2017,Jan,24327,23083,1244,5.1
2017,Feb,24398,23185,1213,5.0
2017,Mar,24379,23240,1139,4.7
2017,Apr,24473,23458,1015,4.1
2017,May,24475,23456,1019,4.2
2017,Jun,24399,23321,1078,4.4
2017,Jul,24404,23320,1084,4.4
2017,Aug,24367,23272,1095,4.5
2017,Sep,24444,23426,1018,4.2
2017,Oct,24289,23346,943,3.9
2017,Nov,24486,23477,1009,4.1
2017,Dec,24354,23400,954,3.9
2018,Jan,23887,22832,1055,4.4
2018,Feb,24006,22980,1026,4.3
2018,Mar,23858,22858,1000,4.2
2018,Apr,23893,22972,921,3.9
2018,May,23846,22929,917,3.8
2018,Jun,23852,22750,1102,4.6
2018,Jul,23882,22834,1048,4.4
2018,Aug,23698,22679,1019,4.3
2018,Sep,23874,22913,961,4.0
2018,Oct,23930,22968,962,4.0
2018,Nov,24007,23058,949,4.0
2018,Dec,24011,23032,979,4.1
2019,Jan,24005,22902,1103,4.6
2019,Feb,24061,23061,1000,4.2
2019,Mar,23955,23009,946,3.9
2019,Apr,23962,23165,797,3.3
2019,May,23947,23105,842,3.5
2019,Jun,24018,23002,1016,4.2
2019,Jul,24148,23100,1048,4.3
2019,Aug,24036,23037,999,4.2
2019,Sep,24193,23284,909,3.8
2019,Oct,24308,23413,895,3.7
2019,Nov,24466,23544,922,3.8
2019,Dec,24366,23496,870,3.6
2020,Jan,24422,23453,969,4.0
2020,Feb,24525,23583,942,3.8
2020,Mar,24174,22854,1320,5.5
2020,Apr,21948,19620,2328,10.6
