Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481010000000003,LAUCN481010000000004,LAUCN481010000000005,LAUCN481010000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Cottle County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,641,597,44,6.9
2010,Feb,640,592,48,7.5
2010,Mar,662,614,48,7.3
2010,Apr,672,625,47,7.0
2010,May,676,629,47,7.0
2010,Jun,697,646,51,7.3
2010,Jul,699,645,54,7.7
2010,Aug,680,630,50,7.4
2010,Sep,674,626,48,7.1
2010,Oct,668,622,46,6.9
2010,Nov,658,613,45,6.8
2010,Dec,655,619,36,5.5
2011,Jan,638,597,41,6.4
2011,Feb,639,594,45,7.0
2011,Mar,662,613,49,7.4
2011,Apr,664,618,46,6.9
2011,May,659,613,46,7.0
2011,Jun,686,637,49,7.1
2011,Jul,685,633,52,7.6
2011,Aug,682,630,52,7.6
2011,Sep,675,620,55,8.1
2011,Oct,659,607,52,7.9
2011,Nov,676,618,58,8.6
2011,Dec,684,629,55,8.0
2012,Jan,662,605,57,8.6
2012,Feb,647,592,55,8.5
2012,Mar,660,606,54,8.2
2012,Apr,659,609,50,7.6
2012,May,680,631,49,7.2
2012,Jun,715,663,52,7.3
2012,Jul,712,663,49,6.9
2012,Aug,691,644,47,6.8
2012,Sep,681,636,45,6.6
2012,Oct,638,588,50,7.8
2012,Nov,626,583,43,6.9
2012,Dec,616,572,44,7.1
2013,Jan,603,555,48,8.0
2013,Feb,612,564,48,7.8
2013,Mar,588,550,38,6.5
2013,Apr,605,567,38,6.3
2013,May,623,581,42,6.7
2013,Jun,643,594,49,7.6
2013,Jul,638,594,44,6.9
2013,Aug,627,582,45,7.2
2013,Sep,635,589,46,7.2
2013,Oct,654,611,43,6.6
2013,Nov,637,600,37,5.8
2013,Dec,627,598,29,4.6
2014,Jan,620,588,32,5.2
2014,Feb,633,593,40,6.3
2014,Mar,619,585,34,5.5
2014,Apr,615,587,28,4.6
2014,May,610,577,33,5.4
2014,Jun,615,579,36,5.9
2014,Jul,612,572,40,6.5
2014,Aug,609,569,40,6.6
2014,Sep,584,553,31,5.3
2014,Oct,594,555,39,6.6
2014,Nov,586,536,50,8.5
2014,Dec,571,527,44,7.7
2015,Jan,547,498,49,9.0
2015,Feb,555,513,42,7.6
2015,Mar,566,523,43,7.6
2015,Apr,553,515,38,6.9
2015,May,571,529,42,7.4
2015,Jun,569,529,40,7.0
2015,Jul,560,521,39,7.0
2015,Aug,533,498,35,6.6
2015,Sep,530,494,36,6.8
2015,Oct,532,497,35,6.6
2015,Nov,513,478,35,6.8
2015,Dec,519,486,33,6.4
2016,Jan,503,471,32,6.4
2016,Feb,527,496,31,5.9
2016,Mar,536,509,27,5.0
2016,Apr,531,507,24,4.5
2016,May,545,520,25,4.6
2016,Jun,537,509,28,5.2
2016,Jul,526,498,28,5.3
2016,Aug,530,506,24,4.5
2016,Sep,534,506,28,5.2
2016,Oct,524,498,26,5.0
2016,Nov,509,484,25,4.9
2016,Dec,497,473,24,4.8
2017,Jan,478,450,28,5.9
2017,Feb,501,473,28,5.6
2017,Mar,531,506,25,4.7
2017,Apr,538,518,20,3.7
2017,May,548,527,21,3.8
2017,Jun,529,507,22,4.2
2017,Jul,519,499,20,3.9
2017,Aug,526,507,19,3.6
2017,Sep,506,484,22,4.3
2017,Oct,535,517,18,3.4
2017,Nov,520,497,23,4.4
2017,Dec,511,490,21,4.1
2018,Jan,509,487,22,4.3
2018,Feb,518,495,23,4.4
2018,Mar,536,510,26,4.9
2018,Apr,528,501,27,5.1
2018,May,543,519,24,4.4
2018,Jun,540,516,24,4.4
2018,Jul,517,494,23,4.4
2018,Aug,537,514,23,4.3
2018,Sep,526,504,22,4.2
2018,Oct,546,525,21,3.8
2018,Nov,541,519,22,4.1
2018,Dec,541,518,23,4.3
2019,Jan,542,516,26,4.8
2019,Feb,544,517,27,5.0
2019,Mar,557,534,23,4.1
2019,Apr,553,535,18,3.3
2019,May,561,542,19,3.4
2019,Jun,557,535,22,3.9
2019,Jul,542,521,21,3.9
2019,Aug,551,531,20,3.6
2019,Sep,540,517,23,4.3
2019,Oct,562,539,23,4.1
2019,Nov,549,521,28,5.1
2019,Dec,549,522,27,4.9
2020,Jan,544,516,28,5.1
2020,Feb,547,521,26,4.8
2020,Mar,552,517,35,6.3
2020,Apr,450,420,30,6.7
