Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481030000000003,LAUCN481030000000004,LAUCN481030000000005,LAUCN481030000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Crane County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1785,1624,161,9.0
2010,Feb,1759,1614,145,8.2
2010,Mar,1790,1652,138,7.7
2010,Apr,1804,1666,138,7.6
2010,May,1789,1663,126,7.0
2010,Jun,1825,1684,141,7.7
2010,Jul,1846,1706,140,7.6
2010,Aug,1830,1692,138,7.5
2010,Sep,1831,1704,127,6.9
2010,Oct,1853,1724,129,7.0
2010,Nov,1858,1720,138,7.4
2010,Dec,1857,1720,137,7.4
2011,Jan,1877,1735,142,7.6
2011,Feb,1868,1730,138,7.4
2011,Mar,1888,1761,127,6.7
2011,Apr,1866,1747,119,6.4
2011,May,1865,1746,119,6.4
2011,Jun,1918,1776,142,7.4
2011,Jul,1937,1805,132,6.8
2011,Aug,1952,1817,135,6.9
2011,Sep,1962,1831,131,6.7
2011,Oct,1959,1834,125,6.4
2011,Nov,1972,1859,113,5.7
2011,Dec,1966,1861,105,5.3
2012,Jan,2009,1901,108,5.4
2012,Feb,2013,1911,102,5.1
2012,Mar,2026,1925,101,5.0
2012,Apr,2030,1930,100,4.9
2012,May,2060,1954,106,5.1
2012,Jun,2095,1974,121,5.8
2012,Jul,2098,1986,112,5.3
2012,Aug,2077,1976,101,4.9
2012,Sep,2114,2021,93,4.4
2012,Oct,2086,1995,91,4.4
2012,Nov,2065,1979,86,4.2
2012,Dec,2054,1971,83,4.0
2013,Jan,2041,1941,100,4.9
2013,Feb,2070,1975,95,4.6
2013,Mar,2072,1974,98,4.7
2013,Apr,2065,1972,93,4.5
2013,May,2076,1976,100,4.8
2013,Jun,2101,1990,111,5.3
2013,Jul,2160,2058,102,4.7
2013,Aug,2134,2040,94,4.4
2013,Sep,2138,2049,89,4.2
2013,Oct,2082,1999,83,4.0
2013,Nov,2058,1976,82,4.0
2013,Dec,2049,1975,74,3.6
2014,Jan,2054,1976,78,3.8
2014,Feb,2069,1986,83,4.0
2014,Mar,2070,1991,79,3.8
2014,Apr,2018,1950,68,3.4
2014,May,2018,1937,81,4.0
2014,Jun,1988,1893,95,4.8
2014,Jul,2036,1940,96,4.7
2014,Aug,2017,1930,87,4.3
2014,Sep,1982,1901,81,4.1
2014,Oct,1974,1900,74,3.7
2014,Nov,1961,1887,74,3.8
2014,Dec,1921,1851,70,3.6
2015,Jan,1871,1785,86,4.6
2015,Feb,1863,1778,85,4.6
2015,Mar,1847,1757,90,4.9
2015,Apr,1877,1789,88,4.7
2015,May,1849,1753,96,5.2
2015,Jun,1830,1725,105,5.7
2015,Jul,1825,1711,114,6.2
2015,Aug,1808,1699,109,6.0
2015,Sep,1815,1699,116,6.4
2015,Oct,1830,1705,125,6.8
2015,Nov,1810,1682,128,7.1
2015,Dec,1819,1696,123,6.8
2016,Jan,1728,1605,123,7.1
2016,Feb,1764,1621,143,8.1
2016,Mar,1790,1618,172,9.6
2016,Apr,1757,1592,165,9.4
2016,May,1739,1580,159,9.1
2016,Jun,1735,1562,173,10.0
2016,Jul,1697,1538,159,9.4
2016,Aug,1680,1525,155,9.2
2016,Sep,1676,1530,146,8.7
2016,Oct,1640,1517,123,7.5
2016,Nov,1626,1510,116,7.1
2016,Dec,1620,1506,114,7.0
2017,Jan,1603,1489,114,7.1
2017,Feb,1626,1516,110,6.8
2017,Mar,1615,1519,96,5.9
2017,Apr,1645,1563,82,5.0
2017,May,1633,1553,80,4.9
2017,Jun,1633,1551,82,5.0
2017,Jul,1567,1485,82,5.2
2017,Aug,1572,1490,82,5.2
2017,Sep,1549,1476,73,4.7
2017,Oct,1546,1478,68,4.4
2017,Nov,1543,1476,67,4.3
2017,Dec,1585,1518,67,4.2
2018,Jan,1669,1595,74,4.4
2018,Feb,1701,1624,77,4.5
2018,Mar,1721,1646,75,4.4
2018,Apr,1731,1661,70,4.0
2018,May,1809,1743,66,3.6
2018,Jun,1826,1749,77,4.2
2018,Jul,1819,1749,70,3.8
2018,Aug,1818,1753,65,3.6
2018,Sep,1822,1761,61,3.3
2018,Oct,1812,1750,62,3.4
2018,Nov,1815,1754,61,3.4
2018,Dec,1815,1756,59,3.3
2019,Jan,1535,1469,66,4.3
2019,Feb,1545,1480,65,4.2
2019,Mar,1535,1478,57,3.7
2019,Apr,1531,1485,46,3.0
2019,May,1570,1516,54,3.4
2019,Jun,1594,1527,67,4.2
2019,Jul,1588,1517,71,4.5
2019,Aug,1589,1522,67,4.2
2019,Sep,1590,1525,65,4.1
2019,Oct,1584,1520,64,4.0
2019,Nov,1577,1513,64,4.1
2019,Dec,1588,1517,71,4.5
2020,Jan,1547,1467,80,5.2
2020,Feb,1559,1483,76,4.9
2020,Mar,1559,1446,113,7.2
2020,Apr,1459,1190,269,18.4
