Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481050000000003,LAUCN481050000000004,LAUCN481050000000005,LAUCN481050000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Crockett County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1665,1476,189,11.4
2010,Feb,1681,1506,175,10.4
2010,Mar,1720,1554,166,9.7
2010,Apr,1752,1601,151,8.6
2010,May,1716,1568,148,8.6
2010,Jun,1757,1608,149,8.5
2010,Jul,1773,1629,144,8.1
2010,Aug,1733,1601,132,7.6
2010,Sep,1713,1580,133,7.8
2010,Oct,1714,1587,127,7.4
2010,Nov,1710,1582,128,7.5
2010,Dec,1716,1602,114,6.6
2011,Jan,1675,1556,119,7.1
2011,Feb,1641,1529,112,6.8
2011,Mar,1678,1556,122,7.3
2011,Apr,1714,1606,108,6.3
2011,May,1732,1620,112,6.5
2011,Jun,1755,1631,124,7.1
2011,Jul,1745,1621,124,7.1
2011,Aug,1752,1638,114,6.5
2011,Sep,1711,1597,114,6.7
2011,Oct,1703,1597,106,6.2
2011,Nov,1727,1629,98,5.7
2011,Dec,1741,1644,97,5.6
2012,Jan,1688,1591,97,5.7
2012,Feb,1692,1600,92,5.4
2012,Mar,1692,1604,88,5.2
2012,Apr,1715,1631,84,4.9
2012,May,1787,1700,87,4.9
2012,Jun,1827,1725,102,5.6
2012,Jul,1823,1727,96,5.3
2012,Aug,1826,1735,91,5.0
2012,Sep,1801,1717,84,4.7
2012,Oct,1775,1690,85,4.8
2012,Nov,1804,1724,80,4.4
2012,Dec,1853,1770,83,4.5
2013,Jan,1845,1748,97,5.3
2013,Feb,1852,1763,89,4.8
2013,Mar,1837,1750,87,4.7
2013,Apr,1875,1791,84,4.5
2013,May,1915,1811,104,5.4
2013,Jun,1943,1829,114,5.9
2013,Jul,1973,1862,111,5.6
2013,Aug,1957,1856,101,5.2
2013,Sep,1946,1844,102,5.2
2013,Oct,1868,1773,95,5.1
2013,Nov,1804,1716,88,4.9
2013,Dec,1789,1706,83,4.6
2014,Jan,1815,1731,84,4.6
2014,Feb,1833,1748,85,4.6
2014,Mar,1849,1764,85,4.6
2014,Apr,1906,1837,69,3.6
2014,May,1960,1887,73,3.7
2014,Jun,1981,1907,74,3.7
2014,Jul,1994,1919,75,3.8
2014,Aug,1991,1916,75,3.8
2014,Sep,2017,1945,72,3.6
2014,Oct,1960,1892,68,3.5
2014,Nov,1959,1895,64,3.3
2014,Dec,1955,1898,57,2.9
2015,Jan,1902,1820,82,4.3
2015,Feb,1940,1852,88,4.5
2015,Mar,1950,1846,104,5.3
2015,Apr,1981,1868,113,5.7
2015,May,1955,1837,118,6.0
2015,Jun,1952,1832,120,6.1
2015,Jul,1931,1805,126,6.5
2015,Aug,1910,1784,126,6.6
2015,Sep,1903,1782,121,6.4
2015,Oct,1844,1713,131,7.1
2015,Nov,1793,1668,125,7.0
2015,Dec,1751,1633,118,6.7
2016,Jan,1756,1622,134,7.6
2016,Feb,1768,1623,145,8.2
2016,Mar,1765,1615,150,8.5
2016,Apr,1748,1611,137,7.8
2016,May,1766,1631,135,7.6
2016,Jun,1780,1640,140,7.9
2016,Jul,1754,1621,133,7.6
2016,Aug,1771,1637,134,7.6
2016,Sep,1730,1601,129,7.5
2016,Oct,1658,1543,115,6.9
2016,Nov,1660,1549,111,6.7
2016,Dec,1667,1565,102,6.1
2017,Jan,1678,1579,99,5.9
2017,Feb,1681,1597,84,5.0
2017,Mar,1689,1612,77,4.6
2017,Apr,1708,1641,67,3.9
2017,May,1695,1627,68,4.0
2017,Jun,1719,1650,69,4.0
2017,Jul,1710,1644,66,3.9
2017,Aug,1712,1647,65,3.8
2017,Sep,1700,1638,62,3.6
2017,Oct,1647,1594,53,3.2
2017,Nov,1606,1552,54,3.4
2017,Dec,1606,1554,52,3.2
2018,Jan,1592,1536,56,3.5
2018,Feb,1611,1559,52,3.2
2018,Mar,1647,1595,52,3.2
2018,Apr,1636,1590,46,2.8
2018,May,1637,1592,45,2.7
2018,Jun,1651,1600,51,3.1
2018,Jul,1670,1623,47,2.8
2018,Aug,1687,1640,47,2.8
2018,Sep,1631,1586,45,2.8
2018,Oct,1613,1571,42,2.6
2018,Nov,1616,1574,42,2.6
2018,Dec,1606,1564,42,2.6
2019,Jan,1604,1558,46,2.9
2019,Feb,1630,1589,41,2.5
2019,Mar,1643,1601,42,2.6
2019,Apr,1654,1620,34,2.1
2019,May,1652,1614,38,2.3
2019,Jun,1660,1614,46,2.8
2019,Jul,1650,1602,48,2.9
2019,Aug,1662,1609,53,3.2
2019,Sep,1628,1574,54,3.3
2019,Oct,1625,1568,57,3.5
2019,Nov,1617,1561,56,3.5
2019,Dec,1625,1563,62,3.8
2020,Jan,1621,1550,71,4.4
2020,Feb,1646,1577,69,4.2
2020,Mar,1641,1541,100,6.1
2020,Apr,1471,1302,169,11.5
