Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481070000000003,LAUCN481070000000004,LAUCN481070000000005,LAUCN481070000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Crosby County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,2799,2580,219,7.8
2010,Feb,2832,2588,244,8.6
2010,Mar,2904,2660,244,8.4
2010,Apr,2989,2746,243,8.1
2010,May,2945,2711,234,7.9
2010,Jun,3029,2778,251,8.3
2010,Jul,3038,2769,269,8.9
2010,Aug,2975,2730,245,8.2
2010,Sep,2988,2753,235,7.9
2010,Oct,2978,2768,210,7.1
2010,Nov,2968,2750,218,7.3
2010,Dec,2963,2757,206,7.0
2011,Jan,2915,2678,237,8.1
2011,Feb,2915,2652,263,9.0
2011,Mar,2978,2725,253,8.5
2011,Apr,2968,2732,236,8.0
2011,May,2953,2720,233,7.9
2011,Jun,3051,2780,271,8.9
2011,Jul,3045,2777,268,8.8
2011,Aug,3096,2824,272,8.8
2011,Sep,3067,2799,268,8.7
2011,Oct,2985,2739,246,8.2
2011,Nov,3034,2793,241,7.9
2011,Dec,3046,2813,233,7.6
2012,Jan,2882,2640,242,8.4
2012,Feb,2850,2614,236,8.3
2012,Mar,2878,2654,224,7.8
2012,Apr,2922,2714,208,7.1
2012,May,2936,2721,215,7.3
2012,Jun,2998,2761,237,7.9
2012,Jul,2971,2744,227,7.6
2012,Aug,2926,2716,210,7.2
2012,Sep,2940,2748,192,6.5
2012,Oct,2900,2725,175,6.0
2012,Nov,2890,2719,171,5.9
2012,Dec,2834,2666,168,5.9
2013,Jan,2696,2498,198,7.3
2013,Feb,2706,2519,187,6.9
2013,Mar,2683,2501,182,6.8
2013,Apr,2760,2597,163,5.9
2013,May,2810,2644,166,5.9
2013,Jun,2849,2664,185,6.5
2013,Jul,2865,2688,177,6.2
2013,Aug,2778,2622,156,5.6
2013,Sep,2809,2656,153,5.4
2013,Oct,2794,2649,145,5.2
2013,Nov,2708,2579,129,4.8
2013,Dec,2739,2618,121,4.4
2014,Jan,2627,2497,130,4.9
2014,Feb,2710,2576,134,4.9
2014,Mar,2725,2585,140,5.1
2014,Apr,2742,2625,117,4.3
2014,May,2774,2647,127,4.6
2014,Jun,2761,2624,137,5.0
2014,Jul,2746,2605,141,5.1
2014,Aug,2683,2552,131,4.9
2014,Sep,2704,2578,126,4.7
2014,Oct,2698,2582,116,4.3
2014,Nov,2645,2532,113,4.3
2014,Dec,2595,2492,103,4.0
2015,Jan,2601,2476,125,4.8
2015,Feb,2682,2559,123,4.6
2015,Mar,2731,2611,120,4.4
2015,Apr,2681,2571,110,4.1
2015,May,2721,2603,118,4.3
2015,Jun,2711,2578,133,4.9
2015,Jul,2658,2529,129,4.9
2015,Aug,2595,2481,114,4.4
2015,Sep,2623,2515,108,4.1
2015,Oct,2626,2524,102,3.9
2015,Nov,2566,2469,97,3.8
2015,Dec,2580,2486,94,3.6
2016,Jan,2471,2372,99,4.0
2016,Feb,2633,2529,104,3.9
2016,Mar,2689,2583,106,3.9
2016,Apr,2698,2592,106,3.9
2016,May,2753,2646,107,3.9
2016,Jun,2696,2557,139,5.2
2016,Jul,2595,2450,145,5.6
2016,Aug,2630,2500,130,4.9
2016,Sep,2590,2466,124,4.8
2016,Oct,2577,2467,110,4.3
2016,Nov,2565,2462,103,4.0
2016,Dec,2545,2445,100,3.9
2017,Jan,2460,2352,108,4.4
2017,Feb,2541,2420,121,4.8
2017,Mar,2651,2528,123,4.6
2017,Apr,2625,2520,105,4.0
2017,May,2631,2527,104,4.0
2017,Jun,2595,2469,126,4.9
2017,Jul,2502,2374,128,5.1
2017,Aug,2549,2428,121,4.7
2017,Sep,2482,2391,91,3.7
2017,Oct,2539,2457,82,3.2
2017,Nov,2491,2404,87,3.5
2017,Dec,2498,2410,88,3.5
2018,Jan,2387,2287,100,4.2
2018,Feb,2466,2345,121,4.9
2018,Mar,2564,2442,122,4.8
2018,Apr,2498,2393,105,4.2
2018,May,2558,2454,104,4.1
2018,Jun,2521,2389,132,5.2
2018,Jul,2481,2349,132,5.3
2018,Aug,2533,2408,125,4.9
2018,Sep,2500,2384,116,4.6
2018,Oct,2471,2362,109,4.4
2018,Nov,2449,2345,104,4.2
2018,Dec,2397,2297,100,4.2
2019,Jan,2402,2298,104,4.3
2019,Feb,2460,2363,97,3.9
2019,Mar,2522,2424,98,3.9
2019,Apr,2488,2408,80,3.2
2019,May,2526,2439,87,3.4
2019,Jun,2502,2391,111,4.4
2019,Jul,2511,2389,122,4.9
2019,Aug,2579,2469,110,4.3
2019,Sep,2508,2410,98,3.9
2019,Oct,2548,2456,92,3.6
2019,Nov,2464,2379,85,3.4
2019,Dec,2476,2396,80,3.2
2020,Jan,2466,2369,97,3.9
2020,Feb,2501,2411,90,3.6
2020,Mar,2486,2367,119,4.8
2020,Apr,2168,2014,154,7.1
