Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481090000000003,LAUCN481090000000004,LAUCN481090000000005,LAUCN481090000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Culberson County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1026,949,77,7.5
2010,Feb,1018,942,76,7.5
2010,Mar,1024,954,70,6.8
2010,Apr,1041,968,73,7.0
2010,May,1017,949,68,6.7
2010,Jun,1031,960,71,6.9
2010,Jul,1057,980,77,7.3
2010,Aug,1052,977,75,7.1
2010,Sep,1050,980,70,6.7
2010,Oct,1025,954,71,6.9
2010,Nov,1021,943,78,7.6
2010,Dec,1025,952,73,7.1
2011,Jan,1009,934,75,7.4
2011,Feb,1005,921,84,8.4
2011,Mar,1016,938,78,7.7
2011,Apr,995,926,69,6.9
2011,May,994,924,70,7.0
2011,Jun,1021,947,74,7.2
2011,Jul,1039,967,72,6.9
2011,Aug,1042,972,70,6.7
2011,Sep,1043,974,69,6.6
2011,Oct,1016,953,63,6.2
2011,Nov,1018,954,64,6.3
2011,Dec,1022,966,56,5.5
2012,Jan,987,922,65,6.6
2012,Feb,985,924,61,6.2
2012,Mar,994,933,61,6.1
2012,Apr,982,923,59,6.0
2012,May,997,933,64,6.4
2012,Jun,1028,958,70,6.8
2012,Jul,1005,936,69,6.9
2012,Aug,986,928,58,5.9
2012,Sep,971,918,53,5.5
2012,Oct,974,919,55,5.6
2012,Nov,975,924,51,5.2
2012,Dec,984,934,50,5.1
2013,Jan,978,919,59,6.0
2013,Feb,993,939,54,5.4
2013,Mar,1018,965,53,5.2
2013,Apr,1009,961,48,4.8
2013,May,1023,969,54,5.3
2013,Jun,1048,990,58,5.5
2013,Jul,1048,991,57,5.4
2013,Aug,1058,1006,52,4.9
2013,Sep,1059,1007,52,4.9
2013,Oct,1009,959,50,5.0
2013,Nov,994,953,41,4.1
2013,Dec,992,953,39,3.9
2014,Jan,965,920,45,4.7
2014,Feb,969,922,47,4.9
2014,Mar,978,935,43,4.4
2014,Apr,988,952,36,3.6
2014,May,1034,994,40,3.9
2014,Jun,1055,1011,44,4.2
2014,Jul,1062,1014,48,4.5
2014,Aug,1066,1022,44,4.1
2014,Sep,1063,1020,43,4.0
2014,Oct,983,942,41,4.2
2014,Nov,998,962,36,3.6
2014,Dec,1004,965,39,3.9
2015,Jan,1012,970,42,4.2
2015,Feb,1009,970,39,3.9
2015,Mar,1011,967,44,4.4
2015,Apr,1002,956,46,4.6
2015,May,1010,961,49,4.9
2015,Jun,1034,986,48,4.6
2015,Jul,1057,1008,49,4.6
2015,Aug,1054,1015,39,3.7
2015,Sep,1070,1027,43,4.0
2015,Oct,1070,1032,38,3.6
2015,Nov,1074,1032,42,3.9
2015,Dec,1076,1038,38,3.5
2016,Jan,1033,996,37,3.6
2016,Feb,1013,975,38,3.8
2016,Mar,1013,974,39,3.8
2016,Apr,1004,967,37,3.7
2016,May,1011,971,40,4.0
2016,Jun,1013,970,43,4.2
2016,Jul,1034,990,44,4.3
2016,Aug,1028,981,47,4.6
2016,Sep,991,949,42,4.2
2016,Oct,941,901,40,4.3
2016,Nov,949,911,38,4.0
2016,Dec,960,918,42,4.4
2017,Jan,922,880,42,4.6
2017,Feb,919,875,44,4.8
2017,Mar,932,890,42,4.5
2017,Apr,912,878,34,3.7
2017,May,921,885,36,3.9
2017,Jun,924,890,34,3.7
2017,Jul,942,910,32,3.4
2017,Aug,929,896,33,3.6
2017,Sep,906,877,29,3.2
2017,Oct,927,901,26,2.8
2017,Nov,914,886,28,3.1
2017,Dec,930,903,27,2.9
2018,Jan,952,922,30,3.2
2018,Feb,958,925,33,3.4
2018,Mar,973,942,31,3.2
2018,Apr,961,936,25,2.6
2018,May,971,946,25,2.6
2018,Jun,974,943,31,3.2
2018,Jul,985,955,30,3.0
2018,Aug,990,960,30,3.0
2018,Sep,973,944,29,3.0
2018,Oct,980,952,28,2.9
2018,Nov,996,967,29,2.9
2018,Dec,990,956,34,3.4
2019,Jan,1005,968,37,3.7
2019,Feb,996,966,30,3.0
2019,Mar,998,967,31,3.1
2019,Apr,1025,974,51,5.0
2019,May,1046,1002,44,4.2
2019,Jun,1060,1011,49,4.6
2019,Jul,1086,1033,53,4.9
2019,Aug,1079,1031,48,4.4
2019,Sep,1066,1022,44,4.1
2019,Oct,1062,1019,43,4.0
2019,Nov,1054,1012,42,4.0
2019,Dec,1056,1019,37,3.5
2020,Jan,1056,1013,43,4.1
2020,Feb,1048,1013,35,3.3
2020,Mar,1040,992,48,4.6
2020,Apr,892,800,92,10.3
