Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481110000000003,LAUCN481110000000004,LAUCN481110000000005,LAUCN481110000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Dallam County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,3668,3446,222,6.1
2010,Feb,3678,3443,235,6.4
2010,Mar,3743,3530,213,5.7
2010,Apr,3865,3641,224,5.8
2010,May,3831,3621,210,5.5
2010,Jun,3972,3757,215,5.4
2010,Jul,3991,3783,208,5.2
2010,Aug,3953,3751,202,5.1
2010,Sep,3984,3784,200,5.0
2010,Oct,4023,3834,189,4.7
2010,Nov,3932,3742,190,4.8
2010,Dec,3923,3745,178,4.5
2011,Jan,3852,3669,183,4.8
2011,Feb,3861,3670,191,4.9
2011,Mar,3975,3795,180,4.5
2011,Apr,4022,3851,171,4.3
2011,May,4025,3850,175,4.3
2011,Jun,4171,3970,201,4.8
2011,Jul,4148,3958,190,4.6
2011,Aug,4178,4002,176,4.2
2011,Sep,4163,3983,180,4.3
2011,Oct,4093,3927,166,4.1
2011,Nov,4069,3913,156,3.8
2011,Dec,4093,3936,157,3.8
2012,Jan,3937,3776,161,4.1
2012,Feb,3921,3761,160,4.1
2012,Mar,3986,3836,150,3.8
2012,Apr,4065,3924,141,3.5
2012,May,4084,3936,148,3.6
2012,Jun,4188,4019,169,4.0
2012,Jul,4122,3955,167,4.1
2012,Aug,4032,3879,153,3.8
2012,Sep,4033,3894,139,3.4
2012,Oct,4010,3873,137,3.4
2012,Nov,3965,3838,127,3.2
2012,Dec,3917,3788,129,3.3
2013,Jan,3826,3680,146,3.8
2013,Feb,3791,3652,139,3.7
2013,Mar,3795,3664,131,3.5
2013,Apr,3910,3782,128,3.3
2013,May,3983,3844,139,3.5
2013,Jun,4052,3898,154,3.8
2013,Jul,4060,3910,150,3.7
2013,Aug,3946,3807,139,3.5
2013,Sep,3924,3784,140,3.6
2013,Oct,3907,3780,127,3.3
2013,Nov,3780,3656,124,3.3
2013,Dec,3809,3691,118,3.1
2014,Jan,3804,3681,123,3.2
2014,Feb,3894,3767,127,3.3
2014,Mar,3924,3802,122,3.1
2014,Apr,3962,3858,104,2.6
2014,May,3984,3868,116,2.9
2014,Jun,4049,3920,129,3.2
2014,Jul,4022,3889,133,3.3
2014,Aug,3922,3800,122,3.1
2014,Sep,3919,3811,108,2.8
2014,Oct,3874,3774,100,2.6
2014,Nov,3780,3682,98,2.6
2014,Dec,3754,3665,89,2.4
2015,Jan,3883,3783,100,2.6
2015,Feb,3957,3870,87,2.2
2015,Mar,4047,3966,81,2.0
2015,Apr,4040,3966,74,1.8
2015,May,4054,3967,87,2.1
2015,Jun,4088,3989,99,2.4
2015,Jul,4059,3962,97,2.4
2015,Aug,3988,3904,84,2.1
2015,Sep,4006,3920,86,2.1
2015,Oct,4035,3951,84,2.1
2015,Nov,3969,3882,87,2.2
2015,Dec,3963,3886,77,1.9
2016,Jan,3872,3789,83,2.1
2016,Feb,4018,3932,86,2.1
2016,Mar,4066,3984,82,2.0
2016,Apr,4055,3982,73,1.8
2016,May,4138,4061,77,1.9
2016,Jun,4076,3984,92,2.3
2016,Jul,3991,3888,103,2.6
2016,Aug,3981,3881,100,2.5
2016,Sep,3935,3844,91,2.3
2016,Oct,3979,3884,95,2.4
2016,Nov,3952,3861,91,2.3
2016,Dec,3910,3819,91,2.3
2017,Jan,3917,3823,94,2.4
2017,Feb,3982,3889,93,2.3
2017,Mar,4113,4028,85,2.1
2017,Apr,4145,4072,73,1.8
2017,May,4165,4080,85,2.0
2017,Jun,4162,4067,95,2.3
2017,Jul,4071,3968,103,2.5
2017,Aug,4072,3977,95,2.3
2017,Sep,4021,3939,82,2.0
2017,Oct,4090,4009,81,2.0
2017,Nov,4003,3923,80,2.0
2017,Dec,3971,3895,76,1.9
2018,Jan,3974,3893,81,2.0
2018,Feb,4028,3942,86,2.1
2018,Mar,4139,4053,86,2.1
2018,Apr,4077,4007,70,1.7
2018,May,4169,4092,77,1.8
2018,Jun,4133,4038,95,2.3
2018,Jul,4101,4009,92,2.2
2018,Aug,4088,4006,82,2.0
2018,Sep,4018,3941,77,1.9
2018,Oct,3977,3902,75,1.9
2018,Nov,3928,3849,79,2.0
2018,Dec,3861,3777,84,2.2
2019,Jan,3846,3756,90,2.3
2019,Feb,3916,3837,79,2.0
2019,Mar,3983,3909,74,1.9
2019,Apr,3903,3842,61,1.6
2019,May,3942,3879,63,1.6
2019,Jun,3925,3838,87,2.2
2019,Jul,3972,3885,87,2.2
2019,Aug,4017,3941,76,1.9
2019,Sep,3891,3820,71,1.8
2019,Oct,3946,3872,74,1.9
2019,Nov,3837,3761,76,2.0
2019,Dec,3842,3767,75,2.0
2020,Jan,3845,3757,88,2.3
2020,Feb,3882,3799,83,2.1
2020,Mar,3860,3743,117,3.0
2020,Apr,3226,3116,110,3.4
