Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481130000000003,LAUCN481130000000004,LAUCN481130000000005,LAUCN481130000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Dallas County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1173342,1067389,105953,9.0
2010,Feb,1175529,1071270,104259,8.9
2010,Mar,1179651,1075932,103719,8.8
2010,Apr,1191611,1091853,99758,8.4
2010,May,1189752,1090195,99557,8.4
2010,Jun,1194232,1089318,104914,8.8
2010,Jul,1201843,1095592,106251,8.8
2010,Aug,1202074,1098422,103652,8.6
2010,Sep,1202894,1101411,101483,8.4
2010,Oct,1203254,1103840,99414,8.3
2010,Nov,1207738,1105055,102683,8.5
2010,Dec,1206255,1107633,98622,8.2
2011,Jan,1199758,1096295,103463,8.6
2011,Feb,1200548,1100042,100506,8.4
2011,Mar,1204010,1105760,98250,8.2
2011,Apr,1205029,1110458,94571,7.8
2011,May,1207859,1110818,97041,8.0
2011,Jun,1213695,1107843,105852,8.7
2011,Jul,1215822,1111472,104350,8.6
2011,Aug,1214530,1112777,101753,8.4
2011,Sep,1221628,1121134,100494,8.2
2011,Oct,1224642,1127601,97041,7.9
2011,Nov,1221522,1129558,91964,7.5
2011,Dec,1218409,1129164,89245,7.3
2012,Jan,1211978,1118555,93423,7.7
2012,Feb,1217067,1124872,92195,7.6
2012,Mar,1217572,1128678,88894,7.3
2012,Apr,1216080,1132847,83233,6.8
2012,May,1221140,1134462,86678,7.1
2012,Jun,1227242,1133360,93882,7.6
2012,Jul,1227024,1133344,93680,7.6
2012,Aug,1220936,1131912,89024,7.3
2012,Sep,1227311,1144254,83057,6.8
2012,Oct,1232466,1150440,82026,6.7
2012,Nov,1230044,1150925,79119,6.4
2012,Dec,1231250,1151108,80142,6.5
2013,Jan,1222171,1132278,89893,7.4
2013,Feb,1220605,1135461,85144,7.0
2013,Mar,1220002,1138340,81662,6.7
2013,Apr,1225656,1147522,78134,6.4
2013,May,1231774,1150297,81477,6.6
2013,Jun,1239390,1150811,88579,7.1
2013,Jul,1241922,1156222,85700,6.9
2013,Aug,1240466,1158523,81943,6.6
2013,Sep,1244438,1163956,80482,6.5
2013,Oct,1238611,1159422,79189,6.4
2013,Nov,1249047,1174785,74262,5.9
2013,Dec,1245109,1175212,69897,5.6
2014,Jan,1239206,1164877,74329,6.0
2014,Feb,1242217,1167556,74661,6.0
2014,Mar,1245871,1173040,72831,5.8
2014,Apr,1243746,1180174,63572,5.1
2014,May,1247536,1179392,68144,5.5
2014,Jun,1252755,1181747,71008,5.7
2014,Jul,1259830,1185741,74089,5.9
2014,Aug,1258325,1186297,72028,5.7
2014,Sep,1257655,1191510,66145,5.3
2014,Oct,1260141,1198281,61860,4.9
2014,Nov,1263840,1203374,60466,4.8
2014,Dec,1257882,1202814,55068,4.4
2015,Jan,1249014,1188030,60984,4.9
2015,Feb,1248527,1192019,56508,4.5
2015,Mar,1245823,1191821,54002,4.3
2015,Apr,1254681,1204886,49795,4.0
2015,May,1259060,1206019,53041,4.2
2015,Jun,1262671,1206596,56075,4.4
2015,Jul,1268580,1211394,57186,4.5
2015,Aug,1266998,1213060,53938,4.3
2015,Sep,1266311,1213103,53208,4.2
2015,Oct,1273063,1220573,52490,4.1
2015,Nov,1280216,1228646,51570,4.0
2015,Dec,1280437,1231888,48549,3.8
2016,Jan,1273374,1222174,51200,4.0
2016,Feb,1281725,1231271,50454,3.9
2016,Mar,1284163,1233130,51033,4.0
2016,Apr,1286590,1239024,47566,3.7
2016,May,1286994,1239383,47611,3.7
2016,Jun,1296268,1241396,54872,4.2
2016,Jul,1305157,1248672,56485,4.3
2016,Aug,1304137,1248830,55307,4.2
2016,Sep,1310169,1254351,55818,4.3
2016,Oct,1312587,1259613,52974,4.0
2016,Nov,1318207,1267276,50931,3.9
2016,Dec,1317328,1266449,50879,3.9
2017,Jan,1310182,1253690,56492,4.3
2017,Feb,1318494,1261309,57185,4.3
2017,Mar,1316592,1262294,54298,4.1
2017,Apr,1320601,1270453,50148,3.8
2017,May,1316615,1266131,50484,3.8
2017,Jun,1323476,1269319,54157,4.1
2017,Jul,1332160,1277781,54379,4.1
2017,Aug,1330031,1274910,55121,4.1
2017,Sep,1339067,1289388,49679,3.7
2017,Oct,1333234,1286708,46526,3.5
2017,Nov,1343359,1295212,48147,3.6
2017,Dec,1339843,1292440,47403,3.5
2018,Jan,1323779,1271197,52582,4.0
2018,Feb,1334968,1281462,53506,4.0
2018,Mar,1328947,1277471,51476,3.9
2018,Apr,1329937,1282063,47874,3.6
2018,May,1328131,1281171,46960,3.5
2018,Jun,1337851,1282578,55273,4.1
2018,Jul,1343655,1289473,54182,4.0
2018,Aug,1331496,1279398,52098,3.9
2018,Sep,1338119,1288956,49163,3.7
2018,Oct,1343450,1296050,47400,3.5
2018,Nov,1350148,1303543,46605,3.5
2018,Dec,1351232,1303420,47812,3.5
2019,Jan,1350914,1295893,55021,4.1
2019,Feb,1353130,1303206,49924,3.7
2019,Mar,1348687,1301545,47142,3.5
2019,Apr,1347592,1306468,41124,3.1
2019,May,1348169,1305837,42332,3.1
2019,Jun,1361272,1311628,49644,3.6
2019,Jul,1371036,1319740,51296,3.7
2019,Aug,1367878,1317877,50001,3.7
2019,Sep,1375918,1329943,45975,3.3
2019,Oct,1378578,1333216,45362,3.3
2019,Nov,1386025,1340838,45187,3.3
2019,Dec,1386624,1343894,42730,3.1
2020,Jan,1383174,1335283,47891,3.5
2020,Feb,1390999,1344725,46274,3.3
2020,Mar,1363851,1298570,65281,4.8
2020,Apr,1274059,1109777,164282,12.9
