Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481150000000003,LAUCN481150000000004,LAUCN481150000000005,LAUCN481150000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Dawson County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,5024,4618,406,8.1
2010,Feb,4972,4567,405,8.1
2010,Mar,5055,4648,407,8.1
2010,Apr,5192,4779,413,8.0
2010,May,5120,4729,391,7.6
2010,Jun,5214,4782,432,8.3
2010,Jul,5116,4695,421,8.2
2010,Aug,5081,4687,394,7.8
2010,Sep,5145,4763,382,7.4
2010,Oct,5239,4872,367,7.0
2010,Nov,5240,4864,376,7.2
2010,Dec,5234,4887,347,6.6
2011,Jan,5284,4895,389,7.4
2011,Feb,5185,4799,386,7.4
2011,Mar,5263,4868,395,7.5
2011,Apr,5191,4816,375,7.2
2011,May,5199,4820,379,7.3
2011,Jun,5288,4867,421,8.0
2011,Jul,5149,4722,427,8.3
2011,Aug,5207,4795,412,7.9
2011,Sep,5239,4825,414,7.9
2011,Oct,5226,4836,390,7.5
2011,Nov,5211,4857,354,6.8
2011,Dec,5227,4880,347,6.6
2012,Jan,5078,4720,358,7.1
2012,Feb,5023,4658,365,7.3
2012,Mar,5048,4707,341,6.8
2012,Apr,5060,4736,324,6.4
2012,May,5095,4758,337,6.6
2012,Jun,5176,4813,363,7.0
2012,Jul,5073,4722,351,6.9
2012,Aug,4976,4648,328,6.6
2012,Sep,5077,4772,305,6.0
2012,Oct,5104,4827,277,5.4
2012,Nov,5113,4840,273,5.3
2012,Dec,5139,4851,288,5.6
2013,Jan,5015,4678,337,6.7
2013,Feb,4941,4617,324,6.6
2013,Mar,4921,4615,306,6.2
2013,Apr,4895,4601,294,6.0
2013,May,4960,4625,335,6.8
2013,Jun,5032,4656,376,7.5
2013,Jul,5000,4648,352,7.0
2013,Aug,4908,4575,333,6.8
2013,Sep,5048,4721,327,6.5
2013,Oct,5091,4788,303,6.0
2013,Nov,5068,4786,282,5.6
2013,Dec,5133,4867,266,5.2
2014,Jan,4946,4679,267,5.4
2014,Feb,4991,4704,287,5.8
2014,Mar,4983,4713,270,5.4
2014,Apr,4850,4624,226,4.7
2014,May,4907,4661,246,5.0
2014,Jun,4891,4631,260,5.3
2014,Jul,4802,4543,259,5.4
2014,Aug,4754,4514,240,5.0
2014,Sep,4876,4657,219,4.5
2014,Oct,4965,4755,210,4.2
2014,Nov,4965,4764,201,4.0
2014,Dec,4922,4748,174,3.5
2015,Jan,4843,4627,216,4.5
2015,Feb,4841,4625,216,4.5
2015,Mar,4841,4628,213,4.4
2015,Apr,4809,4605,204,4.2
2015,May,4854,4635,219,4.5
2015,Jun,4841,4610,231,4.8
2015,Jul,4757,4521,236,5.0
2015,Aug,4698,4478,220,4.7
2015,Sep,4703,4483,220,4.7
2015,Oct,4712,4501,211,4.5
2015,Nov,4688,4481,207,4.4
2015,Dec,4688,4489,199,4.2
2016,Jan,4463,4268,195,4.4
2016,Feb,4565,4364,201,4.4
2016,Mar,4634,4408,226,4.9
2016,Apr,4749,4516,233,4.9
2016,May,4787,4556,231,4.8
2016,Jun,4732,4474,258,5.5
2016,Jul,4609,4345,264,5.7
2016,Aug,4621,4356,265,5.7
2016,Sep,4602,4346,256,5.6
2016,Oct,4617,4387,230,5.0
2016,Nov,4641,4426,215,4.6
2016,Dec,4638,4423,215,4.6
2017,Jan,4640,4399,241,5.2
2017,Feb,4672,4425,247,5.3
2017,Mar,4761,4523,238,5.0
2017,Apr,4760,4507,253,5.3
2017,May,4740,4507,233,4.9
2017,Jun,4722,4471,251,5.3
2017,Jul,4602,4363,239,5.2
2017,Aug,4566,4335,231,5.1
2017,Sep,4489,4288,201,4.5
2017,Oct,4513,4332,181,4.0
2017,Nov,4552,4360,192,4.2
2017,Dec,4554,4369,185,4.1
2018,Jan,4544,4351,193,4.2
2018,Feb,4558,4354,204,4.5
2018,Mar,4606,4414,192,4.2
2018,Apr,4604,4418,186,4.0
2018,May,4664,4486,178,3.8
2018,Jun,4644,4426,218,4.7
2018,Jul,4596,4388,208,4.5
2018,Aug,4505,4288,217,4.8
2018,Sep,4498,4293,205,4.6
2018,Oct,4511,4324,187,4.1
2018,Nov,4532,4360,172,3.8
2018,Dec,4495,4319,176,3.9
2019,Jan,4674,4477,197,4.2
2019,Feb,4685,4502,183,3.9
2019,Mar,4728,4557,171,3.6
2019,Apr,4597,4445,152,3.3
2019,May,4647,4475,172,3.7
2019,Jun,4599,4412,187,4.1
2019,Jul,4627,4432,195,4.2
2019,Aug,4643,4454,189,4.1
2019,Sep,4584,4400,184,4.0
2019,Oct,4641,4469,172,3.7
2019,Nov,4635,4455,180,3.9
2019,Dec,4645,4468,177,3.8
2020,Jan,4751,4540,211,4.4
2020,Feb,4744,4539,205,4.3
2020,Mar,4711,4431,280,5.9
2020,Apr,4170,3727,443,10.6
