Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481230000000003,LAUCN481230000000004,LAUCN481230000000005,LAUCN481230000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"DeWitt County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,8929,8177,752,8.4
2010,Feb,8927,8210,717,8.0
2010,Mar,8985,8291,694,7.7
2010,Apr,9038,8342,696,7.7
2010,May,8955,8258,697,7.8
2010,Jun,9115,8372,743,8.2
2010,Jul,9186,8444,742,8.1
2010,Aug,9112,8388,724,7.9
2010,Sep,9152,8447,705,7.7
2010,Oct,9140,8474,666,7.3
2010,Nov,9201,8515,686,7.5
2010,Dec,9171,8535,636,6.9
2011,Jan,9191,8522,669,7.3
2011,Feb,9212,8563,649,7.0
2011,Mar,9286,8658,628,6.8
2011,Apr,9442,8848,594,6.3
2011,May,9380,8768,612,6.5
2011,Jun,9575,8893,682,7.1
2011,Jul,9625,8960,665,6.9
2011,Aug,9589,8974,615,6.4
2011,Sep,9585,8976,609,6.4
2011,Oct,9541,8982,559,5.9
2011,Nov,9587,9046,541,5.6
2011,Dec,9686,9172,514,5.3
2012,Jan,9609,9089,520,5.4
2012,Feb,9552,9068,484,5.1
2012,Mar,9639,9168,471,4.9
2012,Apr,9662,9228,434,4.5
2012,May,9756,9295,461,4.7
2012,Jun,9895,9368,527,5.3
2012,Jul,9854,9320,534,5.4
2012,Aug,9812,9339,473,4.8
2012,Sep,9811,9377,434,4.4
2012,Oct,9798,9378,420,4.3
2012,Nov,9761,9350,411,4.2
2012,Dec,9739,9316,423,4.3
2013,Jan,9685,9202,483,5.0
2013,Feb,9633,9180,453,4.7
2013,Mar,9627,9193,434,4.5
2013,Apr,9747,9323,424,4.4
2013,May,9765,9292,473,4.8
2013,Jun,9856,9331,525,5.3
2013,Jul,9746,9225,521,5.3
2013,Aug,9715,9227,488,5.0
2013,Sep,9645,9179,466,4.8
2013,Oct,9658,9220,438,4.5
2013,Nov,9684,9270,414,4.3
2013,Dec,9678,9294,384,4.0
2014,Jan,9765,9354,411,4.2
2014,Feb,9802,9396,406,4.1
2014,Mar,9874,9471,403,4.1
2014,Apr,9960,9620,340,3.4
2014,May,10026,9640,386,3.8
2014,Jun,10188,9770,418,4.1
2014,Jul,10173,9732,441,4.3
2014,Aug,10066,9658,408,4.1
2014,Sep,10080,9709,371,3.7
2014,Oct,10197,9836,361,3.5
2014,Nov,10125,9777,348,3.4
2014,Dec,10063,9758,305,3.0
2015,Jan,10213,9864,349,3.4
2015,Feb,10095,9751,344,3.4
2015,Mar,10135,9789,346,3.4
2015,Apr,9988,9633,355,3.6
2015,May,9950,9574,376,3.8
2015,Jun,10102,9683,419,4.1
2015,Jul,10254,9796,458,4.5
2015,Aug,10127,9689,438,4.3
2015,Sep,10121,9689,432,4.3
2015,Oct,9969,9527,442,4.4
2015,Nov,9874,9439,435,4.4
2015,Dec,9823,9422,401,4.1
2016,Jan,9470,9057,413,4.4
2016,Feb,9542,9111,431,4.5
2016,Mar,9608,9155,453,4.7
2016,Apr,9693,9231,462,4.8
2016,May,9521,9080,441,4.6
2016,Jun,9612,9036,576,6.0
2016,Jul,9619,8992,627,6.5
2016,Aug,9519,8915,604,6.3
2016,Sep,9468,8867,601,6.3
2016,Oct,9415,8865,550,5.8
2016,Nov,9273,8740,533,5.7
2016,Dec,9194,8675,519,5.6
2017,Jan,9391,8834,557,5.9
2017,Feb,9544,9014,530,5.6
2017,Mar,9562,9080,482,5.0
2017,Apr,9521,9081,440,4.6
2017,May,9487,9072,415,4.4
2017,Jun,9621,9203,418,4.3
2017,Jul,9676,9270,406,4.2
2017,Aug,9639,9242,397,4.1
2017,Sep,9663,9294,369,3.8
2017,Oct,9676,9336,340,3.5
2017,Nov,9571,9231,340,3.6
2017,Dec,9637,9300,337,3.5
2018,Jan,9805,9463,342,3.5
2018,Feb,9816,9482,334,3.4
2018,Mar,9832,9516,316,3.2
2018,Apr,9781,9494,287,2.9
2018,May,9766,9479,287,2.9
2018,Jun,9803,9475,328,3.3
2018,Jul,9814,9509,305,3.1
2018,Aug,9724,9418,306,3.1
2018,Sep,9653,9363,290,3.0
2018,Oct,9673,9392,281,2.9
2018,Nov,9514,9246,268,2.8
2018,Dec,9504,9229,275,2.9
2019,Jan,9756,9459,297,3.0
2019,Feb,9749,9483,266,2.7
2019,Mar,9807,9550,257,2.6
2019,Apr,9732,9509,223,2.3
2019,May,9693,9469,224,2.3
2019,Jun,9742,9467,275,2.8
2019,Jul,9860,9584,276,2.8
2019,Aug,9926,9658,268,2.7
2019,Sep,9856,9607,249,2.5
2019,Oct,9895,9639,256,2.6
2019,Nov,9777,9518,259,2.6
2019,Dec,9786,9535,251,2.6
2020,Jan,9922,9657,265,2.7
2020,Feb,9948,9686,262,2.6
2020,Mar,9830,9454,376,3.8
2020,Apr,8637,7971,666,7.7
