Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481170000000003,LAUCN481170000000004,LAUCN481170000000005,LAUCN481170000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Deaf Smith County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,9119,8541,578,6.3
2010,Feb,9132,8570,562,6.2
2010,Mar,9383,8847,536,5.7
2010,Apr,9573,9039,534,5.6
2010,May,9477,8960,517,5.5
2010,Jun,9824,9239,585,6.0
2010,Jul,9691,9108,583,6.0
2010,Aug,9535,8968,567,5.9
2010,Sep,9625,9093,532,5.5
2010,Oct,9611,9092,519,5.4
2010,Nov,9571,9031,540,5.6
2010,Dec,9506,8994,512,5.4
2011,Jan,9467,8907,560,5.9
2011,Feb,9405,8863,542,5.8
2011,Mar,9604,9100,504,5.2
2011,Apr,9562,9072,490,5.1
2011,May,9599,9076,523,5.4
2011,Jun,9866,9278,588,6.0
2011,Jul,9780,9216,564,5.8
2011,Aug,9804,9265,539,5.5
2011,Sep,9781,9244,537,5.5
2011,Oct,9551,9044,507,5.3
2011,Nov,9547,9082,465,4.9
2011,Dec,9624,9161,463,4.8
2012,Jan,9171,8688,483,5.3
2012,Feb,9059,8584,475,5.2
2012,Mar,9149,8714,435,4.8
2012,Apr,9315,8898,417,4.5
2012,May,9393,8959,434,4.6
2012,Jun,9639,9154,485,5.0
2012,Jul,9538,9044,494,5.2
2012,Aug,9392,8956,436,4.6
2012,Sep,9509,9103,406,4.3
2012,Oct,9358,8954,404,4.3
2012,Nov,9247,8859,388,4.2
2012,Dec,9133,8729,404,4.4
2013,Jan,8916,8456,460,5.2
2013,Feb,8907,8472,435,4.9
2013,Mar,8889,8489,400,4.5
2013,Apr,9161,8773,388,4.2
2013,May,9259,8851,408,4.4
2013,Jun,9461,8990,471,5.0
2013,Jul,9517,9072,445,4.7
2013,Aug,9262,8857,405,4.4
2013,Sep,9258,8863,395,4.3
2013,Oct,9212,8836,376,4.1
2013,Nov,8964,8596,368,4.1
2013,Dec,9073,8728,345,3.8
2014,Jan,8911,8554,357,4.0
2014,Feb,9149,8782,367,4.0
2014,Mar,9142,8784,358,3.9
2014,Apr,9214,8925,289,3.1
2014,May,9309,8980,329,3.5
2014,Jun,9346,8981,365,3.9
2014,Jul,9220,8838,382,4.1
2014,Aug,9137,8792,345,3.8
2014,Sep,9151,8834,317,3.5
2014,Oct,9111,8812,299,3.3
2014,Nov,8902,8618,284,3.2
2014,Dec,8831,8569,262,3.0
2015,Jan,8656,8352,304,3.5
2015,Feb,8903,8610,293,3.3
2015,Mar,9022,8742,280,3.1
2015,Apr,8842,8590,252,2.9
2015,May,9016,8742,274,3.0
2015,Jun,9041,8741,300,3.3
2015,Jul,8810,8519,291,3.3
2015,Aug,8643,8374,269,3.1
2015,Sep,8716,8440,276,3.2
2015,Oct,8735,8473,262,3.0
2015,Nov,8568,8306,262,3.1
2015,Dec,8600,8345,255,3.0
2016,Jan,8300,8030,270,3.3
2016,Feb,8704,8442,262,3.0
2016,Mar,8911,8639,272,3.1
2016,Apr,8893,8663,230,2.6
2016,May,8985,8748,237,2.6
2016,Jun,8828,8541,287,3.3
2016,Jul,8532,8243,289,3.4
2016,Aug,8657,8368,289,3.3
2016,Sep,8506,8215,291,3.4
2016,Oct,8359,8092,267,3.2
2016,Nov,8327,8065,262,3.1
2016,Dec,8276,8011,265,3.2
2017,Jan,8183,7903,280,3.4
2017,Feb,8352,8057,295,3.5
2017,Mar,8622,8345,277,3.2
2017,Apr,8574,8331,243,2.8
2017,May,8598,8349,249,2.9
2017,Jun,8528,8249,279,3.3
2017,Jul,8255,7971,284,3.4
2017,Aug,8343,8086,257,3.1
2017,Sep,8145,7920,225,2.8
2017,Oct,8298,8095,203,2.4
2017,Nov,8100,7875,225,2.8
2017,Dec,8197,7964,233,2.8
2018,Jan,8178,7933,245,3.0
2018,Feb,8355,8108,247,3.0
2018,Mar,8678,8430,248,2.9
2018,Apr,8433,8217,216,2.6
2018,May,8621,8412,209,2.4
2018,Jun,8565,8294,271,3.2
2018,Jul,8452,8190,262,3.1
2018,Aug,8570,8334,236,2.8
2018,Sep,8445,8220,225,2.7
2018,Oct,8354,8139,215,2.6
2018,Nov,8289,8077,212,2.6
2018,Dec,8169,7946,223,2.7
2019,Jan,8139,7883,256,3.1
2019,Feb,8329,8091,238,2.9
2019,Mar,8473,8238,235,2.8
2019,Apr,8418,8220,198,2.4
2019,May,8525,8323,202,2.4
2019,Jun,8505,8240,265,3.1
2019,Jul,8496,8220,276,3.2
2019,Aug,8666,8419,247,2.9
2019,Sep,8553,8325,228,2.7
2019,Oct,8662,8446,216,2.5
2019,Nov,8419,8191,228,2.7
2019,Dec,8463,8253,210,2.5
2020,Jan,8409,8173,236,2.8
2020,Feb,8522,8283,239,2.8
2020,Mar,8483,8151,332,3.9
2020,Apr,7282,6938,344,4.7
