Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481190000000003,LAUCN481190000000004,LAUCN481190000000005,LAUCN481190000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Delta County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,2543,2335,208,8.2
2010,Feb,2540,2335,205,8.1
2010,Mar,2585,2380,205,7.9
2010,Apr,2600,2404,196,7.5
2010,May,2590,2397,193,7.5
2010,Jun,2602,2403,199,7.6
2010,Jul,2586,2377,209,8.1
2010,Aug,2596,2386,210,8.1
2010,Sep,2621,2412,209,8.0
2010,Oct,2635,2426,209,7.9
2010,Nov,2636,2423,213,8.1
2010,Dec,2620,2419,201,7.7
2011,Jan,2594,2372,222,8.6
2011,Feb,2617,2404,213,8.1
2011,Mar,2633,2416,217,8.2
2011,Apr,2630,2426,204,7.8
2011,May,2633,2428,205,7.8
2011,Jun,2655,2420,235,8.9
2011,Jul,2655,2419,236,8.9
2011,Aug,2646,2426,220,8.3
2011,Sep,2652,2435,217,8.2
2011,Oct,2623,2423,200,7.6
2011,Nov,2618,2431,187,7.1
2011,Dec,2627,2439,188,7.2
2012,Jan,2553,2359,194,7.6
2012,Feb,2589,2396,193,7.5
2012,Mar,2608,2430,178,6.8
2012,Apr,2590,2427,163,6.3
2012,May,2618,2441,177,6.8
2012,Jun,2649,2457,192,7.2
2012,Jul,2603,2420,183,7.0
2012,Aug,2628,2454,174,6.6
2012,Sep,2683,2512,171,6.4
2012,Oct,2652,2484,168,6.3
2012,Nov,2662,2496,166,6.2
2012,Dec,2660,2497,163,6.1
2013,Jan,2593,2410,183,7.1
2013,Feb,2614,2442,172,6.6
2013,Mar,2621,2460,161,6.1
2013,Apr,2625,2464,161,6.1
2013,May,2666,2487,179,6.7
2013,Jun,2686,2500,186,6.9
2013,Jul,2633,2460,173,6.6
2013,Aug,2632,2463,169,6.4
2013,Sep,2667,2503,164,6.1
2013,Oct,2636,2469,167,6.3
2013,Nov,2625,2480,145,5.5
2013,Dec,2631,2492,139,5.3
2014,Jan,2619,2473,146,5.6
2014,Feb,2682,2511,171,6.4
2014,Mar,2696,2529,167,6.2
2014,Apr,2687,2535,152,5.7
2014,May,2685,2522,163,6.1
2014,Jun,2683,2516,167,6.2
2014,Jul,2656,2481,175,6.6
2014,Aug,2639,2463,176,6.7
2014,Sep,2664,2494,170,6.4
2014,Oct,2639,2486,153,5.8
2014,Nov,2619,2474,145,5.5
2014,Dec,2594,2460,134,5.2
2015,Jan,2579,2439,140,5.4
2015,Feb,2615,2485,130,5.0
2015,Mar,2614,2493,121,4.6
2015,Apr,2581,2465,116,4.5
2015,May,2597,2475,122,4.7
2015,Jun,2604,2480,124,4.8
2015,Jul,2591,2467,124,4.8
2015,Aug,2575,2462,113,4.4
2015,Sep,2601,2491,110,4.2
2015,Oct,2595,2489,106,4.1
2015,Nov,2590,2484,106,4.1
2015,Dec,2578,2484,94,3.6
2016,Jan,2561,2461,100,3.9
2016,Feb,2615,2520,95,3.6
2016,Mar,2652,2557,95,3.6
2016,Apr,2603,2517,86,3.3
2016,May,2609,2519,90,3.4
2016,Jun,2583,2481,102,3.9
2016,Jul,2593,2483,110,4.2
2016,Aug,2608,2500,108,4.1
2016,Sep,2615,2508,107,4.1
2016,Oct,2602,2509,93,3.6
2016,Nov,2611,2513,98,3.8
2016,Dec,2610,2512,98,3.8
2017,Jan,2602,2496,106,4.1
2017,Feb,2612,2519,93,3.6
2017,Mar,2628,2539,89,3.4
2017,Apr,2575,2502,73,2.8
2017,May,2574,2494,80,3.1
2017,Jun,2568,2476,92,3.6
2017,Jul,2550,2456,94,3.7
2017,Aug,2542,2455,87,3.4
2017,Sep,2468,2388,80,3.2
2017,Oct,2488,2412,76,3.1
2017,Nov,2484,2408,76,3.1
2017,Dec,2479,2399,80,3.2
2018,Jan,2472,2383,89,3.6
2018,Feb,2499,2406,93,3.7
2018,Mar,2472,2387,85,3.4
2018,Apr,2433,2355,78,3.2
2018,May,2436,2361,75,3.1
2018,Jun,2454,2366,88,3.6
2018,Jul,2412,2326,86,3.6
2018,Aug,2417,2332,85,3.5
2018,Sep,2445,2357,88,3.6
2018,Oct,2442,2361,81,3.3
2018,Nov,2437,2363,74,3.0
2018,Dec,2428,2344,84,3.5
2019,Jan,2429,2339,90,3.7
2019,Feb,2443,2361,82,3.4
2019,Mar,2454,2371,83,3.4
2019,Apr,2431,2360,71,2.9
2019,May,2432,2359,73,3.0
2019,Jun,2429,2348,81,3.3
2019,Jul,2419,2332,87,3.6
2019,Aug,2450,2358,92,3.8
2019,Sep,2456,2371,85,3.5
2019,Oct,2466,2382,84,3.4
2019,Nov,2452,2369,83,3.4
2019,Dec,2448,2368,80,3.3
2020,Jan,2440,2352,88,3.6
2020,Feb,2466,2376,90,3.6
2020,Mar,2440,2319,121,5.0
2020,Apr,2143,1955,188,8.8
