Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481210000000003,LAUCN481210000000004,LAUCN481210000000005,LAUCN481210000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Denton County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,362405,334952,27453,7.6
2010,Feb,363098,336328,26770,7.4
2010,Mar,364475,337964,26511,7.3
2010,Apr,368623,343036,25587,6.9
2010,May,367970,342838,25132,6.8
2010,Jun,369009,342317,26692,7.2
2010,Jul,371573,344408,27165,7.3
2010,Aug,371856,345316,26540,7.1
2010,Sep,371865,346182,25683,6.9
2010,Oct,372212,347074,25138,6.8
2010,Nov,373271,347289,25982,7.0
2010,Dec,372699,347957,24742,6.6
2011,Jan,374940,348631,26309,7.0
2011,Feb,375160,349997,25163,6.7
2011,Mar,376809,352087,24722,6.6
2011,Apr,377420,353682,23738,6.3
2011,May,378368,354127,24241,6.4
2011,Jun,380411,353112,27299,7.2
2011,Jul,381051,354166,26885,7.1
2011,Aug,380642,354549,26093,6.9
2011,Sep,382624,357133,25491,6.7
2011,Oct,383211,359187,24024,6.3
2011,Nov,382400,359634,22766,6.0
2011,Dec,381375,359470,21905,5.7
2012,Jan,383694,360442,23252,6.1
2012,Feb,385620,362747,22873,5.9
2012,Mar,386583,364034,22549,5.8
2012,Apr,386400,365440,20960,5.4
2012,May,388322,366317,22005,5.7
2012,Jun,389988,365629,24359,6.2
2012,Jul,390195,365626,24569,6.3
2012,Aug,387951,364998,22953,5.9
2012,Sep,389838,368677,21161,5.4
2012,Oct,391726,370810,20916,5.3
2012,Nov,390879,370642,20237,5.2
2012,Dec,391319,370876,20443,5.2
2013,Jan,395096,371754,23342,5.9
2013,Feb,394856,372863,21993,5.6
2013,Mar,395686,374061,21625,5.5
2013,Apr,396943,376781,20162,5.1
2013,May,399367,378028,21339,5.3
2013,Jun,402178,378256,23922,5.9
2013,Jul,403143,379976,23167,5.7
2013,Aug,402603,380749,21854,5.4
2013,Sep,403624,382453,21171,5.2
2013,Oct,401705,380962,20743,5.2
2013,Nov,405140,385663,19477,4.8
2013,Dec,404234,385965,18269,4.5
2014,Jan,409540,389746,19794,4.8
2014,Feb,410624,390471,20153,4.9
2014,Mar,412540,392420,20120,4.9
2014,Apr,411857,394851,17006,4.1
2014,May,413034,394729,18305,4.4
2014,Jun,414961,395443,19518,4.7
2014,Jul,417313,396849,20464,4.9
2014,Aug,416747,397067,19680,4.7
2014,Sep,416231,398408,17823,4.3
2014,Oct,417246,400524,16722,4.0
2014,Nov,418378,402065,16313,3.9
2014,Dec,417043,402315,14728,3.5
2015,Jan,423120,406345,16775,4.0
2015,Feb,423740,408091,15649,3.7
2015,Mar,423005,407699,15306,3.6
2015,Apr,425634,411782,13852,3.3
2015,May,427029,412043,14986,3.5
2015,Jun,428680,412435,16245,3.8
2015,Jul,430476,414104,16372,3.8
2015,Aug,430039,414818,15221,3.5
2015,Sep,429696,414747,14949,3.5
2015,Oct,431929,417182,14747,3.4
2015,Nov,434568,419896,14672,3.4
2015,Dec,435069,421303,13766,3.2
2016,Jan,442939,428124,14815,3.3
2016,Feb,446120,431487,14633,3.3
2016,Mar,447058,431888,15170,3.4
2016,Apr,447443,433693,13750,3.1
2016,May,447779,433874,13905,3.1
2016,Jun,450937,434355,16582,3.7
2016,Jul,454160,437045,17115,3.8
2016,Aug,453898,437279,16619,3.7
2016,Sep,456279,439630,16649,3.6
2016,Oct,457012,441187,15825,3.5
2016,Nov,459203,443951,15252,3.3
2016,Dec,458618,443294,15324,3.3
2017,Jan,464843,447720,17123,3.7
2017,Feb,467702,450373,17329,3.7
2017,Mar,467676,450986,16690,3.6
2017,Apr,468808,453997,14811,3.2
2017,May,467594,452391,15203,3.3
2017,Jun,469963,453284,16679,3.5
2017,Jul,473290,456564,16726,3.5
2017,Aug,472250,455598,16652,3.5
2017,Sep,475771,460890,14881,3.1
2017,Oct,473683,459821,13862,2.9
2017,Nov,477146,462653,14493,3.0
2017,Dec,475432,461268,14164,3.0
2018,Jan,478342,462461,15881,3.3
2018,Feb,482594,466439,16155,3.3
2018,Mar,481029,464763,16266,3.4
2018,Apr,480915,466423,14492,3.0
2018,May,480667,466408,14259,3.0
2018,Jun,483976,467107,16869,3.5
2018,Jul,485966,469556,16410,3.4
2018,Aug,482124,466183,15941,3.3
2018,Sep,484739,469670,15069,3.1
2018,Oct,486734,472326,14408,3.0
2018,Nov,489163,474945,14218,2.9
2018,Dec,488930,474424,14506,3.0
2019,Jan,488088,471592,16496,3.4
2019,Feb,489715,474447,15268,3.1
2019,Mar,488960,473930,15030,3.1
2019,Apr,488569,475935,12634,2.6
2019,May,488831,475839,12992,2.7
2019,Jun,493353,477944,15409,3.1
2019,Jul,497065,480939,16126,3.2
2019,Aug,495743,480216,15527,3.1
2019,Sep,499067,484662,14405,2.9
2019,Oct,500290,486234,14056,2.8
2019,Nov,502765,488652,14113,2.8
2019,Dec,503039,489671,13368,2.7
2020,Jan,501409,486523,14886,3.0
2020,Feb,504556,489893,14663,2.9
2020,Mar,494392,473282,21110,4.3
2020,Apr,464928,405095,59833,12.9
