Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481250000000003,LAUCN481250000000004,LAUCN481250000000005,LAUCN481250000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Dickens County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,809,730,79,9.8
2010,Feb,810,732,78,9.6
2010,Mar,844,762,82,9.7
2010,Apr,865,780,85,9.8
2010,May,848,770,78,9.2
2010,Jun,884,802,82,9.3
2010,Jul,875,787,88,10.1
2010,Aug,906,785,121,13.4
2010,Sep,899,779,120,13.3
2010,Oct,895,785,110,12.3
2010,Nov,902,779,123,13.6
2010,Dec,909,781,128,14.1
2011,Jan,899,747,152,16.9
2011,Feb,894,733,161,18.0
2011,Mar,896,746,150,16.7
2011,Apr,913,771,142,15.6
2011,May,904,764,140,15.5
2011,Jun,929,786,143,15.4
2011,Jul,924,785,139,15.0
2011,Aug,937,792,145,15.5
2011,Sep,909,771,138,15.2
2011,Oct,892,767,125,14.0
2011,Nov,906,789,117,12.9
2011,Dec,913,801,112,12.3
2012,Jan,853,751,102,12.0
2012,Feb,836,729,107,12.8
2012,Mar,833,736,97,11.6
2012,Apr,849,760,89,10.5
2012,May,847,759,88,10.4
2012,Jun,863,768,95,11.0
2012,Jul,855,765,90,10.5
2012,Aug,830,742,88,10.6
2012,Sep,816,734,82,10.0
2012,Oct,813,736,77,9.5
2012,Nov,807,731,76,9.4
2012,Dec,800,722,78,9.8
2013,Jan,771,689,82,10.6
2013,Feb,758,682,76,10.0
2013,Mar,752,677,75,10.0
2013,Apr,766,701,65,8.5
2013,May,769,698,71,9.2
2013,Jun,807,729,78,9.7
2013,Jul,795,721,74,9.3
2013,Aug,761,690,71,9.3
2013,Sep,780,707,73,9.4
2013,Oct,782,713,69,8.8
2013,Nov,755,692,63,8.3
2013,Dec,752,694,58,7.7
2014,Jan,730,673,57,7.8
2014,Feb,745,689,56,7.5
2014,Mar,748,689,59,7.9
2014,Apr,749,700,49,6.5
2014,May,762,713,49,6.4
2014,Jun,769,723,46,6.0
2014,Jul,760,714,46,6.1
2014,Aug,736,691,45,6.1
2014,Sep,747,704,43,5.8
2014,Oct,756,715,41,5.4
2014,Nov,736,697,39,5.3
2014,Dec,707,674,33,4.7
2015,Jan,699,664,35,5.0
2015,Feb,702,670,32,4.6
2015,Mar,731,695,36,4.9
2015,Apr,727,695,32,4.4
2015,May,740,704,36,4.9
2015,Jun,734,701,33,4.5
2015,Jul,720,685,35,4.9
2015,Aug,701,667,34,4.9
2015,Sep,684,654,30,4.4
2015,Oct,677,649,28,4.1
2015,Nov,658,629,29,4.4
2015,Dec,661,634,27,4.1
2016,Jan,672,638,34,5.1
2016,Feb,693,662,31,4.5
2016,Mar,714,677,37,5.2
2016,Apr,723,692,31,4.3
2016,May,744,712,32,4.3
2016,Jun,735,696,39,5.3
2016,Jul,681,644,37,5.4
2016,Aug,678,641,37,5.5
2016,Sep,675,637,38,5.6
2016,Oct,666,634,32,4.8
2016,Nov,657,624,33,5.0
2016,Dec,663,632,31,4.7
2017,Jan,667,633,34,5.1
2017,Feb,677,641,36,5.3
2017,Mar,698,663,35,5.0
2017,Apr,700,666,34,4.9
2017,May,712,677,35,4.9
2017,Jun,701,668,33,4.7
2017,Jul,664,626,38,5.7
2017,Aug,689,650,39,5.7
2017,Sep,664,634,30,4.5
2017,Oct,670,645,25,3.7
2017,Nov,655,628,27,4.1
2017,Dec,661,634,27,4.1
2018,Jan,654,626,28,4.3
2018,Feb,667,636,31,4.6
2018,Mar,691,661,30,4.3
2018,Apr,692,665,27,3.9
2018,May,711,686,25,3.5
2018,Jun,700,669,31,4.4
2018,Jul,672,641,31,4.6
2018,Aug,668,639,29,4.3
2018,Sep,670,643,27,4.0
2018,Oct,659,634,25,3.8
2018,Nov,649,622,27,4.2
2018,Dec,641,614,27,4.2
2019,Jan,664,630,34,5.1
2019,Feb,665,634,31,4.7
2019,Mar,671,641,30,4.5
2019,Apr,684,659,25,3.7
2019,May,692,666,26,3.8
2019,Jun,704,674,30,4.3
2019,Jul,691,661,30,4.3
2019,Aug,706,674,32,4.5
2019,Sep,674,644,30,4.5
2019,Oct,690,660,30,4.3
2019,Nov,664,636,28,4.2
2019,Dec,670,642,28,4.2
2020,Jan,671,639,32,4.8
2020,Feb,669,641,28,4.2
2020,Mar,670,631,39,5.8
2020,Apr,592,538,54,9.1
