Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481270000000003,LAUCN481270000000004,LAUCN481270000000005,LAUCN481270000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Dimmit County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,3699,3249,450,12.2
2010,Feb,3674,3251,423,11.5
2010,Mar,3707,3298,409,11.0
2010,Apr,3691,3311,380,10.3
2010,May,3675,3316,359,9.8
2010,Jun,3797,3373,424,11.2
2010,Jul,3826,3391,435,11.4
2010,Aug,3965,3547,418,10.5
2010,Sep,4071,3679,392,9.6
2010,Oct,4030,3648,382,9.5
2010,Nov,4076,3677,399,9.8
2010,Dec,4057,3660,397,9.8
2011,Jan,4215,3800,415,9.8
2011,Feb,4379,3986,393,9.0
2011,Mar,4469,4101,368,8.2
2011,Apr,4624,4266,358,7.7
2011,May,4837,4472,365,7.5
2011,Jun,5021,4589,432,8.6
2011,Jul,5046,4629,417,8.3
2011,Aug,5148,4743,405,7.9
2011,Sep,5417,5034,383,7.1
2011,Oct,5331,4976,355,6.7
2011,Nov,5233,4901,332,6.3
2011,Dec,5230,4898,332,6.3
2012,Jan,5603,5254,349,6.2
2012,Feb,5703,5360,343,6.0
2012,Mar,5683,5347,336,5.9
2012,Apr,5646,5338,308,5.5
2012,May,5703,5384,319,5.6
2012,Jun,5878,5503,375,6.4
2012,Jul,5795,5412,383,6.6
2012,Aug,5749,5410,339,5.9
2012,Sep,5854,5546,308,5.3
2012,Oct,5775,5457,318,5.5
2012,Nov,5830,5511,319,5.5
2012,Dec,5957,5619,338,5.7
2013,Jan,6222,5853,369,5.9
2013,Feb,6384,6033,351,5.5
2013,Mar,6497,6165,332,5.1
2013,Apr,6508,6190,318,4.9
2013,May,6625,6268,357,5.4
2013,Jun,6748,6352,396,5.9
2013,Jul,6887,6506,381,5.5
2013,Aug,7033,6672,361,5.1
2013,Sep,7094,6782,312,4.4
2013,Oct,7036,6723,313,4.4
2013,Nov,7129,6830,299,4.2
2013,Dec,7229,6943,286,4.0
2014,Jan,7412,7101,311,4.2
2014,Feb,7322,7001,321,4.4
2014,Mar,7247,6942,305,4.2
2014,Apr,7269,7008,261,3.6
2014,May,7486,7206,280,3.7
2014,Jun,7631,7309,322,4.2
2014,Jul,7610,7280,330,4.3
2014,Aug,7904,7573,331,4.2
2014,Sep,7972,7700,272,3.4
2014,Oct,8081,7835,246,3.0
2014,Nov,7988,7739,249,3.1
2014,Dec,8092,7853,239,3.0
2015,Jan,7951,7690,261,3.3
2015,Feb,7699,7431,268,3.5
2015,Mar,7596,7324,272,3.6
2015,Apr,7540,7258,282,3.7
2015,May,7290,6996,294,4.0
2015,Jun,7024,6676,348,5.0
2015,Jul,6881,6526,355,5.2
2015,Aug,6738,6365,373,5.5
2015,Sep,6702,6336,366,5.5
2015,Oct,6788,6421,367,5.4
2015,Nov,6906,6516,390,5.6
2015,Dec,6828,6438,390,5.7
2016,Jan,6747,6337,410,6.1
2016,Feb,6633,6217,416,6.3
2016,Mar,6463,6002,461,7.1
2016,Apr,6378,5936,442,6.9
2016,May,6196,5758,438,7.1
2016,Jun,6122,5623,499,8.2
2016,Jul,6010,5504,506,8.4
2016,Aug,6054,5563,491,8.1
2016,Sep,6012,5560,452,7.5
2016,Oct,6113,5699,414,6.8
2016,Nov,6062,5664,398,6.6
2016,Dec,6038,5641,397,6.6
2017,Jan,6196,5786,410,6.6
2017,Feb,6270,5876,394,6.3
2017,Mar,6327,5951,376,5.9
2017,Apr,6177,5829,348,5.6
2017,May,6180,5867,313,5.1
2017,Jun,6106,5759,347,5.7
2017,Jul,6497,6161,336,5.2
2017,Aug,6553,6221,332,5.1
2017,Sep,6809,6521,288,4.2
2017,Oct,6950,6682,268,3.9
2017,Nov,6909,6642,267,3.9
2017,Dec,6889,6635,254,3.7
2018,Jan,6852,6581,271,4.0
2018,Feb,7022,6770,252,3.6
2018,Mar,7135,6908,227,3.2
2018,Apr,7327,7125,202,2.8
2018,May,7308,7104,204,2.8
2018,Jun,7463,7181,282,3.8
2018,Jul,7534,7282,252,3.3
2018,Aug,7502,7302,200,2.7
2018,Sep,7529,7341,188,2.5
2018,Oct,7643,7456,187,2.4
2018,Nov,7579,7399,180,2.4
2018,Dec,7407,7220,187,2.5
2019,Jan,7538,7331,207,2.7
2019,Feb,7680,7489,191,2.5
2019,Mar,7627,7446,181,2.4
2019,Apr,7595,7440,155,2.0
2019,May,7532,7368,164,2.2
2019,Jun,7390,7173,217,2.9
2019,Jul,8012,7788,224,2.8
2019,Aug,7241,7042,199,2.7
2019,Sep,7226,7045,181,2.5
2019,Oct,7405,7218,187,2.5
2019,Nov,7338,7151,187,2.5
2019,Dec,7259,7079,180,2.5
2020,Jan,7345,7140,205,2.8
2020,Feb,7498,7288,210,2.8
2020,Mar,7438,7156,282,3.8
2020,Apr,6316,5856,460,7.3
